page_id,sub_index,posts,max_depth,authors
1379.0,1,1,0,0
1379.0,1,1,0,1
1379.0,1,1,1.0,1
1379.0,1,2,1.0,2
1379.0,1,1,0,1
1379.0,1,1,0,1
1379.0,1,3,1.0,3
1379.0,1,1,0,1
1379.0,1,2,1.0,2
1379.0,1,1,0,1
1379.0,1,7,3.0,5
1379.0,1,2,1.0,2
1379.0,1,1,0,1
1379.0,1,5,3.0,3
1379.0,1,5,2.0,3
1379.0,1,1,1.0,1
1379.0,1,2,1.0,2
1379.0,1,3,2.0,2
1379.0,1,1,0,1
1379.0,1,2,1.0,2
1379.0,1,5,3.0,3
1379.0,1,3,2.0,2
1379.0,1,2,1.0,2
1379.0,1,1,0,1
1379.0,1,2,1.0,2
1379.0,1,3,2.0,2
1379.0,1,2,1.0,1
1379.0,1,4,3.0,4
1379.0,1,1,0,0
1379.0,1,2,1.0,2
1379.0,1,7,6.0,7
1379.0,1,7,6.0,6
1379.0,1,1,0,0
1379.0,1,2,1.0,2
1379.0,1,1,0,1
1379.0,1,2,1.0,2
1379.0,1,1,0,1
5667.0,1,9,1.0,4
5714.0,1,1,0,1
5714.0,1,2,0,2
5714.0,1,3,0,3
5714.0,1,1,0,1
5714.0,1,1,0,1
5714.0,1,1,0,1
5714.0,1,2,1.0,2
5714.0,1,1,0,1
5714.0,1,1,0,1
5714.0,1,2,1.0,2
5714.0,1,1,0,0
5714.0,1,3,1.0,3
5785.0,1,3,0,2
5853.0,1,2,0,2
5853.0,1,5,1.0,4
5853.0,1,3,0,2
5853.0,1,1,1.0,1
5853.0,1,1,0,0
5853.0,1,7,2.0,4
5853.0,1,4,1.0,3
5853.0,1,3,1.0,2
5853.0,1,2,1.0,2
5853.0,1,2,0,2
5853.0,1,1,1.0,1
5853.0,1,1,1.0,1
5853.0,1,2,1.0,2
5853.0,1,1,0,1
5853.0,1,7,1.0,4
5853.0,1,2,1.0,2
5853.0,1,5,4.0,5
5853.0,1,3,1.0,3
5853.0,1,5,7.0,2
5853.0,1,1,1.0,1
5853.0,1,3,1.0,3
6077.0,1,4,0,4
6664.0,1,2,1.0,2
6664.0,1,1,0,1
6875.0,1,4,1.0,3
6982.0,1,1,0,0
6982.0,1,1,0,0
6982.0,1,1,0,1
7020.0,1,1,0,0
7020.0,1,4,1.0,2
7020.0,1,4,2.0,4
7020.0,1,4,2.0,2
7023.0,1,2,0,0
7024.0,1,1,0,1
7024.0,1,2,1.0,2
7024.0,1,5,2.0,4
7025.0,1,8,0,6
7047.0,1,1,0,0
