page_id,sub_index,posts,max_depth,authors
354.0,1,2,0,2
354.0,1,2,1.0,2
354.0,1,7,3.0,5
354.0,1,1,1.0,1
354.0,1,4,3.0,3
354.0,1,1,1.0,1
354.0,1,3,1.0,3
354.0,1,1,1.0,1
354.0,1,1,0,0
354.0,1,1,0,0
354.0,1,1,0,0
354.0,1,1,0,1
354.0,1,1,1.0,1
354.0,1,9,7.0,5
354.0,1,9,7.0,2
383.0,1,5,2.0,4
907.0,1,4,2.0,2
950.0,1,4,3.0,3
952.0,1,1,0,0
952.0,1,6,1.0,5
952.0,1,1,0,0
952.0,1,3,1.0,2
952.0,1,1,0,1
952.0,1,2,1.0,1
952.0,1,1,1.0,1
952.0,1,1,0,1
953.0,1,1,0,1
953.0,1,6,4.0,4
953.0,1,1,0,1
953.0,1,4,2.0,4
953.0,1,2,1.0,2
953.0,1,4,2.0,3
953.0,1,4,3.0,3
953.0,1,3,2.0,2
971.0,1,1,0,0
971.0,1,1,0,0
971.0,1,2,1.0,2
971.0,1,6,6.0,5
971.0,1,2,1.0,2
971.0,1,1,0,0
971.0,1,1,1.0,1
971.0,1,1,0,1
971.0,1,2,1.0,2
971.0,1,1,1.0,1
971.0,1,1,1.0,1
971.0,1,2,1.0,2
971.0,1,3,2.0,2
971.0,1,1,0,1
971.0,1,1,0,1
971.0,1,2,1.0,2
971.0,1,1,1.0,1
971.0,1,1,1.0,1
971.0,1,2,1.0,2
971.0,1,1,0,1
971.0,1,2,1.0,2
971.0,1,3,2.0,2
971.0,1,2,1.0,2
971.0,1,3,2.0,2
971.0,1,3,2.0,2
971.0,1,2,1.0,2
971.0,1,5,4.0,2
971.0,1,1,0,1
971.0,1,4,1.0,4
971.0,1,2,1.0,1
971.0,1,1,0,1
971.0,1,2,1.0,2
971.0,1,2,1.0,2
971.0,1,2,1.0,2
971.0,1,5,4.0,3
971.0,1,1,0,1
971.0,1,4,1.0,3
971.0,1,2,1.0,2
971.0,1,1,1.0,1
971.0,1,2,1.0,2
971.0,1,2,1.0,2
971.0,1,2,1.0,2
971.0,1,1,0,1
1023.0,1,4,0,0
1136.0,1,1,1.0,1
1136.0,1,1,0,1
1138.0,1,6,4.0,3
1138.0,1,1,0,1
1145.0,1,4,0,2
1257.0,1,1,0,0
1257.0,1,1,0,1
1426.0,1,1,0,0
1426.0,1,1,0,0
1426.0,1,3,0,3
1429.0,1,1,0,0
1429.0,1,8,1.0,7
1429.0,1,4,3.0,3
1429.0,1,3,1.0,2
1429.0,1,2,1.0,2
1429.0,1,1,1.0,1
1429.0,1,30,10.0,7
1429.0,1,3,1.0,3
1429.0,1,10,4.0,3
1429.0,1,8,5.0,4
1429.0,1,8,4.0,4
1429.0,1,4,2.0,3
1429.0,1,3,1.0,1
1429.0,1,1,0,1
1429.0,1,3,1.0,3
1429.0,1,5,3.0,2
1987.0,1,2,0,1
2022.0,1,1,0,1
2022.0,1,1,0,1
2022.0,1,1,0,1
2022.0,1,1,0,1
2041.0,1,12,1.0,4
2093.0,1,3,1.0,3
2093.0,1,1,0,1
2096.0,1,3,0,1
2195.0,1,1,0,0
2195.0,1,1,1.0,1
2195.0,1,1,0,1
2195.0,1,7,4.0,5
2195.0,1,7,5.0,4
2195.0,1,2,1.0,2
2195.0,1,1,0,0
2272.0,1,5,3.0,2
2997.0,1,3,2.0,2
2997.0,1,2,0,2
3013.0,1,8,1.0,3
3209.0,1,10,2.0,7
3209.0,1,7,2.0,4
3209.0,1,2,1.0,2
3209.0,1,1,0,1
3209.0,1,1,1.0,1
3209.0,1,1,0,1
3209.0,1,1,0,0
3209.0,1,6,3.0,4
3209.0,1,2,1.0,2
3209.0,1,1,0,1
3209.0,1,1,0,1
3209.0,1,2,1.0,2
3209.0,1,1,0,1
3209.0,1,1,0,0
3287.0,1,1,0,0
3287.0,1,1,0,1
3287.0,1,5,1.0,2
3287.0,1,1,0,1
3287.0,1,1,0,1
3287.0,1,1,0,1
3287.0,1,3,1.0,3
3287.0,1,4,1.0,3
3287.0,1,2,0,2
3287.0,1,2,1.0,2
