page_id,sub_index,posts,max_depth,authors
131.0,1,1,0,0
131.0,1,1,0,1
131.0,1,2,1.0,2
131.0,1,2,0,2
131.0,1,2,0,2
131.0,1,1,0,1
184.0,1,1,0,0
184.0,1,2,1.0,2
184.0,1,2,0,2
184.0,1,19,3.0,8
184.0,1,7,1.0,2
184.0,1,16,5.0,6
184.0,1,1,0,1
184.0,1,3,1.0,3
184.0,1,8,5.0,3
213.0,1,1,0,0
213.0,1,1,0,1
213.0,1,1,0,0
213.0,1,1,0,1
213.0,1,1,0,1
277.0,1,1,0,0
277.0,1,1,0,0
277.0,1,1,0,1
277.0,1,1,0,1
277.0,1,1,0,0
277.0,1,1,0,0
277.0,1,1,0,1
277.0,1,1,0,0
277.0,1,1,0,0
333.0,1,1,0,0
333.0,1,1,0,1
333.0,1,2,1.0,2
333.0,1,1,0,1
333.0,1,1,0,1
333.0,1,3,2.0,2
333.0,1,27,11.0,9
333.0,1,1,0,1
359.0,1,1,0,0
359.0,1,3,1.0,3
359.0,1,1,0,1
359.0,1,3,1.0,2
359.0,1,1,1.0,1
359.0,1,1,0,0
359.0,1,1,0,1
359.0,1,2,1.0,2
359.0,1,1,0,1
359.0,1,1,0,1
359.0,1,9,4.0,3
359.0,1,3,2.0,3
359.0,1,2,1.0,2
359.0,1,1,0,1
359.0,1,1,0,0
359.0,1,2,0,2
380.0,1,1,0,0
380.0,1,1,0,1
421.0,1,2,0,1
508.0,1,6,5.0,5
508.0,1,103,19.0,11
508.0,1,61,22.0,7
508.0,1,4,2.0,3
508.0,1,8,3.0,3
511.0,1,1,0,0
511.0,1,1,0,1
511.0,1,3,2.0,2
511.0,1,1,0,1
511.0,1,3,2.0,3
511.0,1,35,10.0,9
511.0,1,3,2.0,2
511.0,1,2,0,2
565.0,1,1,0,0
565.0,1,7,2.0,3
565.0,1,1,0,1
565.0,1,1,0,0
565.0,1,3,2.0,2
565.0,1,1,1.0,1
565.0,1,8,5.0,4
565.0,1,13,4.0,5
565.0,1,3,2.0,2
565.0,1,19,8.0,6
565.0,1,10,3.0,2
565.0,1,1,0,1
565.0,1,5,2.0,3
565.0,1,1,0,1
665.0,1,1,0,0
665.0,1,1,1.0,1
665.0,1,9,6.0,4
665.0,1,9,9.0,2
755.0,1,1,0,0
755.0,1,1,0,1
755.0,1,6,3.0,3
773.0,1,1,0,0
773.0,1,1,0,0
773.0,1,1,0,1
773.0,1,4,1.0,4
773.0,1,1,0,1
773.0,1,5,2.0,5
