page_id,sub_index,posts,max_depth,authors
52.0,1,2,0,1
65.0,1,1,0,0
65.0,1,3,2.0,3
65.0,1,1,0,1
65.0,1,2,1.0,1
65.0,1,1,0,1
65.0,1,2,0,1
147.0,1,1,0,0
147.0,1,1,0,1
147.0,1,2,0,1
219.0,1,1,0,0
219.0,1,3,0,3
219.0,1,1,0,1
219.0,1,2,0,1
227.0,1,1,0,0
227.0,1,2,0,1
276.0,1,1,0,0
276.0,1,1,0,0
276.0,1,5,2.0,5
276.0,1,1,0,1
276.0,1,4,1.0,4
276.0,1,1,0,1
276.0,1,1,0,1
276.0,1,11,5.0,3
276.0,1,9,3.0,4
276.0,1,6,3.0,5
276.0,1,1,0,1
276.0,1,1,0,0
276.0,1,1,0,0
276.0,1,2,0,2
374.0,1,2,0,0
388.0,1,4,2.0,4
388.0,1,6,5.0,1
388.0,1,1,0,1
388.0,1,1,0,1
388.0,1,1,0,1
388.0,1,1,0,1
388.0,1,1,0,1
388.0,1,1,0,1
388.0,1,2,2.0,2
388.0,1,1,0,1
388.0,1,1,0,1
468.0,1,1,0,1
468.0,1,1,2.0,1
468.0,1,1,0,0
468.0,1,1,0,0
468.0,1,2,2.0,2
468.0,1,1,1.0,1
468.0,1,2,1.0,2
468.0,1,1,0,1
468.0,1,1,1.0,1
468.0,1,20,3.0,6
468.0,1,3,2.0,3
468.0,1,8,2.0,4
468.0,1,2,0,2
468.0,1,1,0,0
468.0,1,1,0,0
468.0,1,1,0,1
468.0,1,4,0,3
468.0,1,1,0,1
468.0,1,1,0,0
468.0,1,1,0,1
468.0,1,2,0,2
468.0,1,1,0,1
468.0,1,1,0,1
468.0,1,3,1.0,2
468.0,1,1,0,0
468.0,1,1,0,0
468.0,1,1,0,1
468.0,1,1,0,0
468.0,1,1,1.0,1
468.0,1,1,0,1
468.0,1,5,3.0,2
468.0,1,2,1.0,1
468.0,1,1,0,0
468.0,1,1,0,0
468.0,1,1,0,1
468.0,1,10,6.0,5
468.0,1,1,0,1
468.0,1,4,3.0,1
468.0,1,1,0,1
468.0,1,1,0,1
468.0,1,2,2.0,1
468.0,1,3,2.0,2
468.0,1,1,0,1
468.0,1,1,0,1
525.0,1,2,0,0
609.0,1,1,0,1
609.0,1,1,0,1
610.0,1,2,0,0
644.0,1,1,0,0
644.0,1,1,0,1
644.0,1,3,1.0,1
644.0,1,3,1.0,2
644.0,1,1,1.0,1
644.0,1,1,0,0
644.0,1,1,0,0
645.0,1,1,0,0
645.0,1,1,0,1
645.0,1,1,0,0
645.0,1,1,0,1
645.0,1,1,0,1
645.0,1,1,0,1
645.0,1,2,0,1
645.0,1,1,0,0
