page_id,sub_index,posts,max_depth,authors
648.0,1,3,0,2
664.0,1,5,1.0,3
664.0,1,4,2.0,2
664.0,1,2,0,1
664.0,1,1,0,1
709.0,1,1,0,0
709.0,1,7,2.0,6
709.0,1,9,5.0,5
709.0,1,7,7.0,3
709.0,1,9,4.0,4
709.0,1,3,3.0,3
709.0,1,1,0,1
709.0,1,3,1.0,2
735.0,1,1,0,1
735.0,1,2,1.0,2
735.0,1,2,0,2
753.0,1,2,1.0,2
753.0,1,1,1.0,1
753.0,1,1,0,1
784.0,1,2,0,2
820.0,1,1,0,0
820.0,1,1,0,1
820.0,1,7,3.0,5
820.0,1,4,2.0,2
820.0,1,3,0,3
820.0,1,1,0,1
820.0,1,1,0,1
820.0,1,1,0,1
820.0,1,5,2.0,2
820.0,1,1,0,1
820.0,1,3,0,3
820.0,1,1,0,1
820.0,1,5,2.0,3
820.0,1,1,0,0
820.0,1,1,0,0
820.0,1,1,0,0
820.0,1,1,0,1
820.0,1,1,0,1
820.0,1,1,0,0
820.0,1,1,0,1
820.0,1,1,0,1
848.0,1,1,0,0
848.0,1,4,1.0,4
848.0,1,1,0,0
848.0,1,5,1.0,2
848.0,1,2,0,2
848.0,1,2,1.0,2
848.0,1,1,0,0
848.0,1,4,4.0,2
848.0,1,1,0,0
848.0,1,4,1.0,3
848.0,1,3,2.0,3
848.0,1,1,1.0,1
848.0,1,1,0,0
848.0,1,1,0,0
848.0,1,2,1.0,2
848.0,1,1,0,0
848.0,1,2,0,2
848.0,1,1,0,0
848.0,1,1,0,1
848.0,1,26,8.0,4
848.0,1,2,1.0,2
848.0,1,1,0,1
848.0,1,1,0,1
848.0,1,1,0,1
848.0,1,1,0,1
875.0,1,1,0,0
875.0,1,1,1.0,1
875.0,1,1,2.0,1
875.0,1,2,0,2
878.0,1,1,0,0
878.0,1,1,0,1
878.0,1,1,0,1
878.0,1,1,0,1
878.0,1,28,5.0,8
878.0,1,1,0,1
881.0,1,1,0,0
881.0,1,1,2.0,1
881.0,1,1,0,0
883.0,1,2,1.0,2
883.0,1,1,0,1
883.0,1,1,0,1
888.0,1,1,0,0
888.0,1,6,2.0,4
888.0,1,2,2.0,1
888.0,1,1,0,1
888.0,1,1,0,1
888.0,1,9,4.0,2
888.0,1,9,6.0,2
888.0,1,1,0,0
888.0,1,1,0,1
888.0,1,1,0,0
888.0,1,1,0,1
888.0,1,1,0,1
888.0,1,2,1.0,2
888.0,1,1,0,1
888.0,1,1,0,1
888.0,1,2,1.0,2
888.0,1,3,1.0,1
888.0,1,1,0,0
888.0,1,1,0,1
888.0,1,2,1.0,2
888.0,1,1,0,0
888.0,1,2,1.0,2
888.0,1,1,0,1
888.0,1,1,0,1
892.0,1,1,0,0
892.0,1,3,0,3
940.0,1,1,0,0
940.0,1,6,3.0,3
940.0,1,2,1.0,2
940.0,1,3,1.0,2
940.0,1,7,5.0,4
940.0,1,7,6.0,3
940.0,1,1,0,1
940.0,1,4,2.0,4
940.0,1,9,2.0,4
940.0,1,1,0,1
940.0,1,7,3.0,6
940.0,1,1,0,1
940.0,1,3,0,3
940.0,1,1,0,1
946.0,1,1,0,0
946.0,1,33,5.0,4
946.0,1,1,0,1
946.0,1,2,0,2
946.0,1,1,0,1
946.0,1,1,0,1
947.0,1,1,0,0
947.0,1,1,1.0,1
947.0,1,8,4.0,6
947.0,1,1,0,1
947.0,1,1,0,1
947.0,1,1,0,1
947.0,1,1,0,1
947.0,1,1,0,0
947.0,1,1,0,0
947.0,1,1,0,1
947.0,1,1,0,1
947.0,1,1,0,1
956.0,1,3,1.0,2
956.0,1,1,0,1
1724.0,1,1,0,1
1724.0,1,1,0,1
1724.0,1,2,0,1
1724.0,1,3,2.0,3
1724.0,1,4,0,3
1724.0,1,1,0,1
1724.0,1,2,1.0,2
1724.0,1,1,0,1
1724.0,1,2,4.0,2
1724.0,1,3,1.0,3
1724.0,1,3,1.0,3
1724.0,1,1,0,1
1724.0,1,1,0,1
1724.0,1,8,2.0,4
1724.0,1,24,12.0,6
1724.0,1,1,0,0
1724.0,1,1,2.0,1
1724.0,1,1,0,1
1724.0,1,1,0,1
1724.0,1,1,0,0
1724.0,1,1,0,1
1724.0,1,1,1.0,1
1724.0,1,4,1.0,2
1724.0,1,1,0,0
1724.0,1,1,0,1
1724.0,1,2,0,1
1724.0,1,2,0,1
1724.0,1,1,0,1
1724.0,1,1,0,0
1724.0,1,2,0,1
1724.0,1,1,0,1
1724.0,1,1,0,1
1724.0,1,1,0,0
1724.0,1,1,0,1
1724.0,1,1,0,1
1724.0,1,1,0,0
1725.0,1,2,0,1
1725.0,1,11,3.0,4
1725.0,1,3,1.0,3
1729.0,1,2,0,1
1730.0,1,1,0,0
1730.0,1,1,0,1
1807.0,1,1,1.0,1
1807.0,1,1,0,1
1807.0,1,1,0,0
