page_id,sub_index,posts,max_depth,authors
3772.0,1,3,0,2
3791.0,1,5,1.0,3
3791.0,1,1,0,0
3791.0,1,1,0,1
3791.0,1,2,1.0,1
3791.0,1,3,1.0,2
3791.0,1,2,1.0,2
3791.0,1,1,0,0
3791.0,1,1,0,1
3791.0,1,1,0,1
3791.0,1,5,2.0,3
3791.0,1,1,0,0
3791.0,1,3,2.0,2
3791.0,1,3,1.0,3
3791.0,1,1,0,1
3791.0,1,1,1.0,1
3791.0,1,2,0,2
3815.0,1,1,0,0
3815.0,1,4,3.0,2
3815.0,1,6,5.0,5
3815.0,1,1,0,0
3840.0,1,1,0,0
3840.0,1,5,2.0,3
3851.0,1,1,0,0
3851.0,1,3,2.0,3
3851.0,1,4,3.0,2
3851.0,1,1,0,1
3851.0,1,1,0,1
3851.0,1,1,0,0
3851.0,1,1,0,1
3851.0,1,1,0,1
4487.0,1,1,0,1
4487.0,1,9,4.0,7
4506.0,1,5,0,3
4524.0,1,9,3.0,5
4524.0,1,6,4.0,4
4524.0,1,15,6.0,5
4524.0,1,3,2.0,2
4524.0,1,1,0,0
4593.0,1,1,0,0
4593.0,1,1,0,1
4607.0,1,1,0,0
4607.0,1,3,2.0,2
4607.0,1,3,2.0,3
4607.0,1,2,0,2
4607.0,1,1,0,1
4655.0,1,1,0,1
4655.0,1,1,0,1
4663.0,1,1,0,0
4663.0,1,6,3.0,5
4663.0,1,2,1.0,2
4663.0,1,2,1.0,2
4663.0,1,1,0,1
4731.0,1,13,1.0,8
4731.0,1,8,3.0,7
4731.0,1,1,0,1
4754.0,1,2,1.0,2
4754.0,1,4,3.0,3
4754.0,1,6,5.0,3
4754.0,1,1,0,1
4754.0,1,3,2.0,2
4754.0,1,9,3.0,9
4754.0,1,1,0,1
4754.0,1,8,3.0,6
4760.0,1,1,1.0,1
4760.0,1,1,0,0
4760.0,1,3,3.0,2
4784.0,1,1,0,1
4784.0,1,1,0,0
4795.0,1,2,0,1
4801.0,1,1,0,1
4801.0,1,18,6.0,6
4801.0,1,1,0,1
4801.0,1,3,2.0,3
4801.0,1,5,9.0,4
4801.0,1,6,3.0,3
4801.0,1,4,3.0,3
4801.0,1,3,3.0,3
4801.0,1,2,0,2
4801.0,1,16,9.0,8
4801.0,1,3,4.0,1
4801.0,1,2,0,2
4801.0,1,7,9.0,3
4801.0,1,3,4.0,2
4886.0,1,1,0,1
4886.0,1,1,0,1
4937.0,1,2,0,2
4952.0,1,2,2.0,2
4952.0,1,1,0,1
4952.0,1,2,0,2
4952.0,1,1,0,0
4952.0,1,1,0,1
5032.0,1,2,1.0,1
5082.0,1,1,0,0
5240.0,1,5,2.0,4
5252.0,1,25,16.0,10
5252.0,1,2,0,2
5252.0,1,2,1.0,2
5252.0,1,1,0,1
5252.0,1,1,0,1
5252.0,1,2,0,2
5252.0,1,1,0,1
5252.0,1,4,2.0,3
5252.0,1,1,0,1
5252.0,1,2,0,2
5274.0,1,2,1.0,1
5274.0,1,50,14.0,6
5274.0,1,1,0,1
5279.0,1,1,0,1
5279.0,1,1,0,0
5279.0,1,1,0,0
5279.0,1,4,2.0,4
5279.0,1,1,0,1
5279.0,1,1,0,1
5279.0,1,1,0,1
5327.0,1,3,0,2
5360.0,1,10,6.0,4
5360.0,1,1,1.0,1
5360.0,1,7,5.0,2
5360.0,1,1,0,1
5363.0,1,1,0,0
