page_id,sub_index,posts,max_depth,authors
135.0,1,5,0,3
306.0,1,1,0,0
360.0,1,1,0,0
360.0,1,3,3.0,2
360.0,1,1,0,0
360.0,1,2,1.0,2
360.0,1,2,0,2
361.0,1,2,0,2
361.0,1,2,1.0,1
361.0,1,1,0,1
361.0,1,2,0,2
361.0,1,1,0,1
361.0,1,1,0,0
361.0,1,1,0,1
361.0,1,4,1.0,3
361.0,1,5,0,2
361.0,1,2,1.0,2
361.0,1,3,1.0,3
361.0,1,3,2.0,2
361.0,1,1,0,0
361.0,1,5,2.0,4
361.0,1,5,2.0,5
361.0,1,3,2.0,2
361.0,1,1,0,0
361.0,1,1,0,1
361.0,1,1,0,1
361.0,1,2,3.0,2
361.0,1,1,0,1
361.0,1,1,0,1
361.0,1,3,2.0,2
361.0,1,3,1.0,3
374.0,1,1,0,0
374.0,1,3,1.0,2
374.0,1,5,1.0,3
374.0,1,10,6.0,3
374.0,1,2,2.0,2
374.0,1,3,1.0,1
375.0,1,2,1.0,2
420.0,1,6,0,6
420.0,1,1,0,1
420.0,1,5,1.0,4
420.0,1,1,0,1
420.0,1,1,0,0
420.0,1,8,6.0,2
420.0,1,5,7.0,3
420.0,1,1,0,1
420.0,1,1,0,1
420.0,1,3,0,3
474.0,1,2,1.0,2
474.0,1,1,0,1
474.0,1,1,0,1
474.0,1,1,0,0
474.0,1,1,0,1
474.0,1,1,0,0
474.0,1,1,0,0
603.0,1,2,1.0,2
603.0,1,1,0,1
642.0,1,2,1.0,1
642.0,1,1,0,1
642.0,1,1,0,1
642.0,1,1,0,1
642.0,1,2,1.0,2
642.0,1,1,0,1
642.0,1,1,0,1
687.0,1,1,0,0
687.0,1,8,3.0,6
687.0,1,2,2.0,2
687.0,1,3,1.0,3
687.0,1,2,1.0,2
687.0,1,7,1.0,5
687.0,1,5,1.0,4
687.0,1,1,1.0,1
687.0,1,1,0,1
687.0,1,4,3.0,3
687.0,1,1,0,1
687.0,1,3,0,2
687.0,1,2,0,2
687.0,1,3,0,3
687.0,1,1,0,1
687.0,1,9,2.0,3
687.0,1,1,0,1
687.0,1,3,0,2
687.0,1,4,1.0,2
687.0,1,25,3.0,4
687.0,1,13,1.0,5
687.0,1,1,0,0
687.0,1,1,0,1
687.0,1,2,1.0,1
687.0,1,3,0,3
687.0,1,1,0,1
687.0,1,2,2.0,2
687.0,1,4,1.0,2
687.0,1,1,0,0
687.0,1,8,4.0,2
687.0,1,1,1.0,1
687.0,1,1,1.0,1
687.0,1,1,0,1
687.0,1,3,1.0,2
687.0,1,5,4.0,2
687.0,1,1,0,1
687.0,1,7,5.0,2
687.0,1,2,1.0,2
687.0,1,1,0,1
687.0,1,3,2.0,2
729.0,1,1,0,0
729.0,1,10,1.0,5
729.0,1,4,0,3
729.0,1,2,3.0,1
729.0,1,2,0,1
729.0,1,5,2.0,5
729.0,1,1,0,0
729.0,1,2,1.0,2
729.0,1,1,0,1
729.0,1,1,3.0,1
729.0,1,1,1.0,1
729.0,1,1,1.0,1
729.0,1,1,0,0
729.0,1,1,0,1
729.0,1,2,0,2
729.0,1,2,1.0,1
729.0,1,1,0,1
729.0,1,8,1.0,4
729.0,1,1,0,1
729.0,1,2,0,2
729.0,1,3,2.0,2
729.0,1,2,0,1
729.0,1,1,0,1
729.0,1,9,3.0,4
729.0,1,9,1.0,2
729.0,1,5,1.0,2
729.0,1,2,1.0,2
729.0,1,1,0,1
729.0,1,18,4.0,3
729.0,1,1,0,0
729.0,1,11,2.0,5
729.0,1,1,0,1
729.0,1,1,0,0
729.0,1,1,0,1
729.0,1,2,1.0,2
729.0,1,1,0,1
729.0,1,1,0,1
729.0,1,1,0,1
729.0,1,5,2.0,4
729.0,1,2,1.0,2
729.0,1,3,0,1
729.0,1,1,0,0
740.0,1,1,0,0
740.0,1,1,0,0
740.0,1,1,0,1
740.0,1,1,0,0
740.0,1,1,0,0
740.0,1,1,0,0
740.0,1,1,0,1
740.0,1,1,0,1
814.0,1,3,1.0,1
814.0,1,1,0,0
930.0,1,10,1.0,3
930.0,1,1,0,1
930.0,1,1,0,0
930.0,1,1,0,1
930.0,1,1,0,0
930.0,1,1,0,1
943.0,1,2,0,2
943.0,1,2,0,2
943.0,1,1,0,1
943.0,1,1,0,1
988.0,1,1,0,0
988.0,1,2,0,1
988.0,1,1,0,1
988.0,1,1,0,0
988.0,1,1,1.0,1
988.0,1,3,2.0,2
988.0,1,2,2.0,2
988.0,1,1,0,0
988.0,1,3,2.0,2
988.0,1,1,0,1
988.0,1,1,0,1
988.0,1,1,0,0
988.0,1,1,0,0
988.0,1,2,0,1
988.0,1,1,0,1
988.0,1,2,0,1
1228.0,1,2,0,0
1246.0,1,13,2.0,6
1246.0,1,1,1.0,1
1246.0,1,1,0,1
1246.0,1,1,0,1
1246.0,1,1,0,1
1246.0,1,1,0,1
1246.0,1,1,0,1
1246.0,1,1,0,0
1246.0,1,3,1.0,2
1246.0,1,1,0,1
1246.0,1,1,0,1
1246.0,1,2,1.0,2
1246.0,1,1,0,1
1246.0,1,1,0,0
1246.0,1,1,0,1
1246.0,1,1,0,1
1249.0,1,1,0,0
1249.0,1,1,0,1
1249.0,1,1,1.0,1
1249.0,1,2,1.0,1
1249.0,1,2,0,2
1256.0,1,1,0,0
1256.0,1,5,1.0,3
1256.0,1,1,1.0,1
1256.0,1,5,1.0,5
1259.0,1,2,1.0,1
1269.0,1,1,1.0,1
1269.0,1,1,1.0,1
1269.0,1,1,0,1
1279.0,1,10,1.0,5
1279.0,1,1,0,1
1279.0,1,1,1.0,1
1279.0,1,1,0,1
1279.0,1,1,0,1
1290.0,1,2,1.0,2
1290.0,1,1,0,0
1290.0,1,1,0,0
1323.0,1,4,1.0,2
1323.0,1,1,0,1
1339.0,1,18,1.0,9
1357.0,1,2,1.0,2
1357.0,1,1,0,0
1357.0,1,2,1.0,2
1357.0,1,1,1.0,1
1357.0,1,1,1.0,1
1357.0,1,2,1.0,2
1357.0,1,3,1.0,2
1366.0,1,3,1.0,2
1366.0,1,1,0,1
1366.0,1,2,1.0,2
