page_id,sub_index,posts,max_depth,authors
15.0,1,1,0,0
15.0,1,16,4.0,8
15.0,1,5,1.0,5
15.0,1,3,2.0,2
15.0,1,1,0,0
15.0,1,4,1.0,3
15.0,1,24,4.0,8
15.0,1,62,4.0,34
15.0,1,5,3.0,2
15.0,1,1,0,1
15.0,1,4,2.0,3
15.0,1,2,0,2
61.0,1,1,0,0
61.0,1,5,1.0,3
61.0,1,1,0,1
182.0,1,4,0,3
276.0,1,17,4.0,9
276.0,1,1,0,0
322.0,1,1,0,0
322.0,1,10,2.0,2
327.0,1,1,0,0
327.0,1,3,1.0,2
461.0,1,1,0,0
461.0,1,4,3.0,2
461.0,1,2,0,2
470.0,1,13,2.0,11
500.0,1,4,1.0,2
500.0,1,1,0,0
502.0,1,21,2.0,7
541.0,1,2,0,2
541.0,1,1,0,1
541.0,1,1,0,1
541.0,1,7,3.0,3
541.0,1,12,4.0,7
578.0,1,2,0,1
704.0,1,1,0,1
712.0,1,17,3.0,9
849.0,1,1,0,1
856.0,1,1,0,0
856.0,1,2,1.0,2
856.0,1,4,3.0,4
856.0,1,1,0,1
856.0,1,1,0,1
856.0,1,1,0,1
856.0,1,1,1.0,1
894.0,1,1,0,0
894.0,1,1,0,1
983.0,1,3,1.0,3
983.0,1,2,0,1
983.0,1,3,2.0,2
983.0,1,2,1.0,1
983.0,1,1,0,0
1007.0,1,7,1.0,4
1062.0,1,1,0,0
1062.0,1,11,1.0,7
1062.0,1,2,0,2
1062.0,1,1,0,1
1062.0,1,5,2.0,2
1062.0,1,1,0,1
1062.0,1,7,4.0,3
1204.0,1,2,0,1
1259.0,1,1,0,1
1324.0,1,3,1.0,2
1431.0,1,1,1.0,1
1431.0,1,2,1.0,2
1431.0,1,29,4.0,4
1431.0,1,1,0,1
1431.0,1,3,1.0,2
1500.0,1,11,2.0,7
1513.0,1,7,2.0,3
1513.0,1,1,1.0,1
1513.0,1,3,1.0,2
1513.0,1,3,1.0,3
1513.0,1,1,0,0
1513.0,1,3,1.0,1
1513.0,1,8,6.0,2
1513.0,1,1,0,1
1654.0,1,1,0,0
1654.0,1,1,0,1
1654.0,1,2,0,2
1654.0,1,1,0,1
1654.0,1,1,0,1
1654.0,1,3,2.0,2
1654.0,1,1,0,0
1654.0,1,6,2.0,2
1654.0,1,1,0,1
1704.0,1,9,2.0,8
1709.0,1,1,0,0
1709.0,1,4,2.0,3
1709.0,1,2,0,1
1709.0,1,1,0,1
1711.0,1,2,0,1
1711.0,1,1,0,1
1734.0,1,1,0,0
1734.0,1,2,0,1
1816.0,1,5,0,3
1994.0,1,2,1.0,2
1994.0,1,2,0,2
1994.0,1,5,3.0,3
1994.0,1,3,2.0,2
1994.0,1,1,0,1
1994.0,1,2,1.0,2
1994.0,1,4,1.0,2
1994.0,1,2,0,2
1994.0,1,4,1.0,1
1994.0,1,2,0,1
1994.0,1,3,1.0,3
1994.0,1,3,1.0,3
1994.0,1,1,0,1
1994.0,1,1,1.0,1
1994.0,1,4,1.0,3
1994.0,1,2,1.0,1
1994.0,1,3,2.0,2
1994.0,1,2,2.0,2
1994.0,1,1,0,1
1994.0,1,1,0,1
1994.0,1,2,1.0,2
1994.0,1,2,2.0,2
1994.0,1,2,0,2
1994.0,1,1,0,1
1994.0,1,5,1.0,4
1994.0,1,2,1.0,2
1994.0,1,1,0,1
1994.0,1,3,1.0,3
2108.0,1,1,0,1
2108.0,1,8,2.0,6
2108.0,1,1,0,1
2108.0,1,1,0,1
2108.0,1,2,1.0,2
2108.0,1,1,0,1
2109.0,1,1,0,1
2109.0,1,3,1.0,2
2217.0,1,1,0,0
2217.0,1,1,0,1
2217.0,1,1,0,1
2217.0,1,2,0,1
2282.0,1,2,0,2
2282.0,1,3,2.0,2
2282.0,1,1,0,0
2282.0,1,1,0,1
2311.0,1,1,0,0
2311.0,1,13,13.0,2
2311.0,1,7,1.0,2
2339.0,1,9,3.0,7
2339.0,1,2,1.0,1
2475.0,1,1,0,0
2475.0,1,7,2.0,3
2475.0,1,8,0,5
2475.0,1,12,2.0,6
2475.0,1,1,0,1
2476.0,1,18,2.0,9
2487.0,1,5,2.0,3
2591.0,1,2,0,0
2629.0,1,8,1.0,5
2629.0,1,1,0,1
2629.0,1,1,0,1
2630.0,1,38,2.0,12
2631.0,1,1,0,1
2631.0,1,1,0,1
2637.0,1,15,1.0,10
2641.0,1,7,0,6
2641.0,1,2,1.0,2
2641.0,1,1,0,0
2641.0,1,1,0,0
2641.0,1,1,1.0,1
2643.0,1,4,0,2
2647.0,1,1,0,1
2655.0,1,6,2.0,2
2721.0,1,7,0,6
2721.0,1,1,0,1
2721.0,1,1,0,1
2721.0,1,3,1.0,2
2721.0,1,2,1.0,2
2721.0,1,2,0,2
2721.0,1,2,1.0,2
2721.0,1,1,0,1
2721.0,1,2,0,2
2721.0,1,2,0,2
2721.0,1,8,5.0,4
2721.0,1,1,0,1
2721.0,1,1,0,1
2721.0,1,3,2.0,2
2726.0,1,5,0,4
2726.0,1,4,0,3
2753.0,1,7,2.0,4
2753.0,1,2,1.0,2
2753.0,1,2,0,2
2763.0,1,5,1.0,2
2774.0,1,16,4.0,7
2774.0,1,1,0,1
2774.0,1,1,0,1
2774.0,1,2,1.0,1
2774.0,1,1,0,1
