page_id,sub_index,posts,max_depth,authors
55.0,1,5,0,1
109.0,1,2,0,2
153.0,1,1,0,1
153.0,1,1,0,1
153.0,1,1,0,1
153.0,1,1,0,1
153.0,1,1,0,0
254.0,1,4,1.0,3
254.0,1,3,0,2
254.0,1,1,0,1
304.0,1,1,0,1
304.0,1,1,0,0
305.0,1,4,1.0,3
311.0,1,3,2.0,3
311.0,1,2,1.0,2
311.0,1,1,1.0,1
311.0,1,4,3.0,4
311.0,1,2,0,1
311.0,1,6,4.0,2
311.0,1,1,0,0
311.0,1,1,1.0,1
311.0,1,1,0,1
311.0,1,1,1.0,1
311.0,1,2,1.0,1
311.0,1,1,0,1
311.0,1,1,0,1
311.0,1,14,3.0,6
311.0,1,1,0,1
311.0,1,84,9.0,17
311.0,1,4,2.0,3
311.0,1,3,2.0,3
311.0,1,2,1.0,2
311.0,1,137,11.0,14
311.0,1,4,1.0,4
311.0,1,3,1.0,3
311.0,1,2,1.0,2
311.0,1,8,4.0,2
311.0,1,4,1.0,4
311.0,1,2,1.0,2
311.0,1,1,0,1
311.0,1,2,1.0,2
311.0,1,4,1.0,4
311.0,1,3,0,1
311.0,1,2,0,1
311.0,1,1,0,1
311.0,1,2,0,1
311.0,1,1,0,0
311.0,1,1,0,1
311.0,1,1,0,1
311.0,1,15,5.0,7
311.0,1,1,0,1
311.0,1,1,0,1
311.0,1,1,0,1
311.0,1,1,0,1
311.0,1,2,1.0,2
311.0,1,2,1.0,2
311.0,1,1,0,1
311.0,1,8,3.0,2
311.0,1,2,0,2
322.0,1,4,0,1
404.0,1,19,1.0,6
404.0,1,1,0,1
470.0,1,1,0,0
470.0,1,2,1.0,1
488.0,1,3,0,2
527.0,1,6,1.0,3
527.0,1,3,2.0,2
544.0,1,2,0,1
602.0,1,2,4.0,2
602.0,1,1,0,1
622.0,1,3,1.0,2
622.0,1,3,1.0,2
720.0,1,8,2.0,3
725.0,1,1,0,0
725.0,1,2,1.0,2
725.0,1,1,1.0,1
725.0,1,1,0,0
725.0,1,1,0,1
725.0,1,4,2.0,3
725.0,1,1,0,0
725.0,1,1,0,0
725.0,1,3,3.0,1
725.0,1,5,4.0,2
742.0,1,1,0,0
742.0,1,4,1.0,3
742.0,1,1,0,0
