page_id,sub_index,posts,max_depth,authors
31.0,1,1,0,0
31.0,1,1,0,0
31.0,1,3,2.0,3
31.0,1,1,0,1
31.0,1,1,0,1
31.0,1,2,1.0,2
31.0,1,1,0,1
58.0,1,5,2.0,2
61.0,1,1,0,1
61.0,1,1,0,0
61.0,1,1,0,0
61.0,1,1,0,0
61.0,1,1,0,0
61.0,1,2,0,2
76.0,1,1,0,0
76.0,1,1,0,1
114.0,1,1,1.0,1
114.0,1,1,0,1
170.0,1,1,0,0
170.0,1,1,0,0
170.0,1,2,2.0,1
185.0,1,1,0,0
185.0,1,1,0,1
185.0,1,1,0,0
194.0,1,1,0,0
194.0,1,1,0,0
194.0,1,1,0,1
194.0,1,1,0,1
194.0,1,3,1.0,3
194.0,1,2,1.0,2
194.0,1,10,3.0,6
194.0,1,2,2.0,1
194.0,1,7,6.0,4
194.0,1,1,0,0
194.0,1,1,0,1
198.0,1,2,0,0
235.0,1,1,0,0
250.0,1,3,2.0,3
250.0,1,2,0,1
250.0,1,5,1.0,5
250.0,1,1,0,1
250.0,1,4,3.0,2
250.0,1,3,0,1
250.0,1,1,0,1
250.0,1,2,1.0,2
250.0,1,5,2.0,2
250.0,1,1,0,1
250.0,1,1,0,0
250.0,1,1,0,1
250.0,1,12,6.0,3
250.0,1,1,0,1
250.0,1,4,2.0,3
250.0,1,19,5.0,5
250.0,1,27,3.0,7
250.0,1,1,0,1
250.0,1,10,7.0,3
250.0,1,2,2.0,2
250.0,1,3,2.0,3
250.0,1,1,0,0
250.0,1,3,1.0,2
250.0,1,16,9.0,4
250.0,1,1,0,1
250.0,1,2,1.0,1
250.0,1,1,0,1
268.0,1,2,0,1
284.0,1,1,0,1
314.0,1,4,0,3
381.0,1,2,2.0,2
381.0,1,2,1.0,2
381.0,1,1,0,1
381.0,1,1,0,1
423.0,1,4,1.0,3
423.0,1,1,0,0
423.0,1,1,0,1
423.0,1,1,0,1
423.0,1,5,1.0,2
423.0,1,1,0,1
423.0,1,3,3.0,2
423.0,1,1,0,0
423.0,1,1,2.0,1
423.0,1,1,0,0
423.0,1,1,0,1
423.0,1,1,0,0
423.0,1,1,0,1
439.0,1,7,3.0,3
453.0,1,1,0,1
453.0,1,1,0,1
453.0,1,2,1.0,1
453.0,1,3,1.0,2
506.0,1,1,0,0
506.0,1,1,0,1
509.0,1,1,0,0
509.0,1,1,0,1
509.0,1,6,2.0,5
509.0,1,4,1.0,3
509.0,1,1,0,0
509.0,1,2,1.0,1
509.0,1,3,1.0,2
509.0,1,1,0,1
509.0,1,12,6.0,3
509.0,1,2,1.0,1
509.0,1,1,1.0,1
509.0,1,7,7.0,4
509.0,1,14,10.0,4
509.0,1,2,0,1
509.0,1,1,0,1
509.0,1,2,1.0,2
509.0,1,3,3.0,2
509.0,1,3,2.0,2
509.0,1,3,5.0,2
571.0,1,2,3.0,2
571.0,1,2,1.0,1
571.0,1,1,0,0
571.0,1,1,0,1
587.0,1,4,2.0,4
648.0,1,2,0,2
675.0,1,1,0,1
675.0,1,1,0,1
675.0,1,1,0,1
675.0,1,3,1.0,2
682.0,1,2,0,0
692.0,1,3,2.0,3
692.0,1,5,1.0,4
692.0,1,1,0,1
692.0,1,1,1.0,1
692.0,1,1,1.0,1
692.0,1,1,1.0,1
692.0,1,6,2.0,3
692.0,1,4,2.0,4
692.0,1,2,1.0,2
692.0,1,6,3.0,4
692.0,1,6,4.0,3
692.0,1,1,0,1
692.0,1,1,0,0
692.0,1,4,4.0,3
692.0,1,5,2.0,5
692.0,1,4,3.0,4
692.0,1,1,0,1
692.0,1,3,3.0,3
692.0,1,1,0,0
692.0,1,5,4.0,4
692.0,1,1,0,0
692.0,1,8,3.0,4
692.0,1,38,5.0,15
692.0,1,1,0,1
692.0,1,9,3.0,5
692.0,1,3,1.0,2
692.0,1,3,2.0,2
692.0,1,1,1.0,1
692.0,1,3,1.0,2
692.0,1,5,3.0,3
692.0,1,2,1.0,2
692.0,1,8,5.0,3
692.0,1,1,0,1
692.0,1,1,0,1
692.0,1,3,2.0,2
692.0,1,1,0,1
692.0,1,2,2.0,2
692.0,1,2,1.0,2
692.0,1,4,3.0,2
692.0,1,2,1.0,2
692.0,1,1,1.0,1
692.0,1,6,3.0,5
692.0,1,17,4.0,8
692.0,1,1,0,1
692.0,1,4,1.0,3
692.0,1,4,2.0,3
692.0,1,2,1.0,2
692.0,1,6,2.0,4
692.0,1,3,2.0,3
692.0,1,1,0,1
692.0,1,2,1.0,1
692.0,1,1,0,1
692.0,1,1,0,1
692.0,1,2,3.0,2
692.0,1,2,1.0,1
692.0,1,3,2.0,2
692.0,1,7,6.0,5
692.0,1,1,0,1
692.0,1,1,0,1
692.0,1,1,0,1
692.0,1,3,1.0,3
692.0,1,2,1.0,2
692.0,1,2,1.0,2
692.0,1,1,0,1
692.0,1,11,3.0,6
692.0,1,7,5.0,6
692.0,1,2,0,1
692.0,1,3,0,2
692.0,1,2,1.0,2
692.0,1,5,1.0,4
692.0,1,5,4.0,2
692.0,1,2,1.0,2
692.0,1,5,3.0,3
692.0,1,9,4.0,6
692.0,1,1,0,1
692.0,1,9,4.0,8
692.0,1,6,6.0,2
692.0,1,5,3.0,4
692.0,1,4,2.0,3
692.0,1,6,5.0,2
692.0,1,2,1.0,2
692.0,1,1,0,1
692.0,1,3,2.0,2
692.0,1,3,2.0,3
692.0,1,2,3.0,2
692.0,1,3,2.0,2
692.0,1,1,0,1
692.0,1,6,2.0,4
692.0,1,4,4.0,3
692.0,1,6,3.0,3
692.0,1,19,5.0,6
692.0,1,6,3.0,4
692.0,1,1,1.0,1
692.0,1,1,0,1
692.0,1,1,0,0
692.0,1,1,1.0,1
692.0,1,2,1.0,2
692.0,1,1,0,1
692.0,1,1,1.0,1
692.0,1,2,1.0,2
692.0,1,1,1.0,1
692.0,1,3,2.0,2
692.0,1,19,8.0,8
692.0,1,1,1.0,1
692.0,1,2,2.0,2
710.0,1,1,1.0,1
710.0,1,2,1.0,2
710.0,1,1,0,1
710.0,1,4,2.0,2
758.0,1,1,0,0
758.0,1,1,0,1
758.0,1,1,0,0
758.0,1,8,6.0,6
758.0,1,1,0,0
835.0,1,1,0,0
835.0,1,2,1.0,2
835.0,1,1,0,1
835.0,1,5,3.0,2
851.0,1,27,6.0,16
971.0,1,2,1.0,2
971.0,1,1,0,1
971.0,1,2,1.0,2
971.0,1,5,2.0,5
971.0,1,1,0,1
971.0,1,1,0,1
971.0,1,1,1.0,1
971.0,1,2,1.0,2
971.0,1,5,2.0,3
971.0,1,2,1.0,2
971.0,1,7,4.0,3
971.0,1,1,1.0,1
971.0,1,3,2.0,3
971.0,1,1,0,1
971.0,1,1,0,1
971.0,1,1,0,1
971.0,1,2,1.0,2
971.0,1,13,5.0,6
971.0,1,1,1.0,1
971.0,1,3,1.0,2
980.0,1,2,0,1
981.0,1,2,1.0,2
981.0,1,11,5.0,4
981.0,1,2,0,2
997.0,1,4,0,3
1029.0,1,1,1.0,1
1029.0,1,2,1.0,2
1029.0,1,2,0,2
1083.0,1,1,0,0
1083.0,1,1,0,1
1083.0,1,5,3.0,4
1083.0,1,1,0,0
1083.0,1,2,0,2
1083.0,1,19,2.0,14
1083.0,1,21,4.0,16
1083.0,1,2,0,2
1083.0,1,21,4.0,11
1083.0,1,1,0,1
1083.0,1,5,2.0,3
1083.0,1,1,0,1
1083.0,1,1,0,1
1083.0,1,2,1.0,2
1083.0,1,47,6.0,9
1083.0,1,19,5.0,3
1083.0,1,7,5.0,3
1083.0,1,11,5.0,3
1085.0,1,1,0,1
1085.0,1,1,0,1
1085.0,1,1,0,1
1085.0,1,1,0,0
1085.0,1,1,1.0,1
1085.0,1,1,0,0
1085.0,1,2,1.0,2
1085.0,1,1,0,0
1085.0,1,1,0,0
1085.0,1,6,6.0,3
1085.0,1,5,4.0,3
1090.0,1,1,0,0
1090.0,1,1,0,0
1101.0,1,1,0,1
1101.0,1,2,0,1
1107.0,1,2,0,1
1107.0,1,5,1.0,2
1188.0,1,6,1.0,4
1188.0,1,1,1.0,1
1188.0,1,3,1.0,2
1188.0,1,1,0,1
1188.0,1,1,0,1
1188.0,1,5,2.0,2
1188.0,1,1,0,1
1188.0,1,1,0,1
1199.0,1,5,1.0,5
1229.0,1,3,1.0,3
1229.0,1,1,0,1
1229.0,1,2,1.0,2
1229.0,1,5,3.0,4
1229.0,1,1,0,1
1229.0,1,2,1.0,2
1229.0,1,1,0,1
1229.0,1,2,1.0,2
1229.0,1,7,3.0,4
1229.0,1,3,1.0,2
1229.0,1,2,2.0,2
1229.0,1,1,3.0,1
1229.0,1,3,3.0,3
1229.0,1,1,1.0,1
1229.0,1,2,2.0,2
1229.0,1,4,3.0,2
1229.0,1,4,2.0,2
1229.0,1,4,2.0,2
1229.0,1,3,3.0,2
1229.0,1,3,1.0,1
1276.0,1,5,2.0,5
1276.0,1,1,0,1
1372.0,1,1,0,0
1372.0,1,1,0,0
1372.0,1,1,0,1
1372.0,1,1,0,1
1372.0,1,1,0,0
1372.0,1,2,1.0,2
1372.0,1,1,0,0
1372.0,1,2,2.0,1
1372.0,1,4,3.0,3
1372.0,1,1,0,0
1512.0,1,3,2.0,3
1512.0,1,1,0,1
1512.0,1,5,1.0,4
1512.0,1,1,0,1
1512.0,1,1,0,1
1512.0,1,4,1.0,2
1512.0,1,1,0,1
1512.0,1,1,0,1
1512.0,1,2,1.0,2
1512.0,1,1,0,1
1512.0,1,1,2.0,1
1512.0,1,1,0,1
1512.0,1,2,1.0,2
1512.0,1,2,1.0,2
1512.0,1,1,1.0,1
1512.0,1,6,6.0,3
1512.0,1,1,1.0,1
1512.0,1,1,0,1
1512.0,1,1,0,1
1512.0,1,1,0,1
1512.0,1,2,1.0,2
1512.0,1,1,0,1
1512.0,1,12,6.0,6
1512.0,1,1,1.0,1
1512.0,1,1,0,1
1518.0,1,3,1.0,3
1518.0,1,2,0,1
1518.0,1,1,0,1
1518.0,1,1,0,1
1518.0,1,1,0,1
1518.0,1,1,0,1
1518.0,1,2,1.0,2
1518.0,1,4,3.0,3
1518.0,1,2,1.0,2
1518.0,1,1,0,0
1518.0,1,2,0,2
1524.0,1,3,0,2
1535.0,1,1,0,0
1619.0,1,1,0,0
1619.0,1,1,0,0
1619.0,1,7,2.0,2
1619.0,1,3,1.0,2
1622.0,1,3,1.0,3
1622.0,1,1,0,1
1641.0,1,5,2.0,3
1654.0,1,5,3.0,3
1654.0,1,2,1.0,2
1654.0,1,6,3.0,3
1705.0,1,15,5.0,10
1705.0,1,6,3.0,2
1705.0,1,3,0,3
1705.0,1,1,0,1
1728.0,1,17,3.0,12
1728.0,1,1,0,1
1728.0,1,2,1.0,2
1728.0,1,2,0,2
1798.0,1,1,0,1
1798.0,1,1,0,1
1798.0,1,4,3.0,3
1798.0,1,1,0,0
1798.0,1,4,2.0,3
1798.0,1,2,2.0,2
1798.0,1,1,0,1
1803.0,1,1,0,0
1803.0,1,1,0,0
