page_id,sub_index,posts,max_depth,authors
2213.0,1,3,1.0,2
2233.0,1,7,5.0,3
2233.0,1,1,0,1
2240.0,1,2,0,2
2240.0,1,1,0,1
2243.0,1,20,4.0,10
2479.0,1,1,1.0,1
2479.0,1,1,1.0,1
2479.0,1,1,0,0
2482.0,1,1,0,1
2482.0,1,1,0,1
2809.0,1,6,1.0,4
2852.0,1,1,0,0
2867.0,1,1,0,1
2867.0,1,1,0,1
2875.0,1,2,0,2
2959.0,1,1,0,0
2988.0,1,4,0,3
3133.0,1,3,1.0,2
3133.0,1,2,0,1
3133.0,1,2,0,2
3136.0,1,2,0,0
3288.0,1,1,0,1
3288.0,1,1,0,1
3288.0,1,1,0,1
3288.0,1,1,0,1
3288.0,1,3,2.0,2
3288.0,1,2,1.0,2
3288.0,1,4,3.0,3
3288.0,1,1,0,1
3291.0,1,2,0,1
3293.0,1,2,1.0,2
3293.0,1,1,0,1
3293.0,1,1,0,1
3325.0,1,2,0,2
3325.0,1,1,0,1
3325.0,1,3,2.0,3
3325.0,1,7,1.0,5
3325.0,1,2,1.0,2
3325.0,1,7,7.0,2
3325.0,1,1,0,1
3345.0,1,1,0,0
3345.0,1,6,4.0,3
3345.0,1,2,1.0,2
3345.0,1,4,7.0,2
3345.0,1,1,0,1
3345.0,1,9,9.0,2
3345.0,1,3,2.0,2
3345.0,1,1,0,1
3345.0,1,1,0,1
3345.0,1,1,0,0
3345.0,1,1,0,0
3368.0,1,1,0,0
3368.0,1,4,0,2
3368.0,1,2,1.0,1
3368.0,1,1,0,1
3368.0,1,1,0,1
3368.0,1,2,1.0,2
3368.0,1,1,0,0
3368.0,1,2,1.0,2
3368.0,1,8,6.0,2
3395.0,1,3,1.0,3
3395.0,1,6,4.0,2
3395.0,1,2,0,2
3552.0,1,1,0,0
3552.0,1,14,5.0,4
3552.0,1,7,2.0,4
3552.0,1,2,1.0,2
3552.0,1,6,3.0,3
3552.0,1,2,1.0,2
3552.0,1,1,1.0,1
3552.0,1,2,1.0,2
3552.0,1,2,1.0,2
3552.0,1,2,0,1
3653.0,1,1,0,0
3653.0,1,12,3.0,6
3653.0,1,2,1.0,2
3653.0,1,4,2.0,3
3653.0,1,2,0,2
3653.0,1,6,1.0,3
3653.0,1,1,0,0
3653.0,1,1,0,0
3653.0,1,13,6.0,5
3658.0,1,17,4.0,7
3846.0,1,2,2.0,2
3846.0,1,1,0,1
3897.0,1,6,1.0,5
3917.0,1,4,1.0,3
3917.0,1,1,0,0
3917.0,1,4,2.0,3
3917.0,1,3,2.0,2
3917.0,1,1,0,1
3917.0,1,4,1.0,2
3917.0,1,1,1.0,1
3917.0,1,1,0,1
4037.0,1,1,0,0
4037.0,1,6,3.0,4
4037.0,1,1,0,0
4037.0,1,8,6.0,2
4037.0,1,1,0,1
4039.0,1,10,1.0,6
4073.0,1,3,0,2
4554.0,1,3,1.0,2
4554.0,1,1,0,1
4590.0,1,2,0,1
4594.0,1,4,0,4
4594.0,1,1,0,0
4594.0,1,3,2.0,2
4594.0,1,1,0,0
4594.0,1,1,0,1
4594.0,1,1,1.0,1
4594.0,1,1,1.0,1
4594.0,1,1,0,1
4596.0,1,6,1.0,4
4596.0,1,3,1.0,2
4641.0,1,1,0,1
4641.0,1,1,0,1
4641.0,1,1,0,1
4641.0,1,1,1.0,1
4641.0,1,2,1.0,2
4641.0,1,1,0,1
4641.0,1,1,0,0
4822.0,1,1,1.0,1
4822.0,1,1,0,1
4822.0,1,1,0,1
4822.0,1,3,2.0,3
4822.0,1,1,0,0
4822.0,1,1,0,0
4822.0,1,3,2.0,3
4822.0,1,6,4.0,2
4822.0,1,2,1.0,2
4822.0,1,1,0,1
4822.0,1,1,0,1
4844.0,1,7,4.0,5
4844.0,1,2,0,2
4854.0,1,4,0,3
4888.0,1,2,0,2
4888.0,1,1,0,0
4888.0,1,2,1.0,2
4888.0,1,1,1.0,1
4888.0,1,1,0,0
4888.0,1,2,0,2
4950.0,1,3,0,2
4951.0,1,1,0,0
4951.0,1,1,0,1
4951.0,1,1,0,1
4951.0,1,5,0,3
4951.0,1,3,0,3
4951.0,1,1,0,1
4951.0,1,9,1.0,4
4951.0,1,3,3.0,3
4951.0,1,5,2.0,3
4951.0,1,16,8.0,4
4951.0,1,2,0,2
4951.0,1,1,0,0
4951.0,1,1,0,1
4951.0,1,3,0,2
4951.0,1,1,1.0,1
4951.0,1,14,7.0,4
4951.0,1,5,4.0,2
4951.0,1,1,1.0,1
4951.0,1,3,2.0,2
4951.0,1,11,5.0,6
4951.0,1,3,2.0,3
4951.0,1,1,0,1
4951.0,1,2,1.0,2
4951.0,1,1,0,0
4951.0,1,1,0,1
4951.0,1,1,0,1
4951.0,1,1,0,0
5040.0,1,8,1.0,7
5095.0,1,8,4.0,4
5095.0,1,3,3.0,3
5095.0,1,2,2.0,1
5095.0,1,11,4.0,8
5095.0,1,1,0,1
5095.0,1,1,0,0
5095.0,1,2,2.0,1
5095.0,1,2,2.0,1
5095.0,1,2,2.0,1
5095.0,1,2,1.0,1
5095.0,1,1,0,0
5095.0,1,5,2.0,4
5095.0,1,2,0,2
5234.0,1,3,0,0
5387.0,1,1,0,0
5387.0,1,1,0,1
5387.0,1,2,0,2
5395.0,1,1,0,0
5395.0,1,2,0,2
5468.0,1,2,0,1
5807.0,1,6,1.0,6
5807.0,1,3,0,2
5807.0,1,3,1.0,2
5807.0,1,2,1.0,1
5807.0,1,7,5.0,5
5807.0,1,2,1.0,2
5807.0,1,1,0,1
5807.0,1,8,4.0,6
5807.0,1,1,0,1
5807.0,1,1,0,1
5807.0,1,1,0,1
5825.0,1,1,0,0
5825.0,1,3,2.0,3
5825.0,1,2,1.0,2
5825.0,1,1,0,1
5832.0,1,2,0,1
5944.0,1,1,0,1
5944.0,1,13,6.0,3
5944.0,1,1,0,1
5963.0,1,8,0,4
6006.0,1,54,8.0,6
6012.0,1,5,2.0,4
6012.0,1,1,0,1
6025.0,1,3,0,0
6298.0,1,4,1.0,4
6298.0,1,1,0,1
6298.0,1,1,0,0
6298.0,1,1,0,0
6298.0,1,1,0,1
6298.0,1,1,0,1
6298.0,1,2,1.0,2
6298.0,1,3,1.0,2
6298.0,1,5,3.0,3
6361.0,1,3,0,2
6904.0,1,1,1.0,1
6904.0,1,1,0,1
6909.0,1,1,0,0
6909.0,1,3,1.0,3
6909.0,1,1,0,1
6909.0,1,1,0,1
7229.0,1,1,0,0
7229.0,1,6,4.0,4
7672.0,1,3,0,3
7692.0,1,1,0,1
7696.0,1,3,0,2
7814.0,1,2,1.0,2
7814.0,1,1,0,1
8089.0,1,1,0,0
8089.0,1,3,2.0,3
8089.0,1,3,2.0,3
8089.0,1,1,0,1
8089.0,1,2,0,2
8103.0,1,7,4.0,3
8113.0,1,7,5.0,4
8113.0,1,3,1.0,2
8133.0,1,12,3.0,7
8994.0,1,1,0,1
8997.0,1,1,0,0
8997.0,1,1,0,1
8997.0,1,2,0,2
8997.0,1,1,0,1
8999.0,1,1,0,0
8999.0,1,1,0,1
8999.0,1,2,1.0,2
8999.0,1,2,1.0,2
8999.0,1,1,0,1
9001.0,1,1,0,0
9001.0,1,1,0,1
9001.0,1,1,0,1
9009.0,1,1,0,0
9009.0,1,1,0,1
9012.0,1,1,0,0
9012.0,1,1,0,1
9013.0,1,1,0,0
9013.0,1,1,0,1
9013.0,1,2,0,2
9017.0,1,1,0,0
9017.0,1,5,3.0,2
9017.0,1,1,0,1
9017.0,1,14,0,2
9041.0,1,2,0,1
9108.0,1,10,2.0,6
9108.0,1,2,1.0,2
9108.0,1,1,0,1
9108.0,1,2,1.0,2
9108.0,1,1,0,1
9176.0,1,3,0,1
9407.0,1,2,0,2
9439.0,1,1,0,0
9439.0,1,14,3.0,8
9439.0,1,5,4.0,2
9439.0,1,2,0,2
9466.0,1,1,0,0
9466.0,1,3,0,3
9466.0,1,1,0,1
9466.0,1,1,0,1
9493.0,1,4,2.0,4
9493.0,1,2,1.0,2
9493.0,1,1,0,1
9493.0,1,1,0,1
9627.0,1,5,0,3
9627.0,1,2,1.0,2
9627.0,1,1,0,1
9627.0,1,3,1.0,2
9628.0,1,2,0,2
9628.0,1,2,0,2
9629.0,1,9,1.0,6
9629.0,1,2,1.0,2
9629.0,1,7,3.0,3
9629.0,1,3,2.0,2
9629.0,1,2,1.0,2
9629.0,1,1,0,1
9629.0,1,2,1.0,2
9629.0,1,1,0,0
9629.0,1,4,0,2
9637.0,1,2,0,1
9725.0,1,3,1.0,3
9725.0,1,1,0,1
9794.0,1,1,0,1
9794.0,1,13,10.0,3
9794.0,1,3,3.0,1
9794.0,1,1,0,1
9794.0,1,3,1.0,3
9794.0,1,4,3.0,2
9794.0,1,1,0,1
9794.0,1,1,0,1
9794.0,1,1,0,0
9831.0,1,1,0,1
9831.0,1,1,0,1
9890.0,1,2,0,2
9915.0,1,4,3.0,2
9915.0,1,2,0,2
9929.0,1,3,1.0,2
9929.0,1,2,1.0,2
9929.0,1,1,0,0
9929.0,1,1,0,0
9929.0,1,1,0,0
9929.0,1,1,0,0
9929.0,1,1,0,0
9929.0,1,1,0,0
9929.0,1,8,7.0,3
9929.0,1,1,0,1
9929.0,1,1,1.0,1
9929.0,1,1,0,1
9929.0,1,1,0,0
9929.0,1,1,0,1
9929.0,1,3,2.0,2
9929.0,1,3,1.0,2
9929.0,1,1,0,0
9929.0,1,2,1.0,2
9929.0,1,4,2.0,3
9933.0,1,3,0,2
10026.0,1,10,3.0,3
10093.0,1,3,0,3
10259.0,1,4,1.0,4
10259.0,1,11,4.0,6
10259.0,1,2,3.0,1
10259.0,1,1,0,1
10259.0,1,1,0,0
10259.0,1,1,0,1
10259.0,1,1,0,1
10259.0,1,1,0,1
10259.0,1,1,0,0
10259.0,1,3,2.0,3
10259.0,1,17,10.0,6
10259.0,1,5,3.0,4
10259.0,1,3,2.0,3
10259.0,1,1,0,0
10259.0,1,1,0,1
10259.0,1,2,1.0,2
10259.0,1,1,0,1
10259.0,1,2,2.0,2
10259.0,1,6,4.0,2
10695.0,1,5,0,3
10807.0,1,2,0,2
10809.0,1,1,0,1
10809.0,1,1,0,1
10809.0,1,2,0,2
10809.0,1,7,1.0,3
10864.0,1,1,0,0
10864.0,1,3,0,2
10864.0,1,7,0,3
10864.0,1,1,0,0
