page_id,sub_index,posts,max_depth,authors
11.0,1,10,1.0,7
11.0,1,2,0,1
27.0,1,1,1.0,1
27.0,1,4,2.0,2
27.0,1,3,2.0,2
27.0,1,2,0,2
27.0,1,1,0,1
27.0,1,3,2.0,3
27.0,1,1,0,1
27.0,1,1,0,1
27.0,1,1,0,1
27.0,1,3,0,2
27.0,1,1,0,1
27.0,1,1,0,0
27.0,1,1,0,1
122.0,1,2,0,2
122.0,1,1,0,0
122.0,1,1,0,1
122.0,1,2,3.0,2
122.0,1,1,1.0,1
140.0,1,3,0,2
182.0,1,2,1.0,2
182.0,1,6,2.0,5
182.0,1,1,0,1
182.0,1,5,1.0,4
182.0,1,4,1.0,3
182.0,1,1,0,1
182.0,1,1,0,1
182.0,1,5,0,5
182.0,1,1,0,0
182.0,1,1,0,1
182.0,1,2,0,2
182.0,1,15,2.0,8
182.0,1,1,0,1
182.0,1,2,0,2
182.0,1,1,0,1
182.0,1,1,0,1
182.0,1,1,2.0,1
182.0,1,1,1.0,1
182.0,1,2,0,2
182.0,1,19,8.0,11
182.0,1,1,0,1
182.0,1,5,2.0,4
182.0,1,2,0,2
182.0,1,2,1.0,2
182.0,1,1,1.0,1
182.0,1,1,0,1
182.0,1,5,2.0,3
182.0,1,7,5.0,3
182.0,1,2,0,2
182.0,1,1,0,1
182.0,1,1,0,1
182.0,1,10,6.0,4
182.0,1,2,0,2
182.0,1,1,0,1
182.0,1,2,1.0,1
182.0,1,1,1.0,1
182.0,1,3,0,2
182.0,1,1,0,0
182.0,1,1,0,1
182.0,1,1,0,0
182.0,1,1,0,1
182.0,1,2,1.0,1
182.0,1,1,0,0
182.0,1,12,3.0,5
182.0,1,2,0,2
182.0,1,9,3.0,3
182.0,1,1,0,1
182.0,1,1,0,1
182.0,1,1,0,1
182.0,1,8,1.0,6
182.0,1,2,0,2
182.0,1,1,0,0
193.0,1,4,0,3
193.0,1,2,0,2
194.0,1,2,0,2
194.0,1,1,0,0
194.0,1,1,0,1
194.0,1,1,0,1
194.0,1,1,0,1
194.0,1,1,0,1
194.0,1,2,1.0,1
194.0,1,1,0,1
194.0,1,1,1.0,1
194.0,1,1,0,1
208.0,1,5,0,4
208.0,1,2,0,2
208.0,1,6,4.0,3
208.0,1,1,0,1
483.0,1,5,1.0,3
509.0,1,1,0,0
629.0,1,3,0,3
629.0,1,1,0,0
671.0,1,1,0,1
671.0,1,1,0,0
671.0,1,1,1.0,1
671.0,1,1,0,1
671.0,1,1,0,1
671.0,1,1,1.0,1
671.0,1,1,0,0
701.0,1,9,1.0,8
739.0,1,3,0,3
739.0,1,1,0,0
739.0,1,1,1.0,1
739.0,1,1,0,1
739.0,1,1,0,1
739.0,1,1,1.0,1
739.0,1,4,2.0,2
739.0,1,4,1.0,2
739.0,1,1,0,1
