page_id,sub_index,posts,max_depth,authors
227.0,1,1,0,0
227.0,1,1,0,0
252.0,1,1,0,0
252.0,1,1,0,1
252.0,1,2,1.0,2
252.0,1,1,0,1
381.0,1,3,1.0,2
389.0,1,1,0,1
389.0,1,1,0,0
389.0,1,1,0,0
446.0,1,1,0,0
446.0,1,5,2.0,1
446.0,1,2,0,2
446.0,1,1,0,0
446.0,1,2,1.0,2
446.0,1,1,0,1
446.0,1,1,0,0
446.0,1,1,0,0
595.0,1,1,0,0
595.0,1,1,0,1
609.0,1,2,0,2
609.0,1,2,0,2
609.0,1,1,0,1
609.0,1,1,0,0
609.0,1,1,0,0
921.0,1,1,0,0
921.0,1,2,0,2
921.0,1,1,0,1
921.0,1,1,0,0
921.0,1,2,0,2
921.0,1,1,0,0
921.0,1,1,0,1
921.0,1,1,0,1
1047.0,1,1,0,0
1047.0,1,1,0,0
1098.0,1,1,0,0
1098.0,1,1,0,0
1098.0,1,2,1.0,2
1098.0,1,1,0,1
1277.0,1,1,1.0,1
1277.0,1,1,0,0
1284.0,1,1,0,0
1284.0,1,1,0,1
1284.0,1,25,4.0,4
1496.0,1,1,0,0
1496.0,1,1,0,1
1930.0,1,1,0,0
1930.0,1,1,0,1
1930.0,1,1,0,0
1930.0,1,1,0,0
1966.0,1,1,0,0
1966.0,1,1,0,0
2592.0,1,2,0,0
2611.0,1,1,0,0
2624.0,1,1,0,1
2624.0,1,1,0,1
2624.0,1,1,0,1
2624.0,1,1,0,0
2662.0,1,1,0,0
2662.0,1,1,0,0
2662.0,1,3,0,3
2662.0,1,38,3.0,13
2662.0,1,5,2.0,5
2662.0,1,1,0,0
2662.0,1,3,2.0,1
2662.0,1,1,0,0
2662.0,1,13,3.0,4
2662.0,1,40,4.0,7
2662.0,1,2,1.0,2
2662.0,1,7,2.0,7
2662.0,1,19,7.0,6
2662.0,1,30,3.0,10
2662.0,1,6,2.0,4
2662.0,1,1,0,1
2662.0,1,4,2.0,2
2662.0,1,32,4.0,6
2662.0,1,20,3.0,10
2662.0,1,3,0,2
2662.0,1,8,1.0,6
2662.0,1,14,4.0,6
2662.0,1,9,5.0,4
2662.0,1,10,4.0,4
2662.0,1,13,2.0,7
2680.0,1,2,0,0
2686.0,1,1,0,1
2686.0,1,1,0,0
2686.0,1,1,0,1
2686.0,1,1,0,0
2686.0,1,1,0,0
2686.0,1,1,0,1
2686.0,1,1,0,0
2686.0,1,1,0,1
2686.0,1,4,2.0,2
2727.0,1,16,4.0,8
2727.0,1,2,0,1
2727.0,1,1,0,0
2727.0,1,1,0,0
2727.0,1,1,0,0
2727.0,1,1,0,0
2727.0,1,1,0,0
2727.0,1,1,0,0
2727.0,1,1,0,0
2727.0,1,1,0,0
2727.0,1,1,0,0
2727.0,1,1,0,0
2727.0,1,1,0,0
2727.0,1,21,7.0,5
2736.0,1,1,0,0
2736.0,1,3,2.0,2
2736.0,1,1,0,0
2736.0,1,1,0,0
2736.0,1,1,0,1
2758.0,1,1,0,0
2758.0,1,1,0,1
2758.0,1,2,1.0,2
2758.0,1,1,0,1
2758.0,1,1,0,1
2758.0,1,1,0,1
2758.0,1,1,0,1
2758.0,1,3,2.0,2
2758.0,1,1,0,0
2758.0,1,3,2.0,1
2758.0,1,2,1.0,2
2758.0,1,1,0,0
2758.0,1,1,0,0
2758.0,1,1,0,1
3527.0,1,1,0,0
3527.0,1,1,1.0,1
3527.0,1,3,2.0,2
3527.0,1,1,0,1
3527.0,1,1,0,1
3527.0,1,2,1.0,2
3527.0,1,1,0,1
3614.0,1,1,0,0
3614.0,1,1,0,1
3614.0,1,1,0,1
3614.0,1,2,0,2
3614.0,1,13,6.0,4
3614.0,1,1,0,0
3628.0,1,2,0,2
3628.0,1,1,0,0
3628.0,1,1,0,1
3628.0,1,1,1.0,1
3683.0,1,1,0,0
3683.0,1,1,0,0
3683.0,1,1,0,0
3683.0,1,1,0,1
3683.0,1,2,1.0,2
3683.0,1,3,1.0,2
3683.0,1,1,0,0
3683.0,1,1,0,1
3683.0,1,1,0,1
3741.0,1,1,0,0
3741.0,1,4,1.0,3
3741.0,1,1,0,1
3742.0,1,1,0,0
3742.0,1,1,0,1
3742.0,1,1,0,1
3894.0,1,1,0,0
3894.0,1,11,3.0,8
3894.0,1,1,0,0
3993.0,1,1,0,0
3993.0,1,1,0,1
3993.0,1,5,3.0,2
3993.0,1,4,4.0,3
3993.0,1,1,0,0
3993.0,1,1,0,0
3993.0,1,1,0,0
4004.0,1,5,2.0,3
4004.0,1,28,3.0,20
4004.0,1,31,0,27
4004.0,1,1,0,1
4027.0,1,2,0,1
4080.0,1,1,0,0
4080.0,1,1,0,0
4080.0,1,1,0,1
4080.0,1,1,0,0
4080.0,1,1,0,0
4080.0,1,1,1.0,1
4080.0,1,1,0,1
4080.0,1,1,0,1
4782.0,1,2,0,0
4824.0,1,1,0,0
4824.0,1,1,0,0
4824.0,1,3,1.0,3
4824.0,1,1,0,1
4824.0,1,4,1.0,3
4824.0,1,1,0,0
4824.0,1,1,0,0
4824.0,1,1,0,0
4968.0,1,3,0,2
5329.0,1,1,0,1
5329.0,1,1,0,0
5329.0,1,1,0,0
5847.0,1,1,0,1
5847.0,1,1,0,0
5847.0,1,1,0,1
5914.0,1,1,0,0
5914.0,1,1,1.0,1
5914.0,1,5,5.0,3
5914.0,1,1,0,1
5914.0,1,1,0,1
5914.0,1,4,3.0,1
5914.0,1,2,1.0,2
5914.0,1,30,4.0,6
5955.0,1,1,0,0
5955.0,1,2,1.0,2
5955.0,1,1,0,1
5955.0,1,2,0,2
5955.0,1,1,0,1
5955.0,1,1,1.0,1
5955.0,1,3,0,3
5955.0,1,5,2.0,3
5955.0,1,30,5.0,6
5955.0,1,2,1.0,2
5955.0,1,2,1.0,2
5955.0,1,1,0,0
5955.0,1,2,1.0,2
5955.0,1,2,1.0,2
5955.0,1,2,1.0,2
5955.0,1,1,0,0
5955.0,1,2,1.0,2
5955.0,1,1,0,1
5955.0,1,2,1.0,2
5955.0,1,3,1.0,2
6104.0,1,1,0,0
6104.0,1,1,0,0
6104.0,1,1,0,0
6135.0,1,1,0,0
6135.0,1,11,2.0,8
6135.0,1,2,1.0,2
6135.0,1,3,0,3
6135.0,1,1,0,0
6135.0,1,1,0,1
6135.0,1,1,0,0
6135.0,1,1,0,0
6135.0,1,1,0,0
6207.0,1,1,0,0
6207.0,1,1,0,0
6207.0,1,12,9.0,4
6207.0,1,1,0,0
6207.0,1,1,0,1
6207.0,1,1,0,0
6207.0,1,1,1.0,1
6207.0,1,1,0,1
6207.0,1,5,3.0,3
6207.0,1,7,6.0,4
6207.0,1,1,0,0
6207.0,1,1,1.0,1
6207.0,1,1,1.0,1
6207.0,1,1,0,1
6207.0,1,1,0,0
6207.0,1,1,1.0,1
6207.0,1,1,0,0
6208.0,1,1,0,0
6208.0,1,8,0,3
6208.0,1,1,0,0
6208.0,1,1,0,0
6208.0,1,1,0,0
6208.0,1,1,0,0
6208.0,1,2,0,2
6208.0,1,1,0,0
6208.0,1,1,0,0
6307.0,1,1,0,0
6307.0,1,1,0,0
6307.0,1,1,2.0,1
6307.0,1,1,0,1
6307.0,1,4,3.0,4
6307.0,1,3,2.0,2
6307.0,1,2,0,2
6307.0,1,5,1.0,2
6307.0,1,1,0,0
6307.0,1,1,0,0
6307.0,1,1,2.0,1
6307.0,1,5,0,2
6307.0,1,1,0,0
6307.0,1,4,1.0,2
6307.0,1,1,0,0
6307.0,1,3,0,3
6307.0,1,11,3.0,7
6307.0,1,1,0,0
6307.0,1,1,0,1
6307.0,1,5,1.0,5
6307.0,1,6,0,3
6307.0,1,2,1.0,2
6307.0,1,5,0,4
6307.0,1,2,1.0,2
6307.0,1,3,1.0,2
6307.0,1,2,0,2
6307.0,1,3,1.0,3
6307.0,1,7,0,5
6307.0,1,14,2.0,4
6307.0,1,2,0,2
6307.0,1,8,0,5
6307.0,1,3,0,3
6307.0,1,1,0,0
6307.0,1,1,0,1
6307.0,1,1,0,1
6307.0,1,1,0,1
6307.0,1,1,0,1
6307.0,1,1,0,1
6307.0,1,1,0,1
6307.0,1,1,0,0
6307.0,1,1,0,1
6326.0,1,4,1.0,2
6326.0,1,1,0,0
6640.0,1,1,0,0
6640.0,1,1,0,0
6640.0,1,1,0,1
6640.0,1,1,0,1
6640.0,1,1,0,0
6640.0,1,1,0,0
6640.0,1,2,1.0,2
6640.0,1,1,0,0
6640.0,1,1,0,1
6640.0,1,1,1.0,1
6640.0,1,1,0,0
6640.0,1,1,1.0,1
6640.0,1,6,3.0,5
6640.0,1,2,0,2
6640.0,1,1,0,1
6640.0,1,1,0,1
6640.0,1,2,0,2
6640.0,1,1,0,1
6640.0,1,1,0,1
6640.0,1,2,1.0,2
6640.0,1,1,0,1
6640.0,1,1,0,0
6640.0,1,1,0,0
6640.0,1,1,0,1
6640.0,1,1,0,1
6640.0,1,1,0,0
6640.0,1,1,0,0
6640.0,1,1,0,1
6640.0,1,1,0,1
6640.0,1,1,0,1
6640.0,1,6,0,4
6647.0,1,1,0,0
6647.0,1,2,0,2
6721.0,1,13,1.0,6
6721.0,1,2,0,2
6721.0,1,2,1.0,1
6721.0,1,2,0,2
6721.0,1,2,0,1
6721.0,1,1,0,1
6721.0,1,1,0,0
6721.0,1,5,1.0,2
6721.0,1,1,0,0
6721.0,1,5,3.0,3
6721.0,1,2,2.0,1
6721.0,1,14,12.0,2
6721.0,1,1,0,0
6722.0,1,2,0,2
6722.0,1,1,0,1
6722.0,1,2,1.0,2
6722.0,1,2,1.0,2
6722.0,1,2,1.0,2
6722.0,1,1,0,1
6722.0,1,2,0,2
6722.0,1,2,0,2
6754.0,1,3,0,2
6835.0,1,3,1.0,2
6835.0,1,1,0,1
6835.0,1,1,0,1
6835.0,1,2,0,0
6835.0,1,1,0,1
6835.0,1,1,0,0
6911.0,1,1,0,0
6911.0,1,1,0,1
