page_id,sub_index,posts,max_depth,authors
23.0,1,1,0,0
23.0,1,1,0,0
69.0,1,1,0,1
69.0,1,2,0,2
69.0,1,1,0,1
343.0,1,2,0,0
477.0,1,1,0,0
841.0,1,2,0,0
866.0,1,5,4.0,4
866.0,1,6,2.0,5
866.0,1,4,2.0,2
866.0,1,1,0,1
866.0,1,2,1.0,2
866.0,1,3,2.0,2
866.0,1,3,1.0,2
866.0,1,3,2.0,2
866.0,1,1,0,1
866.0,1,3,0,3
866.0,1,4,2.0,3
866.0,1,3,2.0,3
866.0,1,2,0,2
866.0,1,1,2.0,1
866.0,1,4,2.0,3
866.0,1,1,0,1
866.0,1,2,2.0,2
866.0,1,1,0,1
866.0,1,1,1.0,1
866.0,1,2,1.0,2
866.0,1,2,1.0,1
866.0,1,1,0,1
866.0,1,1,0,0
866.0,1,13,8.0,4
866.0,1,1,1.0,1
866.0,1,1,1.0,1
872.0,1,1,0,0
872.0,1,1,0,0
872.0,1,6,1.0,3
872.0,1,3,1.0,3
872.0,1,1,0,1
872.0,1,15,11.0,3
872.0,1,1,0,0
872.0,1,2,0,2
872.0,1,3,0,2
872.0,1,1,0,0
872.0,1,2,1.0,2
872.0,1,1,0,0
872.0,1,2,0,1
872.0,1,2,1.0,2
872.0,1,1,0,1
872.0,1,1,0,1
872.0,1,4,2.0,4
872.0,1,6,4.0,2
872.0,1,8,3.0,4
872.0,1,1,0,1
872.0,1,3,1.0,2
872.0,1,1,0,0
872.0,1,2,0,2
872.0,1,1,0,0
898.0,1,1,0,0
898.0,1,2,0,2
898.0,1,3,1.0,2
898.0,1,1,0,0
898.0,1,1,0,1
898.0,1,1,0,0
898.0,1,2,0,1
905.0,1,1,0,0
905.0,1,11,8.0,3
905.0,1,1,0,1
905.0,1,1,0,1
905.0,1,1,0,0
1085.0,1,1,0,0
1085.0,1,1,0,1
1085.0,1,34,8.0,6
1085.0,1,2,0,1
1085.0,1,9,4.0,5
1085.0,1,4,2.0,2
1085.0,1,13,11.0,3
1085.0,1,1,0,0
1085.0,1,22,3.0,6
1085.0,1,1,0,1
1085.0,1,2,1.0,2
1085.0,1,1,0,0
1085.0,1,1,0,0
1085.0,1,1,0,0
1085.0,1,1,0,0
1085.0,1,2,1.0,2
1085.0,1,6,2.0,3
1085.0,1,3,1.0,3
1085.0,1,3,0,2
1085.0,1,3,2.0,2
1085.0,1,1,0,0
1085.0,1,2,0,2
1085.0,1,1,0,1
1085.0,1,1,0,1
1085.0,1,1,0,0
1085.0,1,1,0,0
1085.0,1,1,0,1
1085.0,1,1,0,0
1085.0,1,1,0,1
1085.0,1,14,0,4
1085.0,1,20,3.0,6
1085.0,1,4,0,3
1085.0,1,40,0,4
1085.0,1,1,0,0
1557.0,1,1,0,0
1557.0,1,1,0,1
1557.0,1,4,3.0,3
1557.0,1,3,2.0,2
1557.0,1,1,0,1
1557.0,1,1,0,1
1557.0,1,1,1.0,1
1557.0,1,3,1.0,2
1557.0,1,3,1.0,3
1557.0,1,1,1.0,1
1557.0,1,11,2.0,6
1557.0,1,3,2.0,3
1557.0,1,1,0,1
1557.0,1,1,0,1
1557.0,1,7,4.0,3
1557.0,1,4,3.0,4
1557.0,1,2,1.0,2
1557.0,1,1,0,0
1557.0,1,3,1.0,3
1557.0,1,12,6.0,4
1557.0,1,1,0,0
1557.0,1,2,3.0,1
1557.0,1,1,0,0
1557.0,1,2,1.0,2
1557.0,1,3,3.0,2
1557.0,1,1,0,0
1557.0,1,7,4.0,2
1557.0,1,6,2.0,3
1557.0,1,2,1.0,2
1557.0,1,1,0,1
1557.0,1,1,0,1
1557.0,1,1,0,0
1557.0,1,1,0,0
1557.0,1,2,1.0,2
1557.0,1,3,2.0,3
1557.0,1,2,2.0,2
1557.0,1,2,1.0,2
1557.0,1,1,0,0
1557.0,1,2,2.0,2
1557.0,1,1,0,1
1557.0,1,1,0,0
1557.0,1,2,1.0,2
1557.0,1,1,0,1
1557.0,1,2,0,2
1557.0,1,1,0,1
1557.0,1,5,1.0,2
1557.0,1,1,0,0
1557.0,1,1,0,1
1557.0,1,6,0,2
1557.0,1,1,0,1
1557.0,1,1,0,0
1557.0,1,2,0,2
1557.0,1,1,0,1
1557.0,1,1,1.0,1
1557.0,1,1,0,1
1557.0,1,5,1.0,2
1557.0,1,2,0,1
1557.0,1,1,0,1
1557.0,1,1,0,1
1557.0,1,1,0,0
1557.0,1,1,0,0
1557.0,1,1,0,0
1665.0,1,1,0,0
1665.0,1,5,1.0,4
1665.0,1,1,0,1
1665.0,1,2,1.0,2
1665.0,1,1,0,0
1738.0,1,1,0,0
1738.0,1,13,3.0,9
1738.0,1,4,3.0,2
1738.0,1,2,1.0,2
1738.0,1,8,1.0,5
1738.0,1,1,0,1
1738.0,1,5,0,3
1738.0,1,1,0,0
1738.0,1,1,0,1
1738.0,1,3,2.0,2
1738.0,1,1,0,1
1738.0,1,2,1.0,1
1738.0,1,1,0,1
1738.0,1,1,0,0
1738.0,1,2,1.0,2
1738.0,1,3,0,3
1738.0,1,1,1.0,1
1738.0,1,1,0,0
1738.0,1,1,0,1
1738.0,1,1,0,1
1738.0,1,1,0,1
1738.0,1,1,0,1
1738.0,1,1,1.0,1
1738.0,1,1,0,1
1738.0,1,1,0,1
1738.0,1,1,0,1
1738.0,1,1,0,1
1738.0,1,1,1.0,1
1738.0,1,1,0,1
1738.0,1,2,0,1
1894.0,1,1,0,0
1894.0,1,1,0,0
1894.0,1,1,0,0
1920.0,1,2,0,0
1930.0,1,2,0,1
1931.0,1,1,0,0
1931.0,1,5,2.0,3
1931.0,1,2,0,2
1931.0,1,2,2.0,2
1931.0,1,1,0,0
1931.0,1,1,0,1
2474.0,1,2,0,2
2474.0,1,1,0,0
2687.0,1,6,1.0,4
2889.0,1,1,0,0
3081.0,1,4,1.0,3
3374.0,1,10,8.0,2
3374.0,1,1,0,1
3374.0,1,1,0,0
3442.0,1,1,0,0
3442.0,1,1,0,1
3442.0,1,1,0,1
3442.0,1,1,0,0
3442.0,1,1,0,1
3442.0,1,7,0,2
3442.0,1,1,0,1
3477.0,1,1,0,0
3477.0,1,4,1.0,4
3477.0,1,1,0,1
3686.0,1,1,0,0
3686.0,1,7,4.0,4
3686.0,1,3,3.0,3
3686.0,1,1,0,1
3686.0,1,1,0,1
3686.0,1,1,0,1
3686.0,1,1,0,1
3705.0,1,1,0,0
3705.0,1,1,0,0
3705.0,1,2,0,1
3784.0,1,1,0,1
3784.0,1,2,1.0,1
3784.0,1,11,4.0,4
3784.0,1,1,1.0,1
3784.0,1,1,0,0
3784.0,1,7,6.0,2
3784.0,1,1,0,0
3784.0,1,1,0,0
3850.0,1,1,0,0
3850.0,1,1,1.0,1
3850.0,1,23,0,6
3850.0,1,1,0,0
3850.0,1,4,2.0,2
3850.0,1,1,0,1
3873.0,1,1,0,0
3873.0,1,1,0,0
3873.0,1,1,0,1
3873.0,1,1,0,0
3873.0,1,1,0,0
3873.0,1,2,3.0,1
3873.0,1,1,0,1
3873.0,1,1,0,1
3873.0,1,1,0,0
3873.0,1,1,0,1
3873.0,1,1,0,1
3909.0,1,1,0,0
3909.0,1,4,1.0,1
3909.0,1,4,1.0,2
3909.0,1,5,2.0,5
3909.0,1,1,0,0
3909.0,1,1,0,1
3945.0,1,1,0,0
3945.0,1,4,0,3
3945.0,1,3,0,2
3945.0,1,2,0,2
3945.0,1,1,0,1
3945.0,1,1,0,1
3945.0,1,10,0,2
3945.0,1,12,5.0,3
3945.0,1,28,0,2
3945.0,1,3,0,3
3945.0,1,1,0,1
3945.0,1,1,0,1
3945.0,1,4,7.0,1
3945.0,1,1,0,1
3945.0,1,16,6.0,7
3945.0,1,3,1.0,2
3945.0,1,20,0,3
3945.0,1,16,13.0,2
3945.0,1,7,4.0,3
3945.0,1,3,2.0,3
3945.0,1,8,1.0,4
3945.0,1,4,0,4
3945.0,1,1,0,1
3945.0,1,8,0,2
3945.0,1,4,0,2
3945.0,1,1,0,1
3945.0,1,4,0,3
3945.0,1,8,3.0,3
3945.0,1,1,0,0
3945.0,1,1,0,0
3945.0,1,1,0,1
3945.0,1,4,0,2
3945.0,1,7,0,4
3945.0,1,7,5.0,3
3945.0,1,76,12.0,6
3945.0,1,1,1.0,1
3945.0,1,1,0,1
3945.0,1,2,0,2
3945.0,1,3,0,3
3945.0,1,8,5.0,3
3945.0,1,2,1.0,2
3945.0,1,1,0,0
3971.0,1,1,0,0
3971.0,1,2,1.0,2
3971.0,1,1,0,1
3971.0,1,3,1.0,3
3971.0,1,2,0,1
4034.0,1,1,0,0
4034.0,1,5,4.0,5
4034.0,1,1,1.0,1
4034.0,1,1,0,1
4034.0,1,8,6.0,3
4034.0,1,2,0,2
4034.0,1,2,1.0,2
4034.0,1,2,0,2
4034.0,1,2,2.0,2
4034.0,1,3,0,3
4044.0,1,1,0,0
4044.0,1,4,1.0,1
4044.0,1,1,0,1
4044.0,1,1,0,1
4044.0,1,1,0,1
4044.0,1,1,0,1
4044.0,1,1,0,1
4044.0,1,2,0,2
4044.0,1,1,0,0
4274.0,1,1,0,0
4274.0,1,1,0,1
4274.0,1,3,1.0,3
4274.0,1,4,0,3
4274.0,1,1,0,1
4274.0,1,1,0,0
4274.0,1,1,0,1
4274.0,1,1,1.0,1
4274.0,1,1,1.0,1
4274.0,1,1,0,1
