page_id,sub_index,posts,max_depth,authors
49.0,1,7,0,4
90.0,1,1,0,0
90.0,1,1,0,0
90.0,1,1,0,0
90.0,1,1,0,0
90.0,1,2,1.0,2
90.0,1,1,0,1
90.0,1,1,0,0
90.0,1,1,0,0
90.0,1,1,0,0
90.0,1,1,0,0
90.0,1,2,0,2
99.0,1,1,0,0
99.0,1,2,1.0,2
99.0,1,1,0,0
99.0,1,1,0,0
99.0,1,1,0,0
99.0,1,1,0,0
99.0,1,1,0,0
99.0,1,1,0,0
99.0,1,1,0,0
99.0,1,1,0,0
99.0,1,1,1.0,1
99.0,1,1,0,0
99.0,1,5,3.0,2
101.0,1,1,0,0
101.0,1,1,0,0
105.0,1,1,0,0
105.0,1,9,1.0,6
105.0,1,7,4.0,5
105.0,1,3,1.0,3
105.0,1,1,0,0
105.0,1,1,0,0
105.0,1,1,0,0
105.0,1,1,0,1
105.0,1,1,1.0,1
105.0,1,5,5.0,2
105.0,1,6,5.0,4
105.0,1,1,0,1
105.0,1,1,0,1
105.0,1,1,0,1
105.0,1,1,0,1
105.0,1,1,0,1
105.0,1,1,0,1
105.0,1,1,0,0
130.0,1,1,0,0
130.0,1,1,0,0
130.0,1,3,0,2
130.0,1,1,0,0
130.0,1,3,1.0,2
130.0,1,8,7.0,4
130.0,1,2,1.0,2
130.0,1,20,15.0,8
167.0,1,4,4.0,3
172.0,1,1,1.0,1
172.0,1,1,0,0
172.0,1,1,0,0
289.0,1,1,0,0
289.0,1,5,2.0,4
289.0,1,1,0,1
289.0,1,3,1.0,2
289.0,1,1,0,1
289.0,1,1,0,1
289.0,1,1,0,1
289.0,1,1,0,1
289.0,1,1,0,1
289.0,1,1,0,1
289.0,1,1,0,1
289.0,1,2,0,1
289.0,1,1,0,1
289.0,1,7,6.0,3
289.0,1,1,0,0
435.0,1,1,0,0
435.0,1,3,1.0,3
435.0,1,2,1.0,2
435.0,1,14,4.0,5
435.0,1,5,4.0,3
435.0,1,7,4.0,2
435.0,1,1,1.0,1
435.0,1,1,0,0
435.0,1,1,0,1
435.0,1,1,0,1
435.0,1,1,0,0
435.0,1,2,0,2
442.0,1,1,0,0
442.0,1,1,0,0
458.0,1,1,0,1
458.0,1,4,3.0,2
458.0,1,14,11.0,4
458.0,1,1,0,0
458.0,1,2,1.0,2
458.0,1,3,1.0,2
468.0,1,1,0,0
468.0,1,1,0,1
468.0,1,4,1.0,4
468.0,1,2,1.0,2
468.0,1,1,0,0
468.0,1,1,0,0
468.0,1,1,0,1
468.0,1,1,0,1
468.0,1,1,0,0
468.0,1,1,0,0
484.0,1,5,1.0,3
484.0,1,1,0,1
484.0,1,3,1.0,2
484.0,1,6,5.0,3
484.0,1,1,0,1
484.0,1,12,10.0,3
484.0,1,1,0,1
484.0,1,1,0,0
485.0,1,2,2.0,2
485.0,1,6,4.0,4
485.0,1,1,1.0,1
485.0,1,1,0,0
485.0,1,1,0,0
485.0,1,1,0,1
485.0,1,1,0,1
485.0,1,4,4.0,3
485.0,1,4,4.0,2
485.0,1,2,1.0,2
485.0,1,1,1.0,1
485.0,1,1,1.0,1
485.0,1,1,0,1
485.0,1,1,0,1
489.0,1,1,0,0
489.0,1,4,1.0,3
489.0,1,2,0,1
489.0,1,1,0,1
489.0,1,1,1.0,1
489.0,1,8,6.0,5
489.0,1,1,0,1
489.0,1,1,0,1
489.0,1,1,0,0
489.0,1,2,1.0,2
489.0,1,3,1.0,3
489.0,1,9,7.0,4
489.0,1,21,13.0,5
489.0,1,4,3.0,4
489.0,1,2,1.0,2
489.0,1,1,1.0,1
489.0,1,1,1.0,1
489.0,1,2,1.0,2
489.0,1,2,1.0,2
489.0,1,3,1.0,2
489.0,1,1,1.0,1
489.0,1,3,1.0,2
489.0,1,5,1.0,3
489.0,1,2,2.0,2
489.0,1,1,0,0
489.0,1,1,0,0
489.0,1,1,0,0
489.0,1,9,8.0,4
489.0,1,5,1.0,2
489.0,1,1,0,0
489.0,1,2,1.0,2
489.0,1,1,0,0
489.0,1,1,0,0
489.0,1,2,1.0,2
489.0,1,2,1.0,2
489.0,1,1,1.0,1
489.0,1,2,2.0,2
521.0,1,1,0,0
521.0,1,1,0,0
521.0,1,1,0,0
