page_id,sub_index,posts,max_depth,authors
684.0,1,1,0,0
684.0,1,1,0,0
684.0,1,9,7.0,4
684.0,1,3,2.0,2
684.0,1,2,0,2
755.0,1,2,0,0
1571.0,1,1,0,0
1571.0,1,1,0,0
1571.0,1,1,1.0,1
1571.0,1,1,0,1
1571.0,1,59,16.0,14
1632.0,1,2,0,1
1825.0,1,2,0,2
1825.0,1,4,2.0,3
2333.0,1,1,0,0
2333.0,1,1,0,1
2333.0,1,1,0,1
2333.0,1,1,0,1
2333.0,1,1,0,1
2333.0,1,2,1.0,1
2333.0,1,1,0,1
2333.0,1,22,3.0,14
2333.0,1,8,0,7
2333.0,1,2,0,2
2362.0,1,18,1.0,6
2362.0,1,1,0,1
2362.0,1,1,0,1
2362.0,1,1,0,1
2362.0,1,2,1.0,1
2362.0,1,2,1.0,2
2362.0,1,1,0,1
2362.0,1,4,1.0,4
2362.0,1,1,0,0
2488.0,1,3,0,2
3141.0,1,2,0,1
3365.0,1,5,0,1
3785.0,1,1,0,0
3785.0,1,11,1.0,2
3785.0,1,1,0,0
3786.0,1,1,0,0
3786.0,1,1,0,0
3786.0,1,8,9.0,5
3786.0,1,10,9.0,8
3786.0,1,2,1.0,2
3786.0,1,2,1.0,2
3786.0,1,2,1.0,1
3786.0,1,2,0,1
3817.0,1,1,0,1
3817.0,1,1,0,1
3819.0,1,7,0,2
3843.0,1,11,3.0,8
3843.0,1,9,4.0,6
3843.0,1,29,7.0,5
3843.0,1,8,5.0,5
3843.0,1,9,6.0,4
3843.0,1,1,0,1
3843.0,1,1,0,1
3860.0,1,4,2.0,3
3860.0,1,1,0,1
3860.0,1,2,1.0,2
3860.0,1,2,1.0,2
3860.0,1,2,1.0,2
3860.0,1,1,0,0
3860.0,1,1,0,1
3860.0,1,2,1.0,2
3860.0,1,4,1.0,3
3870.0,1,1,0,0
3870.0,1,28,8.0,6
3870.0,1,6,3.0,5
3870.0,1,14,10.0,4
3870.0,1,9,8.0,2
3870.0,1,14,11.0,2
3870.0,1,11,7.0,6
3870.0,1,1,0,1
3870.0,1,5,3.0,5
3870.0,1,3,2.0,1
3870.0,1,7,7.0,4
3870.0,1,1,7.0,1
3870.0,1,5,0,4
3870.0,1,1,0,1
3870.0,1,12,11.0,4
3870.0,1,11,6.0,4
3870.0,1,3,2.0,3
3870.0,1,5,4.0,2
3870.0,1,1,0,1
3870.0,1,8,1.0,6
3870.0,1,1,0,0
3871.0,1,5,1.0,1
3871.0,1,1,0,1
3874.0,1,3,0,2
3875.0,1,1,0,0
3875.0,1,1,0,1
3875.0,1,10,7.0,3
3876.0,1,9,2.0,3
3879.0,1,7,1.0,4
3879.0,1,5,4.0,2
3879.0,1,1,0,1
3879.0,1,2,2.0,2
3879.0,1,1,0,1
3879.0,1,2,1.0,2
3879.0,1,1,0,1
3879.0,1,1,1.0,1
3879.0,1,11,11.0,4
3879.0,1,2,0,2
3883.0,1,10,1.0,3
3888.0,1,4,1.0,3
3888.0,1,13,7.0,2
3888.0,1,1,1.0,1
3888.0,1,3,2.0,2
3888.0,1,3,1.0,2
3891.0,1,2,0,1
3891.0,1,2,0,2
3892.0,1,1,0,0
3892.0,1,1,0,0
3892.0,1,3,2.0,2
3892.0,1,7,6.0,4
3892.0,1,10,9.0,4
3892.0,1,7,7.0,5
3892.0,1,1,0,0
3892.0,1,4,1.0,3
3929.0,1,10,3.0,4
4092.0,1,7,3.0,3
4092.0,1,1,0,1
4092.0,1,15,2.0,14
4092.0,1,3,0,3
4092.0,1,1,0,1
4092.0,1,1,1.0,1
4092.0,1,1,0,1
4092.0,1,1,0,1
4092.0,1,6,4.0,4
4092.0,1,1,0,0
4092.0,1,4,2.0,4
4092.0,1,2,1.0,1
4092.0,1,1,0,1
4092.0,1,2,1.0,2
4092.0,1,2,1.0,2
4092.0,1,1,0,1
4092.0,1,5,4.0,3
4092.0,1,2,0,2
4098.0,1,4,3.0,3
4098.0,1,4,2.0,3
4098.0,1,1,0,1
4098.0,1,2,0,2
4267.0,1,1,0,0
4267.0,1,1,0,0
4267.0,1,2,1.0,2
4267.0,1,1,0,1
4319.0,1,7,2.0,3
4479.0,1,1,0,1
4582.0,1,1,0,0
4582.0,1,3,2.0,2
4582.0,1,4,2.0,3
4582.0,1,2,1.0,2
4582.0,1,4,2.0,4
4582.0,1,4,3.0,2
4582.0,1,1,0,1
4582.0,1,1,0,0
4582.0,1,1,0,1
4582.0,1,1,0,1
4582.0,1,3,2.0,3
4582.0,1,3,3.0,3
4582.0,1,1,0,1
4633.0,1,6,2.0,5
4633.0,1,1,0,1
4633.0,1,1,0,1
4639.0,1,21,3.0,4
4639.0,1,1,0,1
4671.0,1,1,0,0
4671.0,1,2,1.0,2
4671.0,1,1,0,1
4705.0,1,1,0,0
4705.0,1,1,0,0
4705.0,1,2,2.0,2
4705.0,1,16,2.0,4
4705.0,1,1,0,1
4705.0,1,1,1.0,1
4705.0,1,1,1.0,1
4705.0,1,3,2.0,2
4705.0,1,6,4.0,3
4705.0,1,19,3.0,12
4705.0,1,5,3.0,4
4705.0,1,4,2.0,3
4705.0,1,9,7.0,3
4705.0,1,1,0,1
4705.0,1,3,2.0,2
4705.0,1,13,9.0,5
4705.0,1,2,1.0,1
4705.0,1,6,0,5
4705.0,1,4,1.0,2
4745.0,1,1,0,0
4745.0,1,8,3.0,3
4745.0,1,2,1.0,2
4745.0,1,6,4.0,3
4745.0,1,1,0,1
4745.0,1,2,1.0,2
4745.0,1,1,0,1
4745.0,1,1,0,1
4745.0,1,2,1.0,2
4745.0,1,2,2.0,2
4745.0,1,1,0,1
4745.0,1,3,2.0,3
4745.0,1,2,1.0,2
4745.0,1,3,2.0,2
4745.0,1,1,0,1
4745.0,1,1,0,1
4745.0,1,3,1.0,2
4745.0,1,4,3.0,3
4745.0,1,1,0,1
4745.0,1,2,1.0,2
4745.0,1,1,0,1
4745.0,1,1,0,1
4745.0,1,5,3.0,3
4748.0,1,1,0,0
4748.0,1,1,0,1
4748.0,1,2,0,2
4781.0,1,1,0,0
4781.0,1,12,6.0,7
4781.0,1,10,8.0,5
4781.0,1,1,0,1
4781.0,1,1,0,0
4781.0,1,2,0,2
4781.0,1,2,1.0,2
4781.0,1,1,0,0
4781.0,1,1,0,1
4781.0,1,1,1.0,1
4781.0,1,2,1.0,2
4781.0,1,2,1.0,2
4781.0,1,2,1.0,2
4781.0,1,2,1.0,2
4781.0,1,1,0,1
4781.0,1,2,1.0,2
4781.0,1,2,1.0,2
4781.0,1,3,0,2
4789.0,1,1,0,1
4789.0,1,1,0,1
4881.0,1,7,2.0,5
5009.0,1,1,0,0
5009.0,1,1,0,0
5009.0,1,5,4.0,4
5009.0,1,1,0,1
5009.0,1,8,5.0,2
5009.0,1,6,3.0,4
5009.0,1,1,0,1
5009.0,1,8,0,6
5009.0,1,1,0,1
5009.0,1,1,1.0,1
5009.0,1,3,2.0,3
5009.0,1,1,0,1
5009.0,1,4,2.0,3
5011.0,1,1,0,0
5011.0,1,1,0,0
5011.0,1,9,5.0,4
5034.0,1,1,0,0
5034.0,1,13,2.0,5
5034.0,1,1,0,0
5034.0,1,2,1.0,2
5034.0,1,3,2.0,2
5034.0,1,5,3.0,4
5086.0,1,1,0,0
5086.0,1,1,0,1
5086.0,1,2,1.0,2
5086.0,1,3,1.0,2
5086.0,1,3,2.0,3
5086.0,1,1,0,1
5086.0,1,9,0,9
5086.0,1,5,4.0,5
5086.0,1,3,2.0,2
5086.0,1,4,3.0,2
5086.0,1,3,0,2
5086.0,1,4,2.0,2
5086.0,1,1,0,1
5086.0,1,6,6.0,5
5086.0,1,1,0,1
5086.0,1,2,0,2
5086.0,1,16,8.0,8
5086.0,1,2,1.0,2
5086.0,1,5,6.0,5
5086.0,1,1,0,1
5086.0,1,1,0,1
5086.0,1,1,0,0
5086.0,1,1,1.0,1
5086.0,1,1,1.0,1
5086.0,1,3,1.0,3
5106.0,1,2,0,1
5208.0,1,2,0,2
5241.0,1,1,0,0
5241.0,1,3,0,2
5241.0,1,5,4.0,2
5241.0,1,1,0,1
5241.0,1,1,0,0
5374.0,1,3,1.0,2
5417.0,1,1,0,1
5417.0,1,1,0,1
5417.0,1,1,0,0
5529.0,1,1,0,1
5529.0,1,1,0,0
5529.0,1,2,0,2
5560.0,1,1,0,0
5560.0,1,2,1.0,2
5560.0,1,9,2.0,7
5560.0,1,4,3.0,3
5560.0,1,1,0,0
5560.0,1,1,0,1
5560.0,1,2,1.0,2
5560.0,1,4,3.0,2
5560.0,1,6,3.0,4
5560.0,1,2,0,2
5586.0,1,1,0,0
5586.0,1,1,0,0
5601.0,1,1,0,0
