page_id,sub_index,posts,max_depth,authors
4.0,1,2,0,2
4.0,1,5,3.0,4
4.0,1,2,1.0,1
4.0,1,4,2.0,2
4.0,1,5,4.0,3
4.0,1,15,5.0,5
4.0,1,2,1.0,2
4.0,1,7,2.0,4
1530.0,1,1,0,1
1530.0,1,2,1.0,1
1530.0,1,1,0,1
4131.0,1,1,0,0
4131.0,1,1,0,0
4131.0,1,1,0,1
4131.0,1,4,1.0,3
4131.0,1,1,0,1
4131.0,1,1,0,0
6399.0,1,8,0,5
11870.0,1,1,0,0
11969.0,1,4,1.0,2
13211.0,1,4,0,3
13211.0,1,1,0,1
13211.0,1,1,0,0
13211.0,1,4,2.0,2
13211.0,1,1,0,0
13211.0,1,2,1.0,2
13211.0,1,2,1.0,2
13211.0,1,2,0,1
13465.0,1,2,0,0
13473.0,1,1,0,1
13473.0,1,3,2.0,2
13473.0,1,1,0,1
13529.0,1,1,0,0
13529.0,1,1,0,1
13529.0,1,2,0,1
13842.0,1,2,0,0
14037.0,1,5,2.0,3
14037.0,1,6,4.0,3
14037.0,1,1,0,1
14037.0,1,8,5.0,4
14037.0,1,6,4.0,3
14037.0,1,7,2.0,7
14037.0,1,6,6.0,4
14037.0,1,11,6.0,4
14037.0,1,8,3.0,4
14037.0,1,7,8.0,2
14037.0,1,4,1.0,3
14037.0,1,1,0,1
14037.0,1,1,0,1
14037.0,1,3,1.0,3
14037.0,1,11,8.0,5
14037.0,1,1,0,1
14037.0,1,2,1.0,2
14037.0,1,1,1.0,1
14037.0,1,2,0,2
14037.0,1,1,0,1
14037.0,1,3,2.0,2
14037.0,1,9,8.0,3
14037.0,1,3,3.0,3
14037.0,1,1,2.0,1
14037.0,1,21,12.0,8
14037.0,1,21,8.0,5
14037.0,1,4,3.0,2
14037.0,1,12,0,1
14037.0,1,1,0,0
14037.0,1,1,0,0
14037.0,1,1,1.0,1
14037.0,1,1,0,1
14037.0,1,1,0,1
14037.0,1,1,0,0
14037.0,1,2,1.0,2
14037.0,1,1,0,0
14037.0,1,8,3.0,4
14037.0,1,13,6.0,5
14037.0,1,1,0,1
14037.0,1,6,4.0,3
14037.0,1,1,0,1
14037.0,1,1,0,0
14037.0,1,1,1.0,1
14037.0,1,5,2.0,3
14037.0,1,2,1.0,2
14037.0,1,2,1.0,2
14037.0,1,2,2.0,1
14037.0,1,1,0,0
14037.0,1,12,4.0,4
14037.0,1,3,2.0,3
14037.0,1,1,0,0
14037.0,1,1,0,1
14037.0,1,1,0,0
14037.0,1,5,4.0,2
14037.0,1,1,0,1
14572.0,1,3,2.0,3
14572.0,1,1,0,0
14923.0,1,6,1.0,5
14981.0,1,1,0,1
14981.0,1,2,2.0,2
14981.0,1,4,3.0,3
14981.0,1,1,0,1
14981.0,1,1,0,1
15124.0,1,1,0,0
15124.0,1,2,2.0,1
15124.0,1,5,5.0,2
15124.0,1,1,2.0,1
15124.0,1,1,0,0
15124.0,1,8,4.0,6
15124.0,1,6,2.0,4
15339.0,1,12,0,6
15413.0,1,1,0,1
15413.0,1,1,0,0
15524.0,1,1,0,0
15524.0,1,1,1.0,1
15524.0,1,1,0,0
15524.0,1,4,1.0,3
15524.0,1,5,3.0,3
16106.0,1,1,0,1
16106.0,1,4,3.0,2
16826.0,1,1,0,0
16826.0,1,2,1.0,2
16826.0,1,1,0,1
17698.0,1,2,0,1
17698.0,1,1,0,1
18718.0,1,3,0,1
19032.0,1,7,3.0,6
19032.0,1,1,0,0
19032.0,1,2,1.0,2
19032.0,1,1,1.0,1
19032.0,1,8,3.0,3
19032.0,1,3,1.0,3
19032.0,1,7,4.0,3
19032.0,1,4,1.0,2
19177.0,1,2,0,1
19243.0,1,2,1.0,2
19243.0,1,3,1.0,3
19293.0,1,14,4.0,8
19305.0,1,7,4.0,7
19305.0,1,1,0,1
19305.0,1,1,1.0,1
19305.0,1,1,0,1
19305.0,1,4,1.0,2
19305.0,1,3,2.0,3
19305.0,1,1,0,1
19305.0,1,7,3.0,6
19305.0,1,5,4.0,3
19305.0,1,4,4.0,2
19305.0,1,3,2.0,3
19305.0,1,1,0,1
19305.0,1,1,0,1
19305.0,1,4,4.0,3
19305.0,1,3,2.0,3
19305.0,1,1,0,1
19305.0,1,1,0,1
19305.0,1,1,0,1
19305.0,1,1,0,1
19305.0,1,1,0,1
19305.0,1,1,0,1
19305.0,1,8,5.0,4
19305.0,1,2,1.0,2
19305.0,1,2,1.0,1
19305.0,1,2,1.0,2
19305.0,1,2,1.0,2
19305.0,1,2,0,2
19305.0,1,1,0,1
19305.0,1,1,0,1
19305.0,1,1,1.0,1
19305.0,1,1,0,0
19305.0,1,2,1.0,2
19305.0,1,1,0,1
19305.0,1,1,1.0,1
19305.0,1,3,2.0,2
19305.0,1,1,0,1
19305.0,1,1,0,1
19305.0,1,2,1.0,2
19305.0,1,1,0,1
19421.0,1,4,0,2
20465.0,1,1,0,1
20465.0,1,6,6.0,2
20465.0,1,1,0,1
20465.0,1,3,3.0,3
20465.0,1,3,0,3
20465.0,1,1,0,0
20465.0,1,20,6.0,10
20465.0,1,1,1.0,1
20465.0,1,5,2.0,4
20465.0,1,26,3.0,3
20465.0,1,1,0,1
20465.0,1,3,2.0,2
20465.0,1,20,10.0,2
20465.0,1,1,0,1
20465.0,1,3,2.0,2
20465.0,1,1,0,1
20465.0,1,13,6.0,4
20468.0,1,1,0,0
20468.0,1,7,4.0,5
20468.0,1,1,0,1
20489.0,1,3,0,2
20686.0,1,13,0,4
20686.0,1,6,0,2
20686.0,1,6,0,3
20686.0,1,10,0,3
20717.0,1,1,0,0
20717.0,1,2,0,2
20717.0,1,2,0,2
21472.0,1,1,0,0
21472.0,1,1,0,1
21472.0,1,1,0,1
21472.0,1,15,13.0,5
21472.0,1,7,2.0,4
21472.0,1,4,3.0,2
21472.0,1,2,1.0,2
21472.0,1,1,0,1
21472.0,1,3,1.0,3
21472.0,1,1,0,1
21472.0,1,1,0,1
21472.0,1,1,0,1
21472.0,1,1,0,1
21472.0,1,1,1.0,1
21472.0,1,1,0,0
21472.0,1,24,3.0,9
21472.0,1,1,1.0,1
21472.0,1,1,0,0
21472.0,1,1,2.0,1
21472.0,1,1,1.0,1
21472.0,1,1,0,0
21472.0,1,3,1.0,2
21472.0,1,2,0,2
21472.0,1,2,1.0,2
21472.0,1,2,1.0,2
21472.0,1,1,0,1
21472.0,1,2,0,2
21499.0,1,1,0,0
21499.0,1,2,0,2
21499.0,1,1,0,1
21499.0,1,4,2.0,3
21499.0,1,14,7.0,8
21499.0,1,6,4.0,2
21499.0,1,1,0,1
21499.0,1,1,0,1
21626.0,1,5,0,4
21643.0,1,10,3.0,8
21675.0,1,1,0,0
21675.0,1,1,0,1
21701.0,1,3,0,0
22186.0,1,1,0,0
22186.0,1,1,0,0
22260.0,1,8,5.0,3
22260.0,1,1,0,1
22313.0,1,1,0,0
22313.0,1,1,0,1
22313.0,1,5,2.0,3
22313.0,1,5,3.0,2
22314.0,1,2,0,1
22315.0,1,1,0,1
22315.0,1,1,0,1
22324.0,1,4,1.0,3
22330.0,1,1,0,1
22330.0,1,3,2.0,2
22330.0,1,3,2.0,2
22330.0,1,2,1.0,2
22330.0,1,7,2.0,2
22330.0,1,7,5.0,2
22330.0,1,4,2.0,3
22330.0,1,7,4.0,4
22330.0,1,18,5.0,2
22330.0,1,10,6.0,2
22330.0,1,4,3.0,2
22340.0,1,1,0,0
22340.0,1,1,0,1
22340.0,1,1,0,0
22369.0,1,4,0,3
22590.0,1,1,0,0
22590.0,1,1,0,0
22590.0,1,4,3.0,2
22590.0,1,5,3.0,3
22596.0,1,1,0,0
22596.0,1,1,0,1
22596.0,1,1,0,1
22596.0,1,1,0,1
22596.0,1,2,0,2
22596.0,1,1,0,1
22596.0,1,1,0,0
22596.0,1,1,0,1
22596.0,1,1,0,1
22599.0,1,1,0,0
22599.0,1,20,4.0,11
22599.0,1,1,0,0
22599.0,1,1,0,1
22599.0,1,1,0,1
22599.0,1,2,0,2
22599.0,1,1,1.0,1
22599.0,1,2,2.0,2
22599.0,1,4,2.0,1
22599.0,1,2,3.0,2
22599.0,1,1,1.0,1
22599.0,1,1,0,0
22599.0,1,30,6.0,4
22599.0,1,13,1.0,2
22599.0,1,1,0,0
22599.0,1,1,0,0
22599.0,1,9,6.0,4
22599.0,1,1,0,1
22599.0,1,1,0,1
22599.0,1,4,2.0,3
22599.0,1,2,1.0,2
22599.0,1,5,2.0,3
22599.0,1,4,0,4
22599.0,1,2,0,1
22601.0,1,1,0,0
22601.0,1,1,0,0
22602.0,1,1,0,0
22602.0,1,1,0,1
22602.0,1,1,0,0
22602.0,1,1,0,0
22627.0,1,1,0,1
22627.0,1,3,1.0,3
22627.0,1,3,2.0,3
22627.0,1,3,1.0,3
22672.0,1,3,0,2
22721.0,1,2,0,2
22781.0,1,1,0,1
22781.0,1,1,0,0
22810.0,1,2,1.0,2
22810.0,1,1,0,1
22810.0,1,1,0,1
22810.0,1,1,0,1
22956.0,1,2,1.0,2
22956.0,1,1,0,1
22992.0,1,1,0,1
22992.0,1,2,0,2
23017.0,1,2,0,0
23021.0,1,2,1.0,2
23021.0,1,9,7.0,4
23021.0,1,2,1.0,1
23021.0,1,1,0,1
23043.0,1,3,1.0,3
23043.0,1,3,2.0,3
23043.0,1,1,0,1
23043.0,1,1,0,1
23230.0,1,4,1.0,4
23230.0,1,2,1.0,1
23230.0,1,1,0,1
23231.0,1,2,0,0
23241.0,1,1,0,1
23241.0,1,2,2.0,2
23241.0,1,27,16.0,7
23241.0,1,1,0,1
23241.0,1,2,1.0,2
23241.0,1,2,2.0,2
23241.0,1,1,0,1
23241.0,1,1,0,1
23241.0,1,1,0,0
23241.0,1,1,0,0
23241.0,1,2,1.0,2
23241.0,1,1,0,1
23251.0,1,3,0,2
23278.0,1,1,0,1
23278.0,1,2,2.0,2
23278.0,1,1,0,1
23378.0,1,6,1.0,5
23673.0,1,5,2.0,5
23673.0,1,5,7.0,3
23673.0,1,1,0,0
23673.0,1,1,0,0
23673.0,1,1,0,0
23726.0,1,2,0,0
23727.0,1,1,0,0
23727.0,1,1,0,1
23727.0,1,1,0,0
23747.0,1,2,0,1
23759.0,1,3,1.0,3
23759.0,1,1,0,0
23759.0,1,1,0,0
23759.0,1,1,0,0
23790.0,1,2,0,2
23790.0,1,13,2.0,3
23790.0,1,1,0,1
23790.0,1,1,0,0
23790.0,1,2,2.0,2
23790.0,1,3,2.0,3
23790.0,1,5,1.0,3
23790.0,1,2,1.0,2
23790.0,1,1,0,1
23790.0,1,3,2.0,3
23790.0,1,3,2.0,2
23790.0,1,3,3.0,2
23790.0,1,5,8.0,5
23790.0,1,1,0,1
23790.0,1,1,0,1
23790.0,1,2,0,2
24177.0,1,4,1.0,3
24257.0,1,1,0,0
24257.0,1,1,0,1
24257.0,1,1,0,1
24257.0,1,1,0,0
24257.0,1,1,0,1
24465.0,1,1,0,0
24465.0,1,1,0,1
24508.0,1,2,0,0
24538.0,1,3,1.0,1
24538.0,1,1,0,1
24538.0,1,1,0,1
24538.0,1,1,0,1
24629.0,1,1,0,0
24629.0,1,1,0,0
24682.0,1,1,0,0
24682.0,1,2,0,2
24682.0,1,1,0,0
24682.0,1,1,0,0
24682.0,1,6,2.0,4
24682.0,1,4,2.0,4
24682.0,1,2,0,2
24682.0,1,1,0,1
24682.0,1,1,0,1
24682.0,1,21,5.0,11
24682.0,1,2,0,2
24682.0,1,1,0,1
24682.0,1,1,0,1
24682.0,1,2,1.0,2
24682.0,1,1,0,1
24682.0,1,1,2.0,1
24682.0,1,3,1.0,2
24682.0,1,1,0,1
24682.0,1,1,0,1
24682.0,1,1,0,1
24682.0,1,9,5.0,3
24682.0,1,13,7.0,5
24682.0,1,5,2.0,2
24682.0,1,6,4.0,3
24682.0,1,1,0,1
24682.0,1,8,3.0,3
24682.0,1,1,0,0
24682.0,1,3,2.0,2
24682.0,1,1,0,1
24682.0,1,1,0,1
24682.0,1,2,0,1
24682.0,1,1,0,1
24682.0,1,15,8.0,3
24682.0,1,1,0,1
24687.0,1,3,0,0
24827.0,1,3,1.0,3
24827.0,1,2,2.0,2
24827.0,1,2,1.0,2
24827.0,1,2,1.0,2
24827.0,1,1,0,1
24897.0,1,2,1.0,2
24897.0,1,3,1.0,3
24897.0,1,1,0,1
24970.0,1,2,0,2
24970.0,1,1,0,0
24970.0,1,1,0,1
25247.0,1,2,0,2
25247.0,1,2,1.0,2
25247.0,1,1,1.0,1
25247.0,1,1,0,0
25247.0,1,1,0,1
25319.0,1,2,0,1
25329.0,1,2,1.0,2
25329.0,1,1,0,1
25450.0,1,2,0,0
25492.0,1,2,0,2
25492.0,1,2,0,2
25495.0,1,2,0,1
25614.0,1,1,1.0,1
25614.0,1,4,1.0,4
25640.0,1,3,0,2
25640.0,1,1,0,1
25640.0,1,1,0,1
25744.0,1,2,0,0
25766.0,1,1,0,0
25766.0,1,3,2.0,3
25766.0,1,1,0,1
25771.0,1,1,0,0
25771.0,1,1,0,0
25771.0,1,1,0,0
25771.0,1,1,0,0
25771.0,1,2,0,2
25771.0,1,2,0,2
25771.0,1,1,0,0
25795.0,1,6,0,3
25931.0,1,1,0,1
25986.0,1,11,2.0,6
26004.0,1,2,0,2
26010.0,1,3,0,2
26038.0,1,3,2.0,2
26038.0,1,3,1.0,3
26038.0,1,1,0,1
26039.0,1,6,1.0,3
26053.0,1,1,0,1
26090.0,1,1,0,1
26090.0,1,3,4.0,2
26090.0,1,3,2.0,2
26090.0,1,2,2.0,2
26090.0,1,2,1.0,2
26090.0,1,1,0,1
26090.0,1,3,2.0,3
26243.0,1,2,1.0,2
26243.0,1,1,0,1
26263.0,1,2,0,2
26263.0,1,2,1.0,2
26315.0,1,4,1.0,3
26315.0,1,1,0,1
26322.0,1,7,1.0,3
26322.0,1,2,3.0,1
26329.0,1,1,0,0
26329.0,1,1,0,1
26329.0,1,1,0,1
26329.0,1,8,3.0,2
26329.0,1,1,0,1
26329.0,1,1,0,0
26329.0,1,2,1.0,2
26329.0,1,1,0,1
26329.0,1,1,0,1
26347.0,1,2,0,1
26367.0,1,3,1.0,3
26367.0,1,2,2.0,1
26379.0,1,10,2.0,6
26419.0,1,1,0,1
26419.0,1,14,6.0,8
26425.0,1,13,4.0,4
27223.0,1,1,0,0
27297.0,1,1,0,0
27297.0,1,2,1.0,2
27297.0,1,1,0,1
27361.0,1,3,0,2
27362.0,1,1,0,1
27443.0,1,1,0,0
27443.0,1,1,0,1
27501.0,1,2,0,0
27505.0,1,3,1.0,3
27573.0,1,13,1.0,5
27946.0,1,4,2.0,3
27950.0,1,2,0,1
27981.0,1,1,0,1
28018.0,1,1,0,0
28018.0,1,4,1.0,4
28090.0,1,1,0,0
28090.0,1,1,0,0
28090.0,1,3,2.0,3
28090.0,1,1,0,1
28151.0,1,6,1.0,6
28198.0,1,1,0,1
28209.0,1,5,1.0,3
28484.0,1,1,0,1
28485.0,1,2,0,0
28495.0,1,1,0,1
28495.0,1,1,0,0
28495.0,1,3,2.0,2
28495.0,1,5,2.0,4
28495.0,1,1,0,1
28495.0,1,2,1.0,2
28495.0,1,3,2.0,1
28495.0,1,1,0,1
28495.0,1,1,1.0,1
28495.0,1,1,0,1
28527.0,1,1,0,0
28527.0,1,1,0,1
28527.0,1,2,0,2
28566.0,1,1,0,0
28566.0,1,2,1.0,2
28566.0,1,1,0,0
28566.0,1,1,0,0
28701.0,1,11,1.0,9
28925.0,1,2,1.0,2
28925.0,1,5,4.0,3
28975.0,1,3,0,1
28986.0,1,2,0,2
29004.0,1,2,1.0,2
29004.0,1,1,0,1
29025.0,1,15,3.0,8
29798.0,1,8,4.0,5
29798.0,1,1,0,0
29798.0,1,13,5.0,7
29798.0,1,4,2.0,3
29798.0,1,5,1.0,3
29798.0,1,1,0,1
29798.0,1,1,0,1
29798.0,1,1,1.0,1
29798.0,1,4,3.0,3
29798.0,1,25,7.0,4
29798.0,1,11,3.0,5
29798.0,1,4,2.0,2
29798.0,1,6,4.0,3
29798.0,1,6,4.0,2
29798.0,1,2,0,2
29920.0,1,1,0,0
29920.0,1,3,0,2
29920.0,1,1,0,0
29920.0,1,1,0,0
29920.0,1,1,0,0
29920.0,1,1,0,0
29920.0,1,1,0,1
30062.0,1,5,1.0,2
30069.0,1,2,1.0,1
30069.0,1,1,0,1
30074.0,1,1,0,0
30074.0,1,1,0,0
30074.0,1,1,0,0
30074.0,1,1,0,0
30074.0,1,2,1.0,2
30074.0,1,1,0,0
30074.0,1,2,0,2
30079.0,1,1,0,0
30079.0,1,1,0,1
30079.0,1,1,0,0
30079.0,1,1,0,0
30083.0,1,2,0,0
30153.0,1,1,0,0
30191.0,1,1,0,0
30191.0,1,1,0,0
30205.0,1,7,1.0,5
30300.0,1,1,0,1
30300.0,1,2,0,2
30342.0,1,1,0,1
30342.0,1,1,0,0
30342.0,1,1,0,0
30342.0,1,1,0,0
30342.0,1,1,0,1
30356.0,1,2,0,0
30410.0,1,12,9.0,4
30410.0,1,1,0,1
30410.0,1,2,1.0,2
30410.0,1,1,0,1
30410.0,1,2,2.0,1
30410.0,1,2,1.0,2
30410.0,1,2,1.0,1
30410.0,1,1,0,1
30537.0,1,2,0,0
30595.0,1,3,0,3
30595.0,1,2,0,2
30595.0,1,3,2.0,3
30623.0,1,2,0,0
30710.0,1,1,0,1
30736.0,1,6,2.0,5
30953.0,1,1,0,1
30953.0,1,9,3.0,2
30953.0,1,1,0,0
30953.0,1,1,0,0
30953.0,1,1,0,0
30953.0,1,9,4.0,4
30953.0,1,1,0,1
30953.0,1,2,1.0,2
30953.0,1,1,0,1
30953.0,1,1,0,1
30953.0,1,3,1.0,2
30957.0,1,1,0,0
30957.0,1,8,6.0,5
30957.0,1,2,0,2
30957.0,1,1,0,1
30957.0,1,2,1.0,2
30957.0,1,1,1.0,1
30957.0,1,1,0,0
30957.0,1,1,0,1
30957.0,1,1,0,1
30957.0,1,18,2.0,4
30957.0,1,3,0,2
30957.0,1,1,0,0
30957.0,1,1,0,0
31177.0,1,1,0,0
31177.0,1,2,0,1
31211.0,1,5,3.0,4
31211.0,1,1,0,1
31211.0,1,1,0,1
31229.0,1,3,0,2
31273.0,1,2,0,2
31273.0,1,1,1.0,1
31273.0,1,3,1.0,3
31273.0,1,1,0,0
31273.0,1,5,3.0,4
31273.0,1,1,0,1
31273.0,1,1,0,1
31273.0,1,2,0,2
31273.0,1,1,0,1
31273.0,1,1,0,0
31273.0,1,1,0,1
31282.0,1,1,1.0,1
31282.0,1,5,3.0,4
31282.0,1,1,0,0
31282.0,1,1,0,0
31299.0,1,1,0,0
31299.0,1,1,0,0
31748.0,1,6,0,3
32105.0,1,5,2.0,4
32105.0,1,3,2.0,2
32105.0,1,2,2.0,2
32105.0,1,17,4.0,3
32105.0,1,3,2.0,3
32105.0,1,5,3.0,3
32145.0,1,10,2.0,7
32149.0,1,1,0,1
32176.0,1,1,0,0
32176.0,1,1,0,1
32176.0,1,2,1.0,2
32176.0,1,3,2.0,2
32176.0,1,1,0,1
32176.0,1,1,0,1
32176.0,1,1,0,1
32177.0,1,5,1.0,2
32179.0,1,5,2.0,4
32179.0,1,6,4.0,3
32179.0,1,3,1.0,3
32179.0,1,4,2.0,3
32311.0,1,2,0,0
32337.0,1,8,2.0,4
32337.0,1,1,0,1
32337.0,1,1,0,1
32337.0,1,1,0,1
32337.0,1,2,1.0,1
32337.0,1,1,0,1
32337.0,1,1,0,1
32337.0,1,4,3.0,2
32337.0,1,7,3.0,5
32337.0,1,1,0,1
32457.0,1,9,1.0,4
32635.0,1,2,3.0,1
32635.0,1,1,0,1
32664.0,1,1,0,0
32664.0,1,1,0,1
32665.0,1,2,1.0,2
32665.0,1,1,0,1
32741.0,1,7,3.0,2
32741.0,1,5,1.0,3
