page_id,sub_index,posts,max_depth,authors
14.0,1,1,0,0
14.0,1,1,0,0
14.0,1,3,1.0,2
14.0,1,2,1.0,2
14.0,1,3,2.0,3
14.0,1,2,1.0,2
14.0,1,1,0,1
14.0,1,3,2.0,2
14.0,1,2,1.0,2
14.0,1,1,0,1
14.0,1,6,1.0,3
14.0,1,2,1.0,2
14.0,1,2,1.0,2
14.0,1,3,1.0,2
14.0,1,4,1.0,3
14.0,1,3,1.0,2
17.0,1,1,0,0
17.0,1,1,2.0,1
17.0,1,1,0,1
17.0,1,1,0,1
17.0,1,1,0,0
17.0,1,11,4.0,6
17.0,1,1,0,0
17.0,1,3,1.0,2
17.0,1,1,0,1
17.0,1,1,0,1
17.0,1,3,2.0,3
17.0,1,10,2.0,4
17.0,1,1,0,1
17.0,1,1,0,1
17.0,1,2,0,2
17.0,1,5,0,5
17.0,1,1,0,1
17.0,1,1,0,0
17.0,1,1,0,1
17.0,1,9,3.0,2
17.0,1,1,0,1
23.0,1,1,0,0
23.0,1,6,2.0,6
23.0,1,1,0,1
23.0,1,1,0,1
23.0,1,3,2.0,2
23.0,1,2,1.0,2
23.0,1,2,1.0,2
23.0,1,1,0,0
23.0,1,3,2.0,1
23.0,1,1,0,0
23.0,1,9,5.0,4
23.0,1,1,0,1
23.0,1,6,2.0,5
23.0,1,1,0,1
23.0,1,2,1.0,2
23.0,1,5,2.0,2
23.0,1,1,0,0
23.0,1,1,0,0
23.0,1,1,0,1
23.0,1,2,1.0,2
23.0,1,1,0,1
23.0,1,1,0,1
23.0,1,4,2.0,2
23.0,1,2,1.0,2
23.0,1,1,0,1
43.0,1,4,0,3
61.0,1,1,0,0
61.0,1,3,0,3
61.0,1,5,2.0,3
61.0,1,1,0,1
61.0,1,1,0,1
61.0,1,1,1.0,1
61.0,1,2,1.0,2
61.0,1,14,3.0,6
61.0,1,9,5.0,3
61.0,1,4,2.0,2
61.0,1,1,0,1
62.0,1,3,0,0
96.0,1,6,2.0,5
96.0,1,2,0,2
107.0,1,1,0,0
107.0,1,1,0,1
117.0,1,1,0,0
117.0,1,3,0,2
117.0,1,1,0,1
117.0,1,1,0,0
118.0,1,1,0,0
118.0,1,4,4.0,3
118.0,1,5,1.0,3
118.0,1,2,1.0,2
118.0,1,1,0,1
118.0,1,8,2.0,3
118.0,1,5,5.0,4
118.0,1,1,0,1
118.0,1,2,2.0,2
118.0,1,1,0,1
118.0,1,1,0,1
699.0,1,1,0,0
699.0,1,3,2.0,2
699.0,1,5,3.0,3
699.0,1,6,4.0,3
729.0,1,1,0,0
729.0,1,2,0,1
730.0,1,1,0,0
730.0,1,1,0,1
858.0,1,1,0,0
858.0,1,14,3.0,8
858.0,1,1,0,1
858.0,1,1,0,0
860.0,1,3,2.0,3
860.0,1,1,0,0
898.0,1,1,0,1
898.0,1,1,0,1
950.0,1,2,0,0
972.0,1,1,0,1
972.0,1,6,1.0,5
972.0,1,1,0,0
972.0,1,1,1.0,1
972.0,1,3,1.0,3
972.0,1,3,1.0,2
972.0,1,2,0,2
972.0,1,2,1.0,2
972.0,1,4,2.0,3
976.0,1,5,2.0,2
991.0,1,2,0,0
991.0,1,18,2.0,7
991.0,1,17,3.0,3
991.0,1,6,2.0,3
991.0,1,29,4.0,10
991.0,1,30,1.0,4
991.0,1,1,0,1
991.0,1,9,5.0,5
991.0,1,37,4.0,12
991.0,1,18,3.0,4
991.0,1,2,0,2
1000.0,1,1,0,0
1000.0,1,24,1.0,9
1000.0,1,2,1.0,2
1000.0,1,3,1.0,3
1000.0,1,1,0,0
1000.0,1,1,0,0
1000.0,1,3,1.0,3
1000.0,1,2,0,2
1011.0,1,1,0,0
1011.0,1,1,0,1
1011.0,1,1,0,1
1011.0,1,2,0,2
1012.0,1,1,0,0
1012.0,1,4,1.0,3
1012.0,1,1,0,0
1012.0,1,2,1.0,2
1012.0,1,1,0,1
1012.0,1,1,0,1
1046.0,1,1,0,0
1046.0,1,1,0,1
1046.0,1,1,0,0
1046.0,1,1,0,1
1046.0,1,1,0,1
1202.0,1,1,0,0
1202.0,1,1,0,0
1221.0,1,1,0,0
1221.0,1,3,1.0,2
1221.0,1,2,1.0,2
1221.0,1,7,2.0,6
1221.0,1,1,0,0
1221.0,1,2,0,2
1222.0,1,1,0,0
1222.0,1,1,0,1
1222.0,1,2,1.0,2
1222.0,1,1,0,1
1222.0,1,1,0,0
1222.0,1,4,1.0,3
1222.0,1,3,2.0,2
1222.0,1,1,0,0
1230.0,1,4,0,3
1260.0,1,1,0,1
1260.0,1,5,1.0,5
1260.0,1,2,0,2
1260.0,1,1,0,0
1268.0,1,1,0,0
1268.0,1,1,0,1
1311.0,1,3,0,2
1311.0,1,5,3.0,3
1311.0,1,1,0,0
1311.0,1,1,0,0
1311.0,1,1,0,0
1311.0,1,4,3.0,2
1311.0,1,1,0,1
1384.0,1,4,1.0,2
1417.0,1,3,0,2
1417.0,1,8,1.0,3
1454.0,1,1,0,0
1454.0,1,1,0,1
1506.0,1,1,0,0
1506.0,1,1,0,1
1506.0,1,1,0,1
1506.0,1,3,1.0,2
1506.0,1,1,0,0
1509.0,1,1,0,0
1509.0,1,1,0,1
1510.0,1,1,0,0
1510.0,1,2,2.0,2
1510.0,1,1,0,1
1511.0,1,1,0,0
1511.0,1,1,1.0,1
1511.0,1,1,0,0
1511.0,1,1,0,0
1511.0,1,1,0,0
1511.0,1,1,0,0
1511.0,1,1,0,0
1511.0,1,1,0,0
1511.0,1,1,0,1
1511.0,1,1,0,1
1511.0,1,2,0,2
1511.0,1,4,2.0,2
1511.0,1,2,1.0,2
1511.0,1,1,0,1
1511.0,1,1,0,1
1511.0,1,2,1.0,2
1511.0,1,5,1.0,3
1511.0,1,1,0,1
1511.0,1,4,2.0,3
1511.0,1,2,2.0,2
1511.0,1,1,0,1
1511.0,1,1,0,1
1511.0,1,1,0,1
1511.0,1,2,1.0,2
1511.0,1,1,0,1
1511.0,1,5,2.0,3
1511.0,1,2,1.0,2
1511.0,1,4,2.0,4
1511.0,1,2,1.0,2
1511.0,1,1,0,1
1512.0,1,3,0,2
1607.0,1,2,1.0,1
1608.0,1,2,0,0
1634.0,1,4,4.0,4
1636.0,1,1,0,0
1636.0,1,3,1.0,3
1636.0,1,5,1.0,4
1636.0,1,3,2.0,3
1636.0,1,1,0,0
1636.0,1,1,0,0
1636.0,1,1,2.0,1
1636.0,1,6,2.0,4
1636.0,1,2,0,2
1636.0,1,3,1.0,3
1636.0,1,6,2.0,4
1636.0,1,10,2.0,7
1636.0,1,4,2.0,3
1636.0,1,1,1.0,1
1636.0,1,20,4.0,6
1636.0,1,35,7.0,12
1636.0,1,9,5.0,7
1636.0,1,4,2.0,4
1636.0,1,3,2.0,3
1636.0,1,1,0,1
1636.0,1,18,7.0,4
1636.0,1,2,3.0,1
1636.0,1,1,0,0
1636.0,1,1,0,1
1670.0,1,1,0,0
1670.0,1,10,4.0,2
1670.0,1,1,0,1
1670.0,1,1,0,1
1670.0,1,1,0,1
1671.0,1,1,0,0
1671.0,1,1,0,0
1672.0,1,3,0,2
1686.0,1,1,0,1
1686.0,1,1,0,1
1686.0,1,1,0,1
1686.0,1,2,0,2
1686.0,1,1,0,1
1686.0,1,1,1.0,1
1686.0,1,1,0,1
1686.0,1,1,0,1
1686.0,1,1,0,1
1686.0,1,2,1.0,1
1686.0,1,8,2.0,6
1686.0,1,4,2.0,3
1686.0,1,1,0,1
1686.0,1,3,3.0,1
1686.0,1,1,0,1
1686.0,1,1,0,1
1686.0,1,1,0,1
1686.0,1,1,0,1
1686.0,1,3,0,3
1686.0,1,2,0,1
1686.0,1,1,0,1
1694.0,1,1,0,0
1694.0,1,2,0,2
1694.0,1,2,1.0,2
1694.0,1,1,2.0,1
1694.0,1,5,1.0,2
1694.0,1,3,0,3
1694.0,1,2,0,1
1999.0,1,5,1.0,4
2048.0,1,11,2.0,5
2048.0,1,7,1.0,3
2048.0,1,1,0,1
2051.0,1,1,0,0
2051.0,1,3,1.0,2
2051.0,1,1,0,1
2051.0,1,1,0,1
2051.0,1,3,0,2
2051.0,1,1,0,0
2052.0,1,1,0,0
2052.0,1,4,1.0,4
2064.0,1,8,1.0,3
2110.0,1,2,1.0,2
2110.0,1,1,0,1
2110.0,1,1,0,0
2110.0,1,1,0,1
2110.0,1,2,0,2
2115.0,1,1,0,0
2115.0,1,2,0,1
2127.0,1,1,0,0
2127.0,1,1,0,1
2127.0,1,4,1.0,2
2156.0,1,2,0,0
2170.0,1,1,0,1
2170.0,1,2,0,1
2174.0,1,1,0,0
2174.0,1,5,1.0,5
2195.0,1,1,0,1
2195.0,1,1,0,1
2207.0,1,1,0,0
2207.0,1,2,0,2
2235.0,1,13,1.0,6
2243.0,1,2,0,2
2254.0,1,2,0,0
2267.0,1,2,0,2
2267.0,1,2,1.0,2
2267.0,1,2,1.0,2
2267.0,1,2,1.0,2
2267.0,1,1,0,1
2267.0,1,3,0,2
2267.0,1,1,0,0
2267.0,1,5,4.0,3
2267.0,1,2,2.0,2
2267.0,1,1,0,1
2300.0,1,1,0,0
2300.0,1,2,1.0,2
2305.0,1,1,0,1
2305.0,1,2,1.0,2
2305.0,1,1,0,1
2305.0,1,7,1.0,5
2305.0,1,1,0,1
2305.0,1,2,1.0,2
2305.0,1,2,2.0,2
2305.0,1,1,0,1
2305.0,1,1,0,1
2309.0,1,1,0,0
2309.0,1,2,0,2
2309.0,1,2,0,2
2309.0,1,1,0,0
2309.0,1,2,0,2
2330.0,1,1,0,0
2330.0,1,3,0,3
2339.0,1,1,0,0
2339.0,1,2,1.0,2
2339.0,1,3,2.0,2
2339.0,1,4,1.0,4
2339.0,1,1,0,1
2339.0,1,1,0,1
2339.0,1,1,0,0
2345.0,1,1,0,0
2345.0,1,9,2.0,6
2345.0,1,1,0,1
2359.0,1,1,0,0
2359.0,1,2,1.0,2
2359.0,1,2,1.0,1
2359.0,1,2,0,1
2359.0,1,5,2.0,4
2359.0,1,2,1.0,2
2359.0,1,1,0,1
2359.0,1,3,1.0,3
2359.0,1,1,0,1
2359.0,1,4,2.0,3
2366.0,1,1,0,0
2366.0,1,2,0,1
2366.0,1,1,0,1
2366.0,1,1,0,1
2366.0,1,4,3.0,3
2411.0,1,2,0,2
2411.0,1,1,0,1
2411.0,1,8,3.0,4
2411.0,1,3,1.0,2
2411.0,1,1,0,1
2466.0,1,1,0,0
2466.0,1,1,0,1
2481.0,1,2,0,0
2483.0,1,2,0,2
2484.0,1,1,0,0
2484.0,1,6,2.0,5
2484.0,1,1,0,1
2484.0,1,1,0,0
2484.0,1,1,0,0
2484.0,1,1,0,0
2548.0,1,1,0,0
2548.0,1,5,1.0,3
2548.0,1,1,0,1
2548.0,1,2,0,2
2548.0,1,1,0,0
2551.0,1,2,0,0
2554.0,1,1,0,1
2554.0,1,1,0,1
2570.0,1,1,0,0
2570.0,1,1,0,1
2570.0,1,5,1.0,5
2571.0,1,1,0,0
2571.0,1,5,2.0,4
2571.0,1,1,0,1
2576.0,1,1,0,0
2576.0,1,1,0,1
2582.0,1,1,0,0
2582.0,1,22,4.0,6
2582.0,1,13,2.0,5
2582.0,1,1,0,1
2582.0,1,2,0,2
2588.0,1,1,0,0
2588.0,1,1,0,1
2588.0,1,1,0,0
2597.0,1,1,0,0
2597.0,1,5,2.0,3
2613.0,1,6,1.0,5
2613.0,1,1,0,0
2647.0,1,1,0,1
2647.0,1,1,0,0
2647.0,1,1,0,0
2649.0,1,2,0,0
2652.0,1,1,0,1
2652.0,1,1,0,0
2678.0,1,1,0,0
2678.0,1,2,1.0,1
2678.0,1,2,1.0,2
2678.0,1,3,1.0,2
2678.0,1,2,1.0,2
2678.0,1,4,2.0,2
2678.0,1,2,1.0,2
2678.0,1,1,0,1
2678.0,1,1,0,0
2678.0,1,8,2.0,3
2678.0,1,8,3.0,6
2678.0,1,1,0,1
2678.0,1,1,0,1
2692.0,1,1,0,0
2692.0,1,1,0,0
2692.0,1,2,0,2
2692.0,1,2,0,2
2693.0,1,1,0,0
2693.0,1,1,0,0
2693.0,1,3,0,2
2695.0,1,2,0,0
2702.0,1,4,1.0,4
2702.0,1,3,1.0,2
2703.0,1,1,0,0
2703.0,1,4,1.0,3
2704.0,1,1,0,0
2704.0,1,7,4.0,4
2704.0,1,5,2.0,4
2704.0,1,1,0,1
2704.0,1,5,3.0,3
2704.0,1,1,0,0
2763.0,1,1,0,0
2763.0,1,3,0,3
2785.0,1,1,0,0
2785.0,1,5,3.0,2
2785.0,1,1,0,1
2785.0,1,4,1.0,3
