page_id,sub_index,posts,max_depth,authors
160.0,1,1,0,0
160.0,1,2,0,2
160.0,1,1,0,1
160.0,1,1,0,1
163.0,1,5,1.0,5
163.0,1,2,1.0,2
163.0,1,2,0,2
185.0,1,2,0,0
279.0,1,1,0,1
316.0,1,1,0,0
316.0,1,33,3.0,11
316.0,1,1,0,1
316.0,1,1,0,1
316.0,1,1,0,0
316.0,1,4,1.0,3
316.0,1,3,1.0,2
316.0,1,1,0,0
316.0,1,12,3.0,4
316.0,1,4,3.0,3
316.0,1,18,3.0,7
316.0,1,24,4.0,11
316.0,1,25,2.0,8
316.0,1,4,2.0,3
316.0,1,8,1.0,5
316.0,1,4,2.0,3
316.0,1,3,1.0,2
316.0,1,1,0,0
316.0,1,10,2.0,7
316.0,1,3,1.0,2
316.0,1,2,1.0,2
316.0,1,4,1.0,2
400.0,1,2,0,0
512.0,1,1,0,1
513.0,1,1,0,0
513.0,1,11,3.0,7
513.0,1,20,1.0,15
513.0,1,4,1.0,4
513.0,1,2,0,2
513.0,1,2,1.0,2
513.0,1,1,0,1
513.0,1,1,0,1
513.0,1,3,0,3
513.0,1,4,1.0,4
513.0,1,4,0,4
513.0,1,8,0,8
513.0,1,1,0,1
513.0,1,7,1.0,6
513.0,1,1,0,1
513.0,1,1,0,0
513.0,1,1,0,0
513.0,1,1,0,0
513.0,1,3,1.0,2
513.0,1,2,0,1
513.0,1,2,0,2
513.0,1,1,0,1
557.0,1,7,1.0,4
606.0,1,1,0,1
606.0,1,1,0,0
606.0,1,11,10.0,5
606.0,1,6,4.0,3
606.0,1,10,7.0,4
606.0,1,1,1.0,1
606.0,1,3,2.0,3
606.0,1,5,2.0,3
606.0,1,2,1.0,2
606.0,1,5,2.0,4
606.0,1,1,0,0
606.0,1,1,1.0,1
606.0,1,1,0,0
606.0,1,1,0,0
606.0,1,8,1.0,5
606.0,1,1,0,0
606.0,1,1,0,0
606.0,1,4,1.0,4
606.0,1,2,0,2
606.0,1,1,0,0
606.0,1,7,1.0,4
606.0,1,1,0,0
606.0,1,1,0,1
606.0,1,1,0,1
606.0,1,1,0,0
606.0,1,1,0,1
606.0,1,1,0,0
606.0,1,8,0,2
606.0,1,2,0,1
606.0,1,2,1.0,2
606.0,1,3,0,2
606.0,1,12,0,3
606.0,1,5,2.0,3
606.0,1,4,0,3
606.0,1,12,2.0,8
606.0,1,5,1.0,4
606.0,1,4,3.0,3
606.0,1,4,1.0,1
606.0,1,1,0,1
606.0,1,4,0,2
606.0,1,2,1.0,2
606.0,1,1,0,1
606.0,1,2,0,1
606.0,1,2,1.0,2
606.0,1,25,1.0,20
606.0,1,7,3.0,4
606.0,1,3,1.0,3
606.0,1,2,1.0,2
606.0,1,2,0,2
606.0,1,2,1.0,2
606.0,1,1,0,1
606.0,1,2,1.0,2
606.0,1,2,1.0,2
606.0,1,1,0,1
606.0,1,3,1.0,3
606.0,1,1,0,1
606.0,1,3,0,1
606.0,1,2,1.0,2
606.0,1,1,0,1
606.0,1,1,0,1
606.0,1,10,3.0,2
606.0,1,14,3.0,2
660.0,1,1,0,0
