lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
ar,1265.0,\u0639\u0644\u0645 \u0627\u0644\u062d\u0627\u0633\u0628\u0627\u062a,Top_Subtitle,\u0623\u064a\u0645\u0646,0.0,1.0
ar,1265.0,\u0639\u0644\u0645 \u0627\u0644\u062d\u0627\u0633\u0628\u0627\u062a,Top_Subtitle,\u0639\u0635\u0627\u0645 \u0628\u0627\u064a\u0632\u064a\u062f\u064a,1.0,2.0
ar,1265.0,\u0639\u0644\u0645 \u0627\u0644\u062d\u0627\u0633\u0628\u0627\u062a,Top_Subtitle,\u0623\u062d\u0645\u062f,0.0,3.0
ar,1454.0,\u062c\u062f\u0627\u0631 \u0628\u0631\u0644\u064a\u0646,Top_Subtitle,\u064a\u0648\u0633\u0641,0.0,1.0
ar,1454.0,\u062c\u062f\u0627\u0631 \u0628\u0631\u0644\u064a\u0646,Top_Subtitle,\u0623\u064a\u0645\u0646,1.0,2.0
ar,1454.0,\u062c\u062f\u0627\u0631 \u0628\u0631\u0644\u064a\u0646,Top_Subtitle,Riadismet,0.0,3.0
ar,1509.0,\u0637\u0628\u062e,Top_Subtitle,\u0623\u064a\u0645\u0646,0.0,1.0
ar,1572.0,\u0623\u0641\u0631\u064a\u0642\u064a\u0627,Top_Subtitle,None,0.0,1.0
ar,1572.0,\u0623\u0641\u0631\u064a\u0642\u064a\u0627,\u0625\u0641\u0631\u064a\u0642\u064a\u0629 \u0623\u0645 \u0627\u0641\u0631\u064a\u0642\u064a\u0629 \u0623\u0645 \u0627\u0641\u0631\u064a\u0642\u064a\u0627,\u0639\u0635\u0627\u0645 \u0628\u0627\u064a\u0632\u064a\u062f\u064a,0.0,1.0
ar,1572.0,\u0623\u0641\u0631\u064a\u0642\u064a\u0627,\u0625\u0641\u0631\u064a\u0642\u064a\u0629 \u0623\u0645 \u0627\u0641\u0631\u064a\u0642\u064a\u0629 \u0623\u0645 \u0627\u0641\u0631\u064a\u0642\u064a\u0627,Uwe a,1.0,2.0
ar,1572.0,\u0623\u0641\u0631\u064a\u0642\u064a\u0627,\u0641\u0642\u0631\u0629 \u0645\u0646\u0642\u0648\u0644\u0629 \u0645\u0646 \u0645\u0642\u0627\u0644\u0629 \u0623\u062e\u0631\u0649 ,Jak,1.0,1.0
ar,1572.0,\u0623\u0641\u0631\u064a\u0642\u064a\u0627,\u0625\u0641\u0631\u064a\u0642\u064a\u0629 \u0623\u0645 \u0623\u0641\u0631\u064a\u0642\u064a\u0627 ,\u0639\u0645\u0631\u0648 \u0628\u0646 \u0643\u0644\u062b\u0648\u0645,0.0,1.0
ar,1572.0,\u0623\u0641\u0631\u064a\u0642\u064a\u0627,\u0625\u0641\u0631\u064a\u0642\u064a\u0629 \u0623\u0645 \u0623\u0641\u0631\u064a\u0642\u064a\u0627 ,\u03a3\u03cd\u03bc\u03bc\u03b1\u03c7\u03bf\u03c2,0.0,2.0
ar,1572.0,\u0623\u0641\u0631\u064a\u0642\u064a\u0627,\u0625\u0641\u0631\u064a\u0642\u064a\u0629 \u0623\u0645 \u0623\u0641\u0631\u064a\u0642\u064a\u0627 ,\u0639\u0645\u0631\u0648 \u0628\u0646 \u0643\u0644\u062b\u0648\u0645,1.0,3.0
ar,1572.0,\u0623\u0641\u0631\u064a\u0642\u064a\u0627,\u0625\u0641\u0631\u064a\u0642\u064a\u0629 \u0623\u0645 \u0623\u0641\u0631\u064a\u0642\u064a\u0627 ,\u03a3\u03cd\u03bc\u03bc\u03b1\u03c7\u03bf\u03c2,0.0,4.0
ar,1572.0,\u0623\u0641\u0631\u064a\u0642\u064a\u0627,\u0625\u0641\u0631\u064a\u0642\u064a\u0629 \u0623\u0645 \u0623\u0641\u0631\u064a\u0642\u064a\u0627 ,Aa2-2004,1.0,5.0
ar,1572.0,\u0623\u0641\u0631\u064a\u0642\u064a\u0627,\u0625\u0641\u0631\u064a\u0642\u064a\u0629 \u0623\u0645 \u0623\u0641\u0631\u064a\u0642\u064a\u0627 ,Muhends,0.0,6.0
ar,1572.0,\u0623\u0641\u0631\u064a\u0642\u064a\u0627,\u0625\u0641\u0631\u064a\u0642\u064a\u0629 \u0623\u0645 \u0623\u0641\u0631\u064a\u0642\u064a\u0627 ,Aa2-2004,0.0,7.0
ar,1572.0,\u0623\u0641\u0631\u064a\u0642\u064a\u0627,\u0625\u0641\u0631\u064a\u0642\u064a\u0627 \u0625\u0641\u0631\u064a\u0642\u064a\u0627 \u0625\u0641\u0631\u064a\u0642\u064a\u0627 ,\u0645\u062d\u0645\u062f \u0628\u0648\u0639\u0644\u0627\u0645 \u0639\u0635\u0627\u0645\u064a,0.0,1.0
