lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
ca,1379.0,Portada,Top_Subtitle,None,0.0,1.0
ca,1379.0,Portada,Your Bot ,Xqt,0.0,1.0
ca,1379.0,Portada,Traducción de nombres propios ,Davidpar,1.0,1.0
ca,1379.0,Portada,Sol·licitud de modificació protegida 25-04-2013 ,Sorneguer,0.0,1.0
ca,1379.0,Portada,Sol·licitud de modificació protegida 25-04-2013 ,Àlex,1.0,2.0
ca,1379.0,Portada,El joc de Badalona (important) ,"85.192.82.85|12:34, 7 maig 2013 (CEST)",0.0,1.0
ca,1379.0,Portada,Interwiki to Bosnian Wikipedia ,Edinwiki,0.0,1.0
ca,1379.0,Portada,¿Sesgo secesionista? ,79.145.99.253,0.0,1.0
ca,1379.0,Portada,¿Sesgo secesionista? ,Arnaugir,1.0,2.0
ca,1379.0,Portada,¿Sesgo secesionista? ,Jmpllopis,0.0,3.0
ca,1379.0,Portada,"WMF intends for Only VisualEditor to be usable on Talk pages; representative states he would ""dearly love to kill off Wikitext"". ",Adam Cuerden,0.0,1.0
ca,1379.0,Portada,Actualització Viquipèdia,Bcnart,0.0,1.0
ca,1379.0,Portada,Actualització Viquipèdia,Davidpar,1.0,2.0
ca,1379.0,Portada,Data d'inici ,Kippelboy,0.0,1.0
ca,1379.0,Portada,Hora ,213.98.197.9,1.0,1.0
ca,1379.0,Portada,Hora ,Suc de pinya,0.0,2.0
ca,1379.0,Portada,Hora ,Pere prlpz,1.0,3.0
ca,1379.0,Portada,Hora ,FranSisPac,0.0,4.0
ca,1379.0,Portada,Hora ,Vriullop#top,1.0,5.0
ca,1379.0,Portada,Hora ,Pere prlpz,2.0,6.0
ca,1379.0,Portada,Hora ,FranSisPac,3.0,7.0
ca,1379.0,Portada,"Error en el ""sabíeu que...""? ",Sorneguer,0.0,1.0
ca,1379.0,Portada,"Error en el ""sabíeu que...""? ",Pere prlpz,1.0,2.0
ca,1379.0,Portada,Semiprotecció ,Judesba,0.0,1.0
ca,1379.0,Portada,"Porqueria, ximpleria, escombraries... ",Pere prlpz,0.0,1.0
ca,1379.0,Portada,"Porqueria, ximpleria, escombraries... ",Vriullop#top,1.0,2.0
ca,1379.0,Portada,"Porqueria, ximpleria, escombraries... ",Leptictidium,2.0,3.0
ca,1379.0,Portada,"Porqueria, ximpleria, escombraries... ",Pere prlpz,3.0,4.0
ca,1379.0,Portada,"Porqueria, ximpleria, escombraries... ",Pere prlpz,0.0,5.0
ca,1379.0,Portada,Actualitat ,F3RaN,0.0,1.0
ca,1379.0,Portada,Actualitat ,F3RaN,0.0,2.0
ca,1379.0,Portada,Actualitat , Pere prlpz,1.0,3.0
ca,1379.0,Portada,Actualitat ,F3RaN,1.0,4.0
ca,1379.0,Portada,Actualitat ,Pere prlpz,2.0,5.0
ca,1379.0,Portada,Imatge del mes ,Pere prlpz,1.0,1.0
ca,1379.0,Portada,En sabeu la resposta 13/4/14 ,Adriaesc,0.0,1.0
ca,1379.0,Portada,En sabeu la resposta 13/4/14 ,CarlesMartin,1.0,2.0
ca,1379.0,Portada,"Caldria un ""falten referències"" per a la secció Actualitat? ",FranSisPac,0.0,1.0
ca,1379.0,Portada,"Caldria un ""falten referències"" per a la secció Actualitat? ",Pere prlpz,1.0,2.0
ca,1379.0,Portada,"Caldria un ""falten referències"" per a la secció Actualitat? ",FranSisPac,2.0,3.0
ca,1379.0,Portada,Nom de l'article del dia ,gerardduenas,0.0,1.0
ca,1379.0,Portada,"Error ""En sabeu la resposta?"" del 24/06/2014 ",Pere Novell,0.0,1.0
ca,1379.0,Portada,"Error ""En sabeu la resposta?"" del 24/06/2014 ",Pere prlpz,1.0,2.0
ca,1379.0,Portada,"Error ""En sabeu la resposta?"" del 17/07/2014 ",Pere Novell,0.0,1.0
ca,1379.0,Portada,"Error ""En sabeu la resposta?"" del 17/07/2014 ",Pere Novell,0.0,2.0
ca,1379.0,Portada,"Error ""En sabeu la resposta?"" del 17/07/2014 ",CarlesMartin,1.0,3.0
ca,1379.0,Portada,"Error ""En sabeu la resposta?"" del 17/07/2014 ",Pere prlpz,2.0,4.0
ca,1379.0,Portada,"Error ""En sabeu la resposta?"" del 17/07/2014 ",Pere Novell,3.0,5.0
ca,1379.0,Portada,Brot d'Ebola de 2014 d'Àfrica de l'oest ,Xbosch,0.0,1.0
ca,1379.0,Portada,Brot d'Ebola de 2014 d'Àfrica de l'oest ,Pere prlpz,1.0,2.0
ca,1379.0,Portada,Brot d'Ebola de 2014 d'Àfrica de l'oest ,Xbosch,2.0,3.0
ca,1379.0,Portada,bielorús clàsic>clàssic ,Jaumeortola,0.0,1.0
ca,1379.0,Portada,bielorús clàsic>clàssic ,Pere prlpz,1.0,2.0
ca,1379.0,Portada,[https://en.wikipedia.org/wiki/Wikipedia:Today%27s_articles_for_improvement Today's articles for improvement project] ,Coin945,0.0,1.0
ca,1379.0,Portada,Peu de pàgina foto del mes (nov 2014) ,FranSisPac,0.0,1.0
ca,1379.0,Portada,Peu de pàgina foto del mes (nov 2014) ,Pere prlpz,1.0,2.0
ca,1379.0,Portada,Sol·licitud de modificació protegida 4-11-2014 ,FranSisPac,0.0,1.0
ca,1379.0,Portada,Sol·licitud de modificació protegida 4-11-2014 ,Pere prlpz,1.0,2.0
ca,1379.0,Portada,Sol·licitud de modificació protegida 4-11-2014 ,FranSisPac,2.0,3.0
ca,1379.0,Portada,l'hora està equivocada ,Pitxiquin,0.0,1.0
ca,1379.0,Portada,l'hora està equivocada ,Pitxiquin,1.0,2.0
ca,1379.0,Portada,Cannot click on Continuació... – Arxiu ,Quiddity,0.0,1.0
ca,1379.0,Portada,Cannot click on Continuació... – Arxiu ,Arnaugir,1.0,2.0
ca,1379.0,Portada,Cannot click on Continuació... – Arxiu ,CarlesMartin,2.0,3.0
ca,1379.0,Portada,Cannot click on Continuació... – Arxiu ,"Arnaugir|23:35, 4 des 2014 (CET)",3.0,4.0
ca,1379.0,Portada,Parvovirus porcí ,None,0.0,1.0
ca,1379.0,Portada,Sol·licitud de modificació protegida 26-02-2015 ,Jordilet,0.0,1.0
ca,1379.0,Portada,Sol·licitud de modificació protegida 26-02-2015 ,Arnaugir,1.0,2.0
ca,1379.0,Portada,Error en la pàgina inicial de la Wikipèdia ,"Jpgine|11:49, 17 març 2015 (CEST)",0.0,1.0
ca,1379.0,Portada,Error en la pàgina inicial de la Wikipèdia ,Ssola,1.0,2.0
ca,1379.0,Portada,Error en la pàgina inicial de la Wikipèdia ,Jaumeortola,2.0,3.0
ca,1379.0,Portada,Error en la pàgina inicial de la Wikipèdia ,FranSisPac,3.0,4.0
ca,1379.0,Portada,Error en la pàgina inicial de la Wikipèdia ,Leptictidium,4.0,5.0
ca,1379.0,Portada,Error en la pàgina inicial de la Wikipèdia ,CarlesMartin,5.0,6.0
ca,1379.0,Portada,Error en la pàgina inicial de la Wikipèdia ,Arnaugir,6.0,7.0
ca,1379.0,Portada,Innocentada ,Krauss64,0.0,1.0
ca,1379.0,Portada,Innocentada ,Vriullop#top,1.0,2.0
ca,1379.0,Portada,Innocentada ,FranSisPac,2.0,3.0
ca,1379.0,Portada,Innocentada ,Gerhidt,3.0,4.0
ca,1379.0,Portada,Innocentada ,Arnaugir,4.0,5.0
ca,1379.0,Portada,Innocentada ,Leptictidium,5.0,6.0
ca,1379.0,Portada,Innocentada ,Krauss64,6.0,7.0
ca,1379.0,Portada,Logo conmemoratiu ,None,0.0,1.0
ca,1379.0,Portada,Sol·licitud de modificació protegida 11-03-2016 ,Llumeureka,0.0,1.0
ca,1379.0,Portada,Sol·licitud de modificació protegida 11-03-2016 ,Àlex,1.0,2.0
ca,1379.0,Portada,Ensurt amb George Martin ,Gerhidt,0.0,1.0
ca,1379.0,Portada,Article del dia\u02d0 esperanto ,Darth vader 92,0.0,1.0
ca,1379.0,Portada,Article del dia\u02d0 esperanto ,Gerhidt,1.0,2.0
ca,1379.0,Portada,Altres llengües - Wikipedia en basc ,Euskaldunaa,0.0,1.0
ca,5667.0,Cavall,Top_Subtitle,Llull,0.0,1.0
ca,5667.0,Cavall,Top_Subtitle,88.19.142.42,0.0,2.0
ca,5667.0,Cavall,Top_Subtitle,Roger Liart,0.0,3.0
