lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
cs,354.0,\u010cesko,Top_Subtitle,Česko/Často kladené dotazy,0.0,1.0
cs,354.0,\u010cesko,Top_Subtitle,Česko/Název,0.0,2.0
cs,354.0,\u010cesko,Hymna ,Me22dec,0.0,1.0
cs,354.0,\u010cesko,Hymna ,Polda18,1.0,2.0
cs,354.0,\u010cesko,Poznámka k úvodní větě ,JanBlanicky,0.0,1.0
cs,354.0,\u010cesko,Poznámka k úvodní větě ,Ioannes Pragensis,1.0,2.0
cs,354.0,\u010cesko,Poznámka k úvodní větě ,Ioannes Pragensis,2.0,3.0
cs,354.0,\u010cesko,Poznámka k úvodní větě ,Geog25,3.0,4.0
cs,354.0,\u010cesko,Poznámka k úvodní větě ,Pavel Fric,1.0,5.0
cs,354.0,\u010cesko,Poznámka k úvodní větě ,Diggindir,0.0,6.0
cs,354.0,\u010cesko,Poznámka k úvodní větě ,Pavel Fric,1.0,7.0
cs,354.0,\u010cesko,Jazyky ,David Bene\u0161,1.0,1.0
cs,354.0,\u010cesko,Vadná reference v článku ,Rosičák,0.0,1.0
cs,354.0,\u010cesko,Vadná reference v článku ,Jan Kovář BK,1.0,2.0
cs,354.0,\u010cesko,Vadná reference v článku ,Rosičák,2.0,3.0
cs,354.0,\u010cesko,Vadná reference v článku ,Harold,3.0,4.0
cs,354.0,\u010cesko,Název ,Mormegil,1.0,1.0
cs,354.0,\u010cesko,Vadné názvy v článku ,Robin WH,0.0,1.0
cs,354.0,\u010cesko,Vadné názvy v článku ,Rosičák,1.0,2.0
cs,354.0,\u010cesko,Vadné názvy v článku ,Diggindir,0.0,3.0
cs,354.0,\u010cesko,Česká kotlina ,Rosičák,1.0,1.0
cs,354.0,\u010cesko,Úřední ,None,0.0,1.0
cs,354.0,\u010cesko,Erb Jižní Moravy ,None,0.0,1.0
cs,354.0,\u010cesko,Poradi podle rozlohy ,None,0.0,1.0
cs,354.0,\u010cesko,Texty nesouvisející s názvem ,Svenkaj,0.0,1.0
cs,354.0,\u010cesko,Svátky ,Jana Lánová,1.0,1.0
cs,354.0,\u010cesko,"Antonín Frozín, Obroviště mariánského Atlanta, 1704 ",Pavel Fric,0.0,1.0
cs,354.0,\u010cesko,"Antonín Frozín, Obroviště mariánského Atlanta, 1704 ",Harold,1.0,2.0
cs,354.0,\u010cesko,"Antonín Frozín, Obroviště mariánského Atlanta, 1704 ",Zbrnajsem,2.0,3.0
cs,354.0,\u010cesko,"Antonín Frozín, Obroviště mariánského Atlanta, 1704 ",Pavel Fric,2.0,4.0
cs,354.0,\u010cesko,"Antonín Frozín, Obroviště mariánského Atlanta, 1704 ",David Bene\u0161,3.0,5.0
cs,354.0,\u010cesko,"Antonín Frozín, Obroviště mariánského Atlanta, 1704 ",Marv1N,4.0,6.0
cs,354.0,\u010cesko,"Antonín Frozín, Obroviště mariánského Atlanta, 1704 ",Pavel Fric,5.0,7.0
cs,354.0,\u010cesko,"Antonín Frozín, Obroviště mariánského Atlanta, 1704 ",Marv1N,6.0,8.0
cs,354.0,\u010cesko,"Antonín Frozín, Obroviště mariánského Atlanta, 1704 ",Pavel Fric,7.0,9.0
cs,354.0,\u010cesko,Nový název 5. července? ,-jkb-,0.0,1.0
cs,354.0,\u010cesko,Nový název 5. července? ,Chrzwzcz,1.0,2.0
cs,354.0,\u010cesko,Nový název 5. července? ,-jkb-,2.0,3.0
cs,354.0,\u010cesko,Nový název 5. července? ,Chrzwzcz,3.0,4.0
cs,354.0,\u010cesko,Nový název 5. července? ,-jkb-,4.0,5.0
cs,354.0,\u010cesko,Nový název 5. července? ,Chrzwzcz,5.0,6.0
cs,354.0,\u010cesko,Nový název 5. července? ,-jkb-,6.0,7.0
cs,354.0,\u010cesko,Nový název 5. července? ,Chrzwzcz,7.0,8.0
cs,354.0,\u010cesko,Nový název 5. července? ,-jkb-,0.0,9.0
cs,383.0,Lorenzo Lotto,Top_Subtitle,Mirek,0.0,1.0
cs,383.0,Lorenzo Lotto,Top_Subtitle,Alva,0.0,2.0
