lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
en,128.0,Atlas Shrugged,Top_Subtitle,None,0.0,1.0
en,128.0,Atlas Shrugged,Misleading... ,199.80.142.62,0.0,1.0
en,128.0,Atlas Shrugged,"""100 best novels of the 20th century"" blurb should be removed [uncredible source]. ",184.69.69.30,0.0,1.0
en,128.0,Atlas Shrugged,"""100 best novels of the 20th century"" blurb should be removed [uncredible source]. ",51kwad,0.0,2.0
en,128.0,Atlas Shrugged,Sourcing ,Sitush,0.0,1.0
en,128.0,Atlas Shrugged,Sourcing ,Sitush,1.0,2.0
en,128.0,Atlas Shrugged,Sourcing ,MilesMoney,2.0,3.0
en,128.0,Atlas Shrugged,Reason magazine ,Sitush,0.0,1.0
en,128.0,Atlas Shrugged,Reason magazine ,MilesMoney,1.0,2.0
en,128.0,Atlas Shrugged,Movie profitable? ,None,0.0,1.0
en,128.0,Atlas Shrugged,External links modified ,Cyberpower678/FaQs#InternetArchiveBot,0.0,1.0
en,128.0,Atlas Shrugged,External links modified ,Cyberbot II,0.0,2.0
en,354.0,Algeria,Top_Subtitle,None,0.0,1.0
en,354.0,Algeria,GDP A JOKE? ,136.227.197.191,0.0,1.0
en,354.0,Algeria,GDP A JOKE? ,69.209.34.22,0.0,2.0
en,354.0,Algeria,GDP A JOKE? ,136.227.197.191,0.0,3.0
en,354.0,Algeria,Maps ,TownDown#top,0.0,1.0
en,354.0,Algeria,Maps ,JdeJ,1.0,2.0
en,354.0,Algeria,Maps ,TownDown#top,2.0,3.0
en,354.0,Algeria,Maps ,JdeJ,3.0,4.0
en,354.0,Algeria,Maps ,Bosonic dressing,1.0,5.0
en,354.0,Algeria,Climate,Meltingpot,0.0,1.0
en,354.0,Algeria,Climate,Meltingpot,0.0,2.0
en,354.0,Algeria,Climate,Meltingpot,0.0,3.0
en,354.0,Algeria,"Language, again ",91.152.248.219,0.0,1.0
en,354.0,Algeria,"Language, again ",JdeJ,1.0,2.0
en,354.0,Algeria,"Language, again ",Kivinou,0.0,3.0
en,354.0,Algeria,Berber World ,Bestofmed,0.0,1.0
en,354.0,Algeria,Berber World ,Carl.bunderson,1.0,2.0
en,354.0,Algeria,Inconsistency,78.222.112.219,0.0,1.0
en,354.0,Algeria,Plagiarism,TravisWichtendahl,0.0,1.0
en,354.0,Algeria,Economic role of women ,85.94.186.91,0.0,1.0
en,354.0,Algeria,Economic role of women ,Satheezmbs,0.0,2.0
en,354.0,Algeria,Relationship to the world,Camilo Sanchez,0.0,1.0
en,354.0,Algeria,Relationship to the world,193.163.223.128,0.0,2.0
en,354.0,Algeria,Most Algerians consider themselves Arabs ,99.229.205.120,0.0,1.0
en,354.0,Algeria,Most Algerians consider themselves Arabs ,NeilN,1.0,2.0
en,354.0,Algeria,Most Algerians consider themselves Arabs ,99.229.67.184,0.0,3.0
en,354.0,Algeria,Most Algerians consider themselves Arabs ,Zanati,0.0,4.0
en,354.0,Algeria,Most Algerians consider themselves Arabs ,Antipastor,1.0,5.0
en,354.0,Algeria,Most Algerians consider themselves Arabs ,Antipastor,2.0,6.0
en,354.0,Algeria,French rule -- Denoeux ,Antipastor,1.0,1.0
en,354.0,Algeria,Genocide ,206.208.180.240,0.0,1.0
en,354.0,Algeria,'''stop Vandalism''' ,\u062a\u0631\u062c\u0645\u0627\u064605,0.0,1.0
en,354.0,Algeria,Islamists loot and burn protestant church in Algeria,Agre22,0.0,1.0
en,354.0,Algeria,Languages ,98.169.62.105,0.0,1.0
en,354.0,Algeria,Languages ,Aaker,2.0,2.0
en,354.0,Algeria,Languages ,WhisperToMe,3.0,3.0
en,354.0,Algeria,Languages ,216.137.171.31,3.0,4.0
en,354.0,Algeria,Presidential Terms ,Tigerboy1966,0.0,1.0
en,354.0,Algeria,Inconsistent spelling: Bugia/Bujia ,None,0.0,1.0
en,354.0,Algeria,Pre-History ,193.234.185.68,2.0,1.0
en,354.0,Algeria,Pre-History ,Bpmullins,0.0,2.0
en,354.0,Algeria,Pre-History ,64.158.142.187,0.0,3.0
en,354.0,Algeria,"literacy plummeted,[36] while land development uprooted much of the population. ",81.234.222.35,0.0,1.0
en,354.0,Algeria,IP 68.147.201.79 a TROLL ,136.227.197.191,0.0,1.0
en,354.0,Algeria,Please edit reference #44 ,KJEFRNNF,0.0,1.0
en,354.0,Algeria,History section a bit long? ,Flinders Petrie,0.0,1.0
en,354.0,Algeria,Ottoman History  ,Cheywoodward2,0.0,1.0
en,354.0,Algeria,Origin of the name ,Tachfin,0.0,1.0
en,354.0,Algeria,Origin of the name ,Ybgursey,0.0,2.0
en,354.0,Algeria,Origin of the name ,Tachfin,2.0,3.0
en,354.0,Algeria,Algeria's Arab Ethnicity ,Tachfin,1.0,1.0
en,354.0,Algeria,Algeria's Arab Ethnicity ,99.229.67.184,0.0,2.0
en,354.0,Algeria,Omitted province in the picture ,Terrorist96,0.0,1.0
en,354.0,Algeria,Omitted province in the picture ,Dzlinker,1.0,2.0
en,354.0,Algeria,Omitted province in the picture ,Oakley77,0.0,3.0
en,354.0,Algeria,Independence recognized before declared? ,Seb_az86556,0.0,1.0
en,354.0,Algeria,"600,000 to 2 million Turks ",Saint-Michel-de-Montaigne,0.0,1.0
en,354.0,Algeria,"600,000 to 2 million Turks ",Materialscientist,1.0,2.0
en,354.0,Algeria,"600,000 to 2 million Turks ",Saint-Michel-de-Montaigne,2.0,3.0
en,354.0,Algeria,"600,000 to 2 million Turks ",Dzlinker,3.0,4.0
en,354.0,Algeria,"600,000 to 2 million Turks ",217.218.67.253,0.0,5.0
en,354.0,Algeria,"600,000 to 2 million Turks ",109.145.47.207,0.0,6.0
en,354.0,Algeria,Delete ,UnsourcedBlanker222,0.0,1.0
en,354.0,Algeria,Delete ,John,1.0,2.0
en,354.0,Algeria,Delete ,NeilN,1.0,3.0
en,354.0,Algeria,Slaves unreferenced ,Bruce Marlin,0.0,1.0
en,354.0,Algeria,Slaves unreferenced ,Dzlinker,1.0,2.0
en,354.0,Algeria,Slaves unreferenced ,Bruce Marlin,2.0,3.0
en,354.0,Algeria,French in lede,WhisperToMe,0.0,1.0
en,354.0,Algeria,French in lede,Cymru123,1.0,2.0
en,354.0,Algeria,French in lede,Strongful,2.0,3.0
en,354.0,Algeria,French in lede,WhisperToMe,3.0,4.0
en,354.0,Algeria,French in lede,WhisperToMe,0.0,5.0
en,354.0,Algeria,French in lede,WhisperToMe,0.0,6.0
en,354.0,Algeria,Image in the demo section ,Underlying lk,0.0,1.0
en,354.0,Algeria,Image in the demo section ,Seb_az86556,1.0,2.0
en,354.0,Algeria,Image in the demo section ,Underlying lk,2.0,3.0
en,354.0,Algeria,Image in the demo section ,Seb_az86556,3.0,4.0
en,354.0,Algeria,Image in the demo section ,Chanqari\u1e25a,4.0,5.0
en,354.0,Algeria,Image in the demo section ,Seb_az86556,5.0,6.0
en,354.0,Algeria,Image in the demo section ,Chanqari\u1e25a,6.0,7.0
en,354.0,Algeria,Image in the demo section ,Underlying lk,7.0,8.0
