lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
es,52.0,Autogiro,Top_Subtitle,Aronu,0.0,1.0
es,65.0,Arqueología,Top_Subtitle,None,0.0,1.0
es,65.0,Arqueología,Arqueologías nacionales ,None,0.0,1.0
es,65.0,Arqueología,Reformas ,JM de La Torre,1.0,1.0
es,65.0,Arqueología,Reformas ,Locutus Borg,2.0,2.0
es,65.0,Arqueología,Reformas ,85.55.27.247,0.0,3.0
es,65.0,Arqueología,ciencias que estudian las sociedades antiguas ,95.121.136.219,0.0,1.0
es,65.0,Arqueología,Subdiciplinas??  ,PePeEfe,0.0,1.0
es,65.0,Arqueología,Subdiciplinas??  ,PePeEfe,1.0,2.0
es,65.0,Arqueología,Nuevos dibujos ,Papix,0.0,1.0
es,65.0,Arqueología,Divisiones diacrónicas y sincrónicas ,PePeEfe,0.0,1.0
es,65.0,Arqueología,Divisiones diacrónicas y sincrónicas ,PePeEfe,0.0,2.0
es,147.0,Arte culinario,Top_Subtitle,None,0.0,1.0
es,147.0,Arte culinario,[[Wikilibros]] ,AlbertoDV,0.0,1.0
es,147.0,Arte culinario,Enlace a cocina ,Tucapl,0.0,1.0
es,147.0,Arte culinario,Enlace a cocina ,Tucapl,0.0,2.0
es,219.0,Acento gráfico,Top_Subtitle,None,0.0,1.0
es,219.0,Acento gráfico,Tilde o acento ,unf,0.0,1.0
es,219.0,Acento gráfico,Tilde o acento ,84.122.11.237,0.0,2.0
es,219.0,Acento gráfico,Tilde o acento ,Remihh,0.0,3.0
es,219.0,Acento gráfico,Acento seudomimoral ,Doloco,0.0,1.0
es,219.0,Acento gráfico,Enlaces rotos ,Elvisor,0.0,1.0
es,219.0,Acento gráfico,Enlaces rotos ,Elvisor,0.0,1.0
es,227.0,AmigaOS,Top_Subtitle,None,0.0,1.0
es,227.0,AmigaOS,Enlaces rotos ,Elvisor,0.0,1.0
es,227.0,AmigaOS,Enlaces rotos ,Elvisor,0.0,1.0
es,276.0,Astrología,Top_Subtitle,None,0.0,1.0
es,276.0,Astrología,Tendencioso y reiterativo ,None,0.0,1.0
es,276.0,Astrología,La definición está incompleta ,Snookie1415,0.0,1.0
es,276.0,Astrología,La definición está incompleta ,Ciberprofe,1.0,2.0
es,276.0,Astrología,La definición está incompleta ,Joselotl,2.0,3.0
es,276.0,Astrología,La definición está incompleta ,JAGT,2.0,4.0
es,276.0,Astrología,La definición está incompleta ,Technopat,0.0,5.0
es,276.0,Astrología,Enlaces rotos ,Elvisor,0.0,1.0
es,276.0,Astrología,Grave error descriptivo ,83.213.212.223,0.0,1.0
es,276.0,Astrología,Grave error descriptivo ,Ciberprofe,1.0,2.0
es,276.0,Astrología,Grave error descriptivo ,JAGT,1.0,3.0
es,276.0,Astrología,Grave error descriptivo ,181.31.69.184,0.0,4.0
es,276.0,Astrología,Reestructuración completa ,JAGT,0.0,1.0
es,276.0,Astrología,"Me llevé la sección de ""Críticas a la astrología"" al artículo ""Críticas a la astrología""",Rosarino,0.0,1.0
es,276.0,Astrología,Defensores de la astrología,Oraculo,0.0,1.0
es,276.0,Astrología,Defensores de la astrología,Fjsalguero,1.0,2.0
es,276.0,Astrología,Defensores de la astrología,Davidgutierrezalvarez,2.0,3.0
es,276.0,Astrología,Defensores de la astrología,Fjsalguero,0.0,4.0
es,276.0,Astrología,Defensores de la astrología,Davidgutierrezalvarez,3.0,5.0
es,276.0,Astrología,Defensores de la astrología,Oraculo,1.0,6.0
es,276.0,Astrología,Defensores de la astrología,Fjsalguero,2.0,7.0
es,276.0,Astrología,Defensores de la astrología,Oraculo,2.0,8.0
es,276.0,Astrología,Defensores de la astrología,Davidgutierrezalvarez,3.0,9.0
es,276.0,Astrología,Defensores de la astrología,Oraculo,4.0,10.0
es,276.0,Astrología,Defensores de la astrología,Davidgutierrezalvarez,5.0,11.0
es,276.0,Astrología,Artículo enciclopédico ,Fjsalguero,0.0,1.0
es,276.0,Astrología,Artículo enciclopédico ,Davidgutierrezalvarez,1.0,2.0
es,276.0,Astrología,Artículo enciclopédico ,Tenan,2.0,3.0
es,276.0,Astrología,Artículo enciclopédico ,Davidgutierrezalvarez,3.0,4.0
es,276.0,Astrología,Artículo enciclopédico ,Oraculo,2.0,5.0
es,276.0,Astrología,Artículo enciclopédico ,Davidgutierrezalvarez,3.0,6.0
es,276.0,Astrología,Artículo enciclopédico ,Oraculo,1.0,7.0
es,276.0,Astrología,Artículo enciclopédico ,Fjsalguero,1.0,8.0
es,276.0,Astrología,Artículo enciclopédico ,Oraculo,1.0,9.0
es,276.0,Astrología,El artículo me parece tendencioso,AwakenStar1,0.0,1.0
es,276.0,Astrología,El artículo me parece tendencioso,Rosarino,1.0,2.0
es,276.0,Astrología,El artículo me parece tendencioso,Tenan,2.0,3.0
es,276.0,Astrología,El artículo me parece tendencioso,AwakenStar1,3.0,4.0
es,276.0,Astrología,El artículo me parece tendencioso,Fixertool,0.0,5.0
es,276.0,Astrología,El artículo me parece tendencioso,JAGT,2.0,6.0
es,276.0,Astrología,Enlaces rotos ,Elvisor,0.0,1.0
es,276.0,Astrología,Elminar palabras tendenciosas y hacerlo apersonal ,None,0.0,1.0
