lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
fa,648.0,\u0646\u0631\u0645\u200c\u0627\u0641\u0632\u0627\u0631\u0647\u0627\u06cc \u0645\u0634\u0627\u0631\u06a9\u062a\u200c\u06af\u0631\u0627,Top_Subtitle,\u0631\u0648\u0632\u0628\u0647,0.0,1.0
fa,648.0,\u0646\u0631\u0645\u200c\u0627\u0641\u0632\u0627\u0631\u0647\u0627\u06cc \u0645\u0634\u0627\u0631\u06a9\u062a\u200c\u06af\u0631\u0627,Top_Subtitle,Masoud,0.0,2.0
fa,664.0,\u062a\u06cc\u0631 \u06f1\u06f3\u06f8\u06f4,Top_Subtitle,None,0.0,1.0
fa,664.0,\u062a\u06cc\u0631 \u06f1\u06f3\u06f8\u06f4,\u062a\u0627\u0631\u06cc\u062e\u200c \u0647\u062c\u0631\u06cc \u0634\u0645\u0633\u06cc,Masoud,0.0,1.0
fa,664.0,\u062a\u06cc\u0631 \u06f1\u06f3\u06f8\u06f4,\u062a\u0627\u0631\u06cc\u062e\u200c \u0647\u062c\u0631\u06cc \u0634\u0645\u0633\u06cc,\u0631\u0648\u0632\u0628\u0647,1.0,2.0
fa,664.0,\u062a\u06cc\u0631 \u06f1\u06f3\u06f8\u06f4,\u062a\u0627\u0631\u06cc\u062e\u200c \u0647\u062c\u0631\u06cc \u0634\u0645\u0633\u06cc,\u0645\u0627\u0646\u064a,0.0,3.0
fa,664.0,\u062a\u06cc\u0631 \u06f1\u06f3\u06f8\u06f4,\u062a\u0627\u0631\u06cc\u062e\u200c \u0647\u062c\u0631\u06cc \u0634\u0645\u0633\u06cc,\u0631\u0648\u0632\u0628\u0647,1.0,4.0
fa,664.0,\u062a\u06cc\u0631 \u06f1\u06f3\u06f8\u06f4,\u062a\u0627\u0631\u06cc\u062e\u200c \u0647\u062c\u0631\u06cc \u0634\u0645\u0633\u06cc,\u0645\u0627\u0646\u064a,0.0,5.0
fa,664.0,\u062a\u06cc\u0631 \u06f1\u06f3\u06f8\u06f4,\u062a\u063a\u06cc\u06cc\u0631 \u0627\u0633\u0627\u0633\u06cc ,Yoosef Pooranvary,0.0,1.0
fa,664.0,\u062a\u06cc\u0631 \u06f1\u06f3\u06f8\u06f4,\u062a\u063a\u06cc\u06cc\u0631 \u0627\u0633\u0627\u0633\u06cc ,Sajad,2.0,2.0
