lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
fi,3772.0,Kantoninkiina,Top_Subtitle,T42,0.0,1.0
fi,3772.0,Kantoninkiina,Top_Subtitle,Höyhens,0.0,2.0
fi,3791.0,Uskonto,Top_Subtitle,None,0.0,1.0
fi,3791.0,Uskonto,Saatananpalvontako kristinuskoa ,Kompak,1.0,1.0
fi,3791.0,Uskonto,Saatananpalvontako kristinuskoa ,MikkoM,1.0,2.0
fi,3791.0,Uskonto,Saatananpalvontako kristinuskoa ,Kompak,1.0,3.0
fi,3791.0,Uskonto,Saatananpalvontako kristinuskoa ,Kompak,1.0,4.0
fi,3791.0,Uskonto,Saatananpalvontako kristinuskoa ,HAP,0.0,5.0
fi,3791.0,Uskonto,Neutraali kanta ,None,0.0,1.0
fi,3791.0,Uskonto,Kristillisperäiset uskonnot,Hippophaë,0.0,1.0
fi,3791.0,Uskonto,Uskonnonomaiset aatteet,Tynkänen,0.0,1.0
fi,3791.0,Uskonto,Uskonnonomaiset aatteet,Tynkänen,1.0,2.0
fi,3791.0,Uskonto,Maailman 10 suurinta uskontoa,Tynkänen,0.0,1.0
fi,3791.0,Uskonto,Maailman 10 suurinta uskontoa,Antti.k,1.0,2.0
fi,3791.0,Uskonto,Maailman 10 suurinta uskontoa,Antti.k,1.0,3.0
fi,3791.0,Uskonto,Uskonnon määritelmistä. ,ML,0.0,1.0
fi,3791.0,Uskonto,Uskonnon määritelmistä. ,KKHS,1.0,2.0
fi,3791.0,Uskonto,Käsitteistä ,None,0.0,1.0
fi,3791.0,Uskonto,Kuva,Antti.k,0.0,1.0
fi,3791.0,Uskonto,"""Käänteiskristillisyys"" ",ML,0.0,1.0
fi,3791.0,Uskonto,Uskonnon määrittely ,Tomisti,0.0,1.0
fi,3791.0,Uskonto,Uskonnon määrittely ,Joonasl,1.0,2.0
fi,3791.0,Uskonto,Uskonnon määrittely ,Thi,2.0,3.0
fi,3791.0,Uskonto,Uskonnon määrittely ,Tomisti,1.0,4.0
fi,3791.0,Uskonto,Uskonnon määrittely ,Thi,2.0,5.0
fi,3791.0,Uskonto,Rûzne? ,None,0.0,1.0
fi,3791.0,Uskonto,Kuohatille,Piechjo,0.0,1.0
fi,3791.0,Uskonto,Kuohatille,Kuohatti,1.0,2.0
fi,3791.0,Uskonto,Kuohatille,Piechjo,2.0,3.0
fi,3791.0,Uskonto,Kognitiivisen uskontotieteen näkökulma ,Metaskeema,0.0,1.0
fi,3791.0,Uskonto,Kognitiivisen uskontotieteen näkökulma ,Thi,1.0,2.0
fi,3791.0,Uskonto,Kognitiivisen uskontotieteen näkökulma ,212.66.210.46,0.0,3.0
fi,3791.0,Uskonto,"Siirrettyä, lähteistettynä takaisin ",Thi,0.0,1.0
fi,3791.0,Uskonto,Yle: Uskonnollinen vihanpito lisääntyy ,Raimo Miettinen,1.0,1.0
fi,3791.0,Uskonto,Määritelmästä ,J. Sketter,0.0,1.0
fi,3791.0,Uskonto,Määritelmästä ,Uusimies,0.0,2.0
fi,3815.0,Luettelo kirjaimista,Top_Subtitle,None,0.0,1.0
fi,3815.0,Luettelo kirjaimista,Omat artikkelit kullekin kirjaimelle vai ei? ,Tsk,0.0,1.0
fi,3815.0,Luettelo kirjaimista,Omat artikkelit kullekin kirjaimelle vai ei? ,T42,1.0,2.0
fi,3815.0,Luettelo kirjaimista,Omat artikkelit kullekin kirjaimelle vai ei? ,Tsk,2.0,3.0
fi,3815.0,Luettelo kirjaimista,Omat artikkelit kullekin kirjaimelle vai ei? ,T42,3.0,4.0
