lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
fr,173.0,Azote,Top_Subtitle,None,0.0,1.0
fr,173.0,Azote,divers,El Jj,0.0,1.0
fr,173.0,Azote,confusions entre azote et diazote,None,0.0,1.0
fr,173.0,Azote,article vandalisé/trollé ?,Erasmus,0.0,1.0
fr,173.0,Azote,Un peu foireux en effet...,None,0.0,1.0
fr,173.0,Azote,Lien externe,Daniel Dufour,0.0,1.0
fr,173.0,Azote,Solubilité ,None,0.0,1.0
fr,173.0,Azote,fixation biologique de l'azote,None,0.0,1.0
fr,173.0,Azote,Excrétion azotée oubliée ? ,None,0.0,1.0
fr,173.0,Azote,Récupérer de l'azote ,Skiff,1.0,1.0
fr,173.0,Azote,Récupérer de l'azote ,Maloq,2.0,2.0
fr,173.0,Azote,"L'azote est au centre de la biologie avec le O2, le C, le H ",Maximini1010,2.0,1.0
fr,173.0,Azote,"L'azote est au centre de la biologie avec le O2, le C, le H ",Maximini1010,3.0,2.0
fr,177.0,Astronomie,Top_Subtitle,None,0.0,1.0
fr,177.0,Astronomie,Untitled,Buzz,0.0,1.0
fr,177.0,Astronomie,Titre ,Med,1.0,1.0
fr,177.0,Astronomie,Titre ,R,2.0,2.0
fr,177.0,Astronomie,Titre ,Anarchimede,3.0,3.0
fr,177.0,Astronomie,les mythes et l'histoire de l'astronomie ,None,0.0,1.0
fr,177.0,Astronomie,Astrophysique ou Astronomie ? ,Anarchimede,0.0,1.0
fr,177.0,Astronomie,Astrophysique ou Astronomie ? ,Grum,1.0,2.0
fr,177.0,Astronomie,Astrophysique ou Astronomie ? ,Anarchimede,2.0,3.0
fr,177.0,Astronomie,Astrophysique ou Astronomie ? ,Grum,3.0,4.0
fr,177.0,Astronomie,Images ,Dhenry,0.0,1.0
fr,177.0,Astronomie,Images ,Looxix,1.0,2.0
fr,177.0,Astronomie,Images ,Anarchimede,2.0,3.0
fr,177.0,Astronomie,Modèles astro sont utilisables nan? ,Anarchimede,0.0,1.0
fr,177.0,Astronomie,Proposition de typo pour les discipline astro ,Anarchimede,0.0,1.0
fr,177.0,Astronomie,Proposition de typo pour les discipline astro ,Anarchimede,2.0,2.0
fr,177.0,Astronomie,Proposition de typo pour les discipline astro ,Dhenry,0.0,3.0
fr,177.0,Astronomie,Proposition de typo pour les discipline astro ,Anarchimede,2.0,4.0
fr,177.0,Astronomie,Proposition de typo pour les discipline astro ,Dhenry,3.0,5.0
fr,177.0,Astronomie,Proposition de typo pour les discipline astro ,Dhenry,0.0,6.0
fr,177.0,Astronomie,Proposition de typo pour les discipline astro ,Anarchimede,1.0,7.0
