lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
it,135.0,Armonium,Top_Subtitle,Gianfranco,0.0,1.0
it,135.0,Armonium,Top_Subtitle,Toobaz,0.0,2.0
it,135.0,Armonium,Top_Subtitle,Nemo_bis,0.0,3.0
it,296.0,Papa Giovanni Paolo I/Albino Luciani,Top_Subtitle,Gianfranco,0.0,1.0
it,306.0,AbiWord,Top_Subtitle,None,0.0,1.0
it,306.0,AbiWord,"""un documento scritto con AbiWord è salvato come testo leggibile e modificabile con qualsiasi editor di testo."" ",None,0.0,1.0
it,360.0,Alan Turing,Top_Subtitle,None,0.0,1.0
it,360.0,Alan Turing,Dalla pagina,Lucas,0.0,1.0
it,360.0,Alan Turing,Dalla pagina,Wiso,2.0,2.0
it,360.0,Alan Turing,Dalla pagina,Lucas,3.0,3.0
it,360.0,Alan Turing,Correlazione ,None,0.0,1.0
it,360.0,Alan Turing,Omosessualità ,Davideroma,0.0,1.0
it,360.0,Alan Turing,Omosessualità ,Nevarine,1.0,2.0
it,360.0,Alan Turing,Aggiornamento ,Dr. Sheldon Cooper,0.0,1.0
it,360.0,Alan Turing,Aggiornamento ,151.16.81.242,0.0,2.0
it,361.0,Aldo Moro,Top_Subtitle,Orsem,0.0,1.0
it,361.0,Aldo Moro,Top_Subtitle,Aanto,0.0,2.0
it,361.0,Aldo Moro,Sfalciature,Senza nome.txt,0.0,1.0
it,361.0,Aldo Moro,Sfalciature,Senza nome.txt,1.0,2.0
it,361.0,Aldo Moro,Nuova voce ? ,Bramfab,0.0,1.0
it,361.0,Aldo Moro,Citazioni,Bramfab,0.0,1.0
it,361.0,Aldo Moro,Citazioni,Consbuonomo,0.0,2.0
it,361.0,Aldo Moro,Cossiga,Danko111,0.0,1.0
it,361.0,Aldo Moro,kgb falso comunismo e false dichiarazioni ,None,0.0,1.0
it,361.0,Aldo Moro,Titolazione ,Sentruper,0.0,1.0
it,361.0,Aldo Moro,Proposta,Bramfab,0.0,1.0
it,361.0,Aldo Moro,Proposta,Yoggysot,1.0,2.0
it,361.0,Aldo Moro,Proposta,Bramfab,1.0,3.0
it,361.0,Aldo Moro,Proposta,Sentruper,1.0,4.0
it,361.0,Aldo Moro,sezione non neutrale,Demostene119,0.0,1.0
it,361.0,Aldo Moro,sezione non neutrale,Bramfab,0.0,2.0
it,361.0,Aldo Moro,sezione non neutrale,Demostene119,0.0,3.0
it,361.0,Aldo Moro,sezione non neutrale,Bramfab,0.0,4.0
it,361.0,Aldo Moro,sezione non neutrale,Bramfab,0.0,5.0
it,361.0,Aldo Moro,Aldo Moro non è un mistero ,Sentruper,0.0,1.0
it,361.0,Aldo Moro,Aldo Moro non è un mistero ,Bramfab,1.0,2.0
it,361.0,Aldo Moro,"Moro, Gui e Pasolini ",Sentruper,0.0,1.0
it,361.0,Aldo Moro,"Moro, Gui e Pasolini ",93.148.64.40,0.0,2.0
it,361.0,Aldo Moro,"Moro, Gui e Pasolini ",Bramfab,1.0,3.0
it,361.0,Aldo Moro,Moro precursore del [[Partito Democratico (Italia)|PD]] ? ,Borgolibero,0.0,1.0
it,361.0,Aldo Moro,Moro precursore del [[Partito Democratico (Italia)|PD]] ? ,Bramfab,1.0,2.0
it,361.0,Aldo Moro,Moro precursore del [[Partito Democratico (Italia)|PD]] ? ,Borgolibero,2.0,3.0
it,361.0,Aldo Moro,Unione voci,None,0.0,1.0
it,361.0,Aldo Moro,Affermazioni senza fonti ,Matt 76,0.0,1.0
it,361.0,Aldo Moro,Affermazioni senza fonti ,Borgolibero,1.0,2.0
it,361.0,Aldo Moro,Affermazioni senza fonti ,Beechs,2.0,3.0
