lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
ja,15.0,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8/\u904e\u53bb\u30ed\u30b0\u30ea\u30b9\u30c8/-2004\u5e749\u6708\u4e0a\u65ec,Top_Subtitle,None,0.0,1.0
ja,15.0,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8/\u904e\u53bb\u30ed\u30b0\u30ea\u30b9\u30c8/-2004\u5e749\u6708\u4e0a\u65ec,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8\u306e\u30ab\u30c6\u30b4\u30ea\u5206\u3051\u306b\u3064\u3044\u3066\u63d0\u6848 ,MH,0.0,1.0
ja,15.0,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8/\u904e\u53bb\u30ed\u30b0\u30ea\u30b9\u30c8/-2004\u5e749\u6708\u4e0a\u65ec,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8\u306e\u30ab\u30c6\u30b4\u30ea\u5206\u3051\u306b\u3064\u3044\u3066\u63d0\u6848 ,MH,0.0,2.0
ja,15.0,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8/\u904e\u53bb\u30ed\u30b0\u30ea\u30b9\u30c8/-2004\u5e749\u6708\u4e0a\u65ec,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8\u306e\u30ab\u30c6\u30b4\u30ea\u5206\u3051\u306b\u3064\u3044\u3066\u63d0\u6848 ,MH,0.0,3.0
ja,15.0,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8/\u904e\u53bb\u30ed\u30b0\u30ea\u30b9\u30c8/-2004\u5e749\u6708\u4e0a\u65ec,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8\u306e\u30ab\u30c6\u30b4\u30ea\u5206\u3051\u306b\u3064\u3044\u3066\u63d0\u6848 ,Ojigiri,0.0,4.0
ja,15.0,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8/\u904e\u53bb\u30ed\u30b0\u30ea\u30b9\u30c8/-2004\u5e749\u6708\u4e0a\u65ec,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8\u306e\u30ab\u30c6\u30b4\u30ea\u5206\u3051\u306b\u3064\u3044\u3066\u63d0\u6848 ,Ojigiri,1.0,5.0
ja,15.0,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8/\u904e\u53bb\u30ed\u30b0\u30ea\u30b9\u30c8/-2004\u5e749\u6708\u4e0a\u65ec,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8\u306e\u30ab\u30c6\u30b4\u30ea\u5206\u3051\u306b\u3064\u3044\u3066\u63d0\u6848 ,MH,1.0,6.0
ja,15.0,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8/\u904e\u53bb\u30ed\u30b0\u30ea\u30b9\u30c8/-2004\u5e749\u6708\u4e0a\u65ec,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8\u306e\u30ab\u30c6\u30b4\u30ea\u5206\u3051\u306b\u3064\u3044\u3066\u63d0\u6848 ,Tapio,2.0,7.0
ja,15.0,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8/\u904e\u53bb\u30ed\u30b0\u30ea\u30b9\u30c8/-2004\u5e749\u6708\u4e0a\u65ec,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8\u306e\u30ab\u30c6\u30b4\u30ea\u5206\u3051\u306b\u3064\u3044\u3066\u63d0\u6848 ,Sphl,3.0,8.0
ja,15.0,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8/\u904e\u53bb\u30ed\u30b0\u30ea\u30b9\u30c8/-2004\u5e749\u6708\u4e0a\u65ec,\u30e1\u30a4\u30f3\u30da\u30fc\u30b8\u306e\u30ab\u30c6\u30b4\u30ea\u5206\u3051\u306b\u3064\u3044\u3066\u63d0\u6848 ,MH,4.0,9.0
