lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
ko,55.0,\uac00\uc704,Top_Subtitle,ChongDae,0.0,1.0
ko,71.0,\uac90\uc9c0 \uc774\uc57c\uae30,Top_Subtitle,None,0.0,1.0
ko,93.0,\uacf1\uc148\uc801 \ud568\uc218,Top_Subtitle,None,0.0,1.0
ko,103.0,\uc74c\uc545\uc778,Top_Subtitle,None,0.0,1.0
ko,109.0,\uac00\uc218,Top_Subtitle,None,0.0,1.0
ko,109.0,\uac00\uc218,\ubd84\ub958 \ubb38\uc81c ,Allen R Francis,0.0,1.0
ko,109.0,\uac00\uc218,\ubd84\ub958 \ubb38\uc81c ,10k,0.0,2.0
ko,153.0,\uc6b0\ud06c\ub77c\uc774\ub098\uc758 \uc9c0\uc5ed \uad6c\ubd84,Top_Subtitle,Xaos,0.0,1.0
ko,153.0,\uc6b0\ud06c\ub77c\uc774\ub098\uc758 \uc9c0\uc5ed \uad6c\ubd84,5\ub144\uc9f8 \ud569\ubcd1 \ub17c\uc758 \uc911? ,Peremen,0.0,1.0
ko,153.0,\uc6b0\ud06c\ub77c\uc774\ub098\uc758 \uc9c0\uc5ed \uad6c\ubd84,\ud569\ubcd1 \ub17c\uc758\uac00 \uc544\ub2cc \ubd84\ud560 \uc694\uccad\uc774\ub784\uae4c\uc694? ,ChongDae,0.0,1.0
ko,153.0,\uc6b0\ud06c\ub77c\uc774\ub098\uc758 \uc9c0\uc5ed \uad6c\ubd84,\uc0ad\uc81c \ub418\ub3cc\ub9bc ,ChongDae,0.0,1.0
ko,153.0,\uc6b0\ud06c\ub77c\uc774\ub098\uc758 \uc9c0\uc5ed \uad6c\ubd84,\uc774\ub3d9 \ud544\uc694 ,None,0.0,1.0
ko,254.0,\ub300\ud55c\ubbfc\uad6d\uc758 \uad6d\uac00,Top_Subtitle,Xaos,0.0,1.0
ko,254.0,\ub300\ud55c\ubbfc\uad6d\uc758 \uad6d\uac00,Top_Subtitle,PuzzletChung,1.0,2.0
ko,254.0,\ub300\ud55c\ubbfc\uad6d\uc758 \uad6d\uac00,Top_Subtitle,PuzzletChung,0.0,3.0
ko,254.0,\ub300\ud55c\ubbfc\uad6d\uc758 \uad6d\uac00,Top_Subtitle,Ryuch,0.0,4.0
ko,254.0,\ub300\ud55c\ubbfc\uad6d\uc758 \uad6d\uac00,\ubb38\uc11c\uba85 \ubcc0\uacbd ,Ryuch,0.0,1.0
