lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
nl,31.0,Antropologie,Top_Subtitle,None,0.0,1.0
nl,31.0,Antropologie,Notatie: Ant(h)ropologie en mens(elijke soort) ,None,0.0,1.0
nl,31.0,Antropologie,Four fields approach ,Herr snoeckx,1.0,1.0
nl,31.0,Antropologie,Four fields approach ,Maartenvdbent,2.0,2.0
nl,31.0,Antropologie,Four fields approach ,ActiveSelective,0.0,3.0
nl,31.0,Antropologie,Deelgebieden ,ActiveSelective,0.0,1.0
nl,31.0,Antropologie,Criminele antropologie ,ActiveSelective,0.0,1.0
nl,31.0,Antropologie,Juiste benaming ,Galius,0.0,1.0
nl,31.0,Antropologie,Juiste benaming ,Maartenvdbent,1.0,2.0
nl,31.0,Antropologie,Portaal? ,Ben Pirard,0.0,1.0
nl,58.0,Auteur,Top_Subtitle,None,0.0,1.0
nl,61.0,Architectuur,Top_Subtitle,Fruggo,0.0,1.0
nl,61.0,Architectuur,Top_Subtitle,Andre Engels,1.0,2.0
nl,61.0,Architectuur,Top_Subtitle,Andre Engels,1.0,3.0
nl,61.0,Architectuur,Top_Subtitle,Fruggo,2.0,4.0
nl,61.0,Architectuur,opleiding ,Door de wol geverfd,0.0,1.0
nl,61.0,Architectuur,Media ,None,0.0,1.0
nl,61.0,Architectuur,venustas ,None,0.0,1.0
nl,61.0,Architectuur,jaren30stijl ,None,0.0,1.0
nl,61.0,Architectuur,Beurzen ,None,0.0,1.0
nl,61.0,Architectuur,Ruimere betekenis ,Caseman,0.0,1.0
nl,61.0,Architectuur,Ruimere betekenis ,Arend041,0.0,2.0
nl,76.0,Alfred Adler,Top_Subtitle,None,0.0,1.0
nl,76.0,Alfred Adler,"""Joods-Oostenrijks"" is geen goede aanduiding ",Dolph Kohnstamm,0.0,1.0
nl,114.0,Argon,Top_Subtitle,Rowald Hellinckx,1.0,1.0
nl,114.0,Argon,Verbinding Argon? ,DrJos,0.0,1.0
nl,170.0,Blues,Top_Subtitle,None,0.0,1.0
nl,170.0,Blues,bluesladder ,None,0.0,1.0
nl,170.0,Blues,Harmonie: varianten en dominant-septime ,René Torenstra,0.0,1.0
nl,170.0,Blues,Harmonie: varianten en dominant-septime ,René Torenstra,2.0,2.0
nl,185.0,Bezit (Nederlands recht),Top_Subtitle,None,0.0,1.0
nl,185.0,Bezit (Nederlands recht),Nederlands bezit ,Door de wol geverfd,0.0,1.0
nl,185.0,Bezit (Nederlands recht),kritiek op Jaap's analyse ,None,0.0,1.0
nl,194.0,Biologie,Top_Subtitle,None,0.0,1.0
nl,194.0,Biologie,Gerechten ,None,0.0,1.0
nl,194.0,Biologie,Weeszin ,Knarfstems,0.0,1.0
nl,194.0,Biologie,Ontbreken Neurologie ,Jcwf,0.0,1.0
nl,194.0,Biologie,categoriseren?,Michiel1972,0.0,1.0
nl,194.0,Biologie,categoriseren?,GerardM,1.0,2.0
nl,194.0,Biologie,categoriseren?,Knarfstems,0.0,3.0
nl,194.0,Biologie,Visuele organisatie van interne links,Taka,0.0,1.0
nl,194.0,Biologie,Visuele organisatie van interne links,Evanherk,1.0,2.0
nl,194.0,Biologie,Rechterkolom,Rex,0.0,1.0
nl,194.0,Biologie,Rechterkolom,Taka,1.0,2.0
nl,194.0,Biologie,Rechterkolom,Rex,0.0,3.0
nl,194.0,Biologie,Rechterkolom,Taka,1.0,4.0
nl,194.0,Biologie,Rechterkolom,PAvdK#top,0.0,5.0
nl,194.0,Biologie,Rechterkolom,R.schwab,1.0,6.0
nl,194.0,Biologie,Rechterkolom,Wikiklaas,2.0,7.0
nl,194.0,Biologie,Rechterkolom,PAvdK,0.0,8.0
nl,194.0,Biologie,Rechterkolom,Wikiklaas,1.0,9.0
nl,194.0,Biologie,Rechterkolom,PAvdK,3.0,10.0
nl,194.0,Biologie,Intelligent design ,Taka,1.0,1.0
nl,194.0,Biologie,Intelligent design ,Taka,2.0,2.0
nl,194.0,Biologie,Nieuwe opzet pagina ,Henriduvent,0.0,1.0
nl,194.0,Biologie,Nieuwe opzet pagina ,Wikiklaas,0.0,2.0
nl,194.0,Biologie,Nieuwe opzet pagina ,PAvdK,1.0,3.0
nl,194.0,Biologie,Nieuwe opzet pagina ,Wikiklaas,2.0,4.0
nl,194.0,Biologie,Nieuwe opzet pagina ,PAvdK,4.0,5.0
nl,194.0,Biologie,Nieuwe opzet pagina ,R.schwab,5.0,6.0
nl,194.0,Biologie,Nieuwe opzet pagina ,Wikiklaas,6.0,7.0
nl,194.0,Biologie,Niet gerelateerd ,None,0.0,1.0
nl,194.0,Biologie,Zijbalk biologie ,PAvdK,0.0,1.0
nl,198.0,Bakker (beroep),Top_Subtitle,None,0.0,1.0
nl,235.0,Bamboescheut,Top_Subtitle,None,0.0,1.0
nl,235.0,Bamboescheut,branko ,None,0.0,1.0
nl,250.0,Christendom,Top_Subtitle,Gmlk,1.0,1.0
nl,250.0,Christendom,Top_Subtitle,Roepers,2.0,2.0
nl,250.0,Christendom,Top_Subtitle,Lvg,2.0,3.0
nl,250.0,Christendom,[[:Wikipedia:Checklist|Checklist]] ,Josq,0.0,1.0
nl,250.0,Christendom,[[:Wikipedia:Checklist|Checklist]] ,Josq,0.0,2.0
nl,250.0,Christendom,Geboortedatum van Jezus,Känsterle,0.0,1.0
nl,250.0,Christendom,Geboortedatum van Jezus,Amarant,1.0,2.0
nl,250.0,Christendom,Geboortedatum van Jezus,Gmlk,1.0,3.0
nl,250.0,Christendom,Geboortedatum van Jezus,Wvr,0.0,4.0
nl,250.0,Christendom,Geboortedatum van Jezus,Skeptic,1.0,5.0
nl,250.0,Christendom,de essentie ,Skeptic,0.0,1.0
nl,250.0,Christendom,Vrijmetselarij ,Watcher,0.0,1.0
nl,250.0,Christendom,Vrijmetselarij ,Michiel1972,2.0,2.0
nl,250.0,Christendom,Vrijmetselarij ,Michiel1972,2.0,3.0
nl,250.0,Christendom,Vrijmetselarij ,Watcher,3.0,4.0
nl,250.0,Christendom,Associatief schrijven,Gidonb,0.0,1.0
nl,250.0,Christendom,Associatief schrijven,Gidonb,0.0,2.0
nl,250.0,Christendom,Associatief schrijven,Gidonb,0.0,3.0
nl,250.0,Christendom,Geloofsinhoud,217.166.240.221,0.0,1.0
nl,250.0,Christendom,Richtingen,217.166.240.221,0.0,1.0
nl,250.0,Christendom,Richtingen,Besednjak,1.0,2.0
nl,250.0,Christendom,christendom versus christenen ,Besednjak,0.0,1.0
nl,250.0,Christendom,christendom versus christenen ,Rex,1.0,2.0
nl,250.0,Christendom,christendom versus christenen ,Besednjak,2.0,3.0
nl,250.0,Christendom,christendom versus christenen ,Rex,0.0,4.0
nl,250.0,Christendom,christendom versus christenen ,Besednjak,1.0,5.0
nl,250.0,Christendom,Christendom versus andere religies,gidonb,0.0,1.0
nl,250.0,Christendom,Christendom vandaag ,None,0.0,1.0
nl,250.0,Christendom,Noord-Ierland verwijderd ,Sietske,0.0,1.0
