lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
no,2213.0,Binærtall,Top_Subtitle,Sverdrup,1.0,1.0
no,2213.0,Binærtall,Top_Subtitle,Mendalus,0.0,2.0
no,2233.0,Tysklands historie,Top_Subtitle,None,0.0,1.0
no,2233.0,Tysklands historie,Oversetting,Gustavf,0.0,1.0
no,2233.0,Tysklands historie,Oversetting,Wolfram,0.0,2.0
no,2233.0,Tysklands historie,Oversetting,Gustavf,1.0,3.0
no,2233.0,Tysklands historie,Oversetting,Wolfram,2.0,4.0
no,2233.0,Tysklands historie,Oversetting,Gustavf,3.0,5.0
no,2233.0,Tysklands historie,Oversetting,Gustavf,4.0,6.0
no,2233.0,Tysklands historie,Oversetting,Espenhh,5.0,7.0
no,2233.0,Tysklands historie,Fordypende artikler,Espenhh,0.0,1.0
no,2240.0,Erich Priebke,Top_Subtitle,Mendalus,0.0,1.0
no,2240.0,Erich Priebke,Top_Subtitle,Generalstaben,0.0,2.0
no,2240.0,Erich Priebke,Statute of limitations ,Espoo,0.0,1.0
no,2243.0,Helsingfors,Top_Subtitle,Gustavf,0.0,1.0
no,2243.0,Helsingfors,Top_Subtitle,Wolfram,0.0,2.0
no,2243.0,Helsingfors,Top_Subtitle,BsL,0.0,3.0
no,2243.0,Helsingfors,Top_Subtitle,Tuomas,0.0,4.0
no,2243.0,Helsingfors,Top_Subtitle,Ahhh25,0.0,5.0
no,2243.0,Helsingfors,Top_Subtitle,PaulVIF,1.0,6.0
no,2243.0,Helsingfors,Top_Subtitle,Ooo86,0.0,7.0
no,2294.0,Aust-Timor,Top_Subtitle,Wolfram,0.0,1.0
no,2294.0,Aust-Timor,Top_Subtitle,Wolfram,0.0,2.0
no,2294.0,Aust-Timor,Top_Subtitle,Gustavf,0.0,3.0
no,2372.0,Robert Jordan,Top_Subtitle,Mendalus,0.0,1.0
no,2376.0,C.S. Lewis,Top_Subtitle,Mendalus,0.0,1.0
no,2376.0,C.S. Lewis,Top_Subtitle,Pjacklam,0.0,2.0
no,2479.0,Valgordningen i Norge,Top_Subtitle,Mendalus,0.0,1.0
no,2479.0,Valgordningen i Norge,Top_Subtitle,Wolfram,0.0,2.0
no,2479.0,Valgordningen i Norge,Top_Subtitle,Mendalus,1.0,3.0
no,2479.0,Valgordningen i Norge,Top_Subtitle,Haakon,2.0,4.0
