lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
pl,11.0,Aminokwasy,Top_Subtitle,Polimerek,0.0,1.0
pl,11.0,Aminokwasy,Top_Subtitle,Taw,0.0,2.0
pl,11.0,Aminokwasy,Top_Subtitle,Taw,0.0,3.0
pl,11.0,Aminokwasy,Top_Subtitle,Ko\u0144,0.0,4.0
pl,11.0,Aminokwasy,Top_Subtitle,Avathar,0.0,5.0
pl,11.0,Aminokwasy,Top_Subtitle,Ko\u0144,0.0,6.0
pl,11.0,Aminokwasy,Top_Subtitle,R,1.0,7.0
pl,11.0,Aminokwasy,Top_Subtitle,Enzo,0.0,8.0
pl,11.0,Aminokwasy,Top_Subtitle,R,0.0,9.0
pl,11.0,Aminokwasy,Top_Subtitle,Micha\u0142 Sobkowski,1.0,10.0
pl,11.0,Aminokwasy,tabela ,Marek M,0.0,1.0
pl,11.0,Aminokwasy,tabela ,Marek M,0.0,2.0
pl,27.0,Anarchizm/Archiwum 1,Top_Subtitle,Diogenes2007,1.0,1.0
pl,27.0,Anarchizm/Archiwum 1,Anarchokapitalizm winien mie\u0107 swoje miejsce w definicji anarchizmu ,XaViER,1.0,1.0
pl,27.0,Anarchizm/Archiwum 1,Anarchokapitalizm winien mie\u0107 swoje miejsce w definicji anarchizmu ,XaViER,0.0,2.0
pl,27.0,Anarchizm/Archiwum 1,Anarchokapitalizm winien mie\u0107 swoje miejsce w definicji anarchizmu ,XaViER,2.0,3.0
pl,27.0,Anarchizm/Archiwum 1,Anarchokapitalizm winien mie\u0107 swoje miejsce w definicji anarchizmu ,83.20.163.40,0.0,4.0
pl,27.0,Anarchizm/Archiwum 1,o anarchokapitali\u017amie... ,XaViER,1.0,1.0
pl,27.0,Anarchizm/Archiwum 1,o anarchokapitali\u017amie... ,XaViER,2.0,2.0
pl,27.0,Anarchizm/Archiwum 1,o anarchokapitali\u017amie... ,Lukix,0.0,3.0
pl,27.0,Anarchizm/Archiwum 1,Brawo! ,Bumfank,0.0,1.0
pl,27.0,Anarchizm/Archiwum 1,Brawo! ,Severinus,0.0,2.0
pl,27.0,Anarchizm/Archiwum 1,Nie integracji [[anarchia|anarchii]] z [[anarchizm]]em,Krzych,0.0,1.0
pl,27.0,Anarchizm/Archiwum 1,wywali\u0142em...,Ja\u015b skoczowski,0.0,1.0
pl,27.0,Anarchizm/Archiwum 1,wywali\u0142em...,XaViER,1.0,2.0
pl,27.0,Anarchizm/Archiwum 1,wywali\u0142em...,Mathel,2.0,3.0
pl,27.0,Anarchizm/Archiwum 1,Czarny Kruk ,Markozz,0.0,1.0
pl,27.0,Anarchizm/Archiwum 1,Dzia\u0142y ,Diogenes2007,0.0,1.0
pl,27.0,Anarchizm/Archiwum 1,Symbol ,Lunar,0.0,1.0
pl,27.0,Anarchizm/Archiwum 1,blokada ,Lolek01,0.0,1.0
pl,27.0,Anarchizm/Archiwum 1,blokada ,Niemaszkonta,0.0,2.0
pl,27.0,Anarchizm/Archiwum 1,blokada ,Niemaszkonta,0.0,3.0
pl,27.0,Anarchizm/Archiwum 1,Definicja ,Lampak,0.0,1.0
pl,27.0,Anarchizm/Archiwum 1,Nurty ,None,0.0,1.0
pl,27.0,Anarchizm/Archiwum 1,T\u0142umaczenie ,Bluszczokrzew,0.0,1.0
pl,122.0,Alergia,Top_Subtitle,Kpjas,0.0,1.0
pl,122.0,Alergia,Top_Subtitle,Matusz,0.0,2.0
pl,122.0,Alergia,"fragment ""laicki"" przeniesiony do dyskusji ",None,0.0,1.0
pl,122.0,Alergia,Alergia na \u017cywno\u015b\u0107,Jojo,0.0,1.0
pl,122.0,Alergia,Propozycje,Radomil,1.0,1.0
pl,122.0,Alergia,Propozycje,Jojo,3.0,2.0
pl,122.0,Alergia,Propozycja ,Monopol,1.0,1.0
pl,140.0,Abolicjonizm,Top_Subtitle,Taw,0.0,1.0
pl,140.0,Abolicjonizm,Top_Subtitle,Pilot Pirx,0.0,2.0
pl,182.0,Ateizm/Archiwum 1,Top_Subtitle,None,0.0,1.0
pl,182.0,Ateizm/Archiwum 1,Ateista ,78.51.255.69,0.0,1.0
pl,182.0,Ateizm/Archiwum 1,Ateista ,Kenraiz,1.0,2.0
pl,182.0,Ateizm/Archiwum 1,Wyższość moralna ateistów ,78.48.124.225,0.0,1.0
pl,182.0,Ateizm/Archiwum 1,Wyższość moralna ateistów ,DvK,0.0,2.0
pl,182.0,Ateizm/Archiwum 1,Wyższość moralna ateistów ,131.220.251.7,2.0,3.0
pl,182.0,Ateizm/Archiwum 1,Wyższość moralna ateistów ,DvK,0.0,4.0
pl,182.0,Ateizm/Archiwum 1,Wyższość moralna ateistów ,78.53.29.253,1.0,5.0
pl,182.0,Ateizm/Archiwum 1,Wyższość moralna ateistów ,178.182.77.136,0.0,6.0
pl,182.0,Ateizm/Archiwum 1,"Ateizm, definicja ",195.93.60.67,0.0,1.0
pl,182.0,Ateizm/Archiwum 1,Argumenty za ateizmem ,78.52.75.66,0.0,1.0
pl,182.0,Ateizm/Archiwum 1,Argumenty za ateizmem ,DvK,0.0,2.0
pl,182.0,Ateizm/Archiwum 1,Argumenty za ateizmem ,131.220.251.7,0.0,3.0
pl,182.0,Ateizm/Archiwum 1,Argumenty za ateizmem ,DvK,0.0,4.0
pl,182.0,Ateizm/Archiwum 1,Argumenty za ateizmem ,78.53.29.253,1.0,5.0
pl,182.0,Ateizm/Archiwum 1,Ateizm a moralno\u015b\u0107 ,131.220.251.60,0.0,1.0
pl,182.0,Ateizm/Archiwum 1,Ateizm a moralno\u015b\u0107 ,DvK,0.0,2.0
pl,182.0,Ateizm/Archiwum 1,Ateizm a moralno\u015b\u0107 ,195.93.60.67,1.0,3.0
pl,182.0,Ateizm/Archiwum 1,Ateizm a moralno\u015b\u0107 ,195.93.60.67,1.0,4.0
pl,182.0,Ateizm/Archiwum 1,Istnienie ,131.220.251.60,0.0,1.0
pl,182.0,Ateizm/Archiwum 1,"Pierwsze zdanie artyku\u0142u, problemy z nim (tym zdaniem) ",195.93.60.67,0.0,1.0
pl,182.0,Ateizm/Archiwum 1,Liczba ateistów w różnych społeczeństwach ,195.93.60.67,0.0,1.0
pl,182.0,Ateizm/Archiwum 1,Liczba ateistów w różnych społeczeństwach ,Pacos,0.0,2.0
pl,182.0,Ateizm/Archiwum 1,Liczba ateistów w różnych społeczeństwach ,Ephenoir,0.0,3.0
pl,182.0,Ateizm/Archiwum 1,Liczba ateistów w różnych społeczeństwach ,Ineptus,0.0,4.0
pl,182.0,Ateizm/Archiwum 1,Liczba ateistów w różnych społeczeństwach ,Akir,0.0,5.0
