lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
sv,684.0,Germaner,Top_Subtitle,None,0.0,1.0
sv,684.0,Germaner,Arkiv ,None,0.0,1.0
sv,684.0,Germaner,"""Den indoeuropeiska naturreligionen"" ",Mrund,0.0,1.0
sv,684.0,Germaner,"""Den indoeuropeiska naturreligionen"" ",Hedning,1.0,2.0
sv,684.0,Germaner,"""Den indoeuropeiska naturreligionen"" ",Hedning,2.0,3.0
sv,684.0,Germaner,"""Den indoeuropeiska naturreligionen"" ",Mrund,3.0,4.0
sv,684.0,Germaner,"""Den indoeuropeiska naturreligionen"" ",Hedning,4.0,5.0
sv,684.0,Germaner,"""Den indoeuropeiska naturreligionen"" ",Koios,4.0,6.0
sv,684.0,Germaner,"""Den indoeuropeiska naturreligionen"" ",Hedning,5.0,7.0
sv,684.0,Germaner,"""Den indoeuropeiska naturreligionen"" ",Koios,6.0,8.0
sv,684.0,Germaner,"""Den indoeuropeiska naturreligionen"" ",flinga,7.0,9.0
sv,684.0,Germaner,Städning,Hedning,0.0,1.0
sv,684.0,Germaner,Städning,FBQ,1.0,2.0
sv,684.0,Germaner,Städning,FBQ,2.0,3.0
sv,684.0,Germaner,Värderande/utdaterad ,flinga,0.0,1.0
sv,684.0,Germaner,Värderande/utdaterad ,Mrund,0.0,2.0
sv,755.0,Hans Rosengardten,Top_Subtitle,None,0.0,1.0
sv,1571.0,Regalskeppet Vasa,Top_Subtitle,None,0.0,1.0
sv,1571.0,Regalskeppet Vasa,Arkiv,None,0.0,1.0
sv,1571.0,Regalskeppet Vasa,De avlidna ,None,0.0,1.0
sv,1571.0,Regalskeppet Vasa,Ny forskning om Vasas upptäckt ,Urbourbo,1.0,1.0
sv,1571.0,Regalskeppet Vasa,Vasas fartygstyp ,Peter Isotalo,0.0,1.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,0.0,1.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,1.0,2.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Peter Isotalo,2.0,3.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,3.0,4.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Peter Isotalo,4.0,5.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,5.0,6.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Adville,6.0,7.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,7.0,8.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Adville,8.0,9.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,9.0,10.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Peter Isotalo,10.0,11.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,11.0,12.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,FredrikT,7.0,13.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,8.0,14.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Romulus74,9.0,15.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Peter Isotalo,9.0,16.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Bothnia,10.0,17.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,11.0,18.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Peter Isotalo,12.0,19.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,13.0,20.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Andejons,8.0,21.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,dnm,1.0,22.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Edaen,0.0,23.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Peter Isotalo,1.0,24.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Ymer,2.0,25.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,3.0,26.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Ymer,4.0,27.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,5.0,28.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Peter Isotalo,6.0,29.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,7.0,30.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Peter Isotalo,8.0,31.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,9.0,32.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Peter Isotalo,0.0,33.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,1.0,34.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Esquilo,2.0,35.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Peter Isotalo,3.0,36.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Peter Isotalo,3.0,37.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,dnm,4.0,38.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Esquilo,5.0,39.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,dnm,6.0,40.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Ymer,7.0,41.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,8.0,42.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Esquilo,9.0,43.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Dorcas,10.0,44.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,dnm,11.0,45.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,LittleGun,12.0,46.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,13.0,47.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,LittleGun,14.0,48.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,dnm,14.0,49.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Yger,15.0,50.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,16.0,51.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Peter Isotalo,1.0,52.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Dorcas,1.0,53.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,LittleGun,2.0,54.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,3.0,55.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,dnm,4.0,56.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Tostarpadius,5.0,57.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Adville,6.0,58.0
sv,1571.0,Regalskeppet Vasa,Artikelnamn ,Romulus74,0.0,59.0
sv,1632.0,Tiergarten Schönbrunn,Top_Subtitle,Dan Koehl,0.0,1.0
sv,1825.0,Tysk schäferhund,Top_Subtitle,None,0.0,1.0
sv,1825.0,Tysk schäferhund,Sakfrågor ,Dan Koehl,0.0,1.0
sv,1825.0,Tysk schäferhund,Sakfrågor ,Hazzelq,0.0,2.0
sv,1825.0,Tysk schäferhund,Källor ,Hazzelq,0.0,1.0
sv,1825.0,Tysk schäferhund,Källor ,Ascilto,1.0,2.0
sv,1825.0,Tysk schäferhund,Källor ,Paracel63,2.0,3.0
sv,1825.0,Tysk schäferhund,Källor ,Ascilto,0.0,4.0
sv,2333.0,Kärnvapen,Top_Subtitle,None,0.0,1.0
sv,2333.0,Kärnvapen,Schwedenbombe,217.215.88.25,0.0,1.0
sv,2333.0,Kärnvapen,Kategori,Eribro,0.0,1.0
sv,2333.0,Kärnvapen,Terroristers och uländers tillgång till kärnvapen ,Marfuas,0.0,1.0
sv,2333.0,Kärnvapen,Kärnvapenspridning och begränsningsavtal,Crocuta,0.0,1.0
sv,2333.0,Kärnvapen,Avnominering,Natox,0.0,1.0
sv,2333.0,Kärnvapen,Avnominering,Natox,1.0,2.0
sv,2333.0,Kärnvapen,Atombomb ,InKKrid,0.0,1.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Ronny W,0.0,1.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Ace90,0.0,2.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Brallan,0.0,3.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Dubbelosix,0.0,4.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Natox,0.0,5.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Redux,0.0,6.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Lefna,0.0,7.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Pralin,0.0,8.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Ghostrider,0.0,9.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Marek Pola,0.0,10.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Islander,0.0,11.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Tomas e,0.0,12.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Ronny W,0.0,13.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Ghostrider,0.0,14.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Ace90,0.0,15.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Ghostrider,1.0,16.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Ace90,2.0,17.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Ghostrider,3.0,18.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Marek Pola,3.0,19.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Islander,0.0,20.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Kigsz,0.0,21.0
sv,2333.0,Kärnvapen,Antagen till läsvärd,Magnus242,0.0,22.0
sv,2333.0,Kärnvapen,Förlorar status som utvald,Gultejp,0.0,1.0
