lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
uk,4.0,\u0413\u043e\u043b\u043e\u0432\u043d\u0430 \u0441\u0442\u043e\u0440\u0456\u043d\u043a\u0430,Top_Subtitle,Galkovsky/\u0410\u0440\u0445\u0456\u0432/\u0413\u043e\u043b\u043e\u0432\u043d\u0430 \u0441\u0442\u0430\u0442\u0442\u044f (version2.0),0.0,1.0
uk,4.0,\u0413\u043e\u043b\u043e\u0432\u043d\u0430 \u0441\u0442\u043e\u0440\u0456\u043d\u043a\u0430,Top_Subtitle,Galkovsky/\u0410\u0440\u0445\u0456\u0432/rc1,0.0,2.0
uk,4.0,\u0413\u043e\u043b\u043e\u0432\u043d\u0430 \u0441\u0442\u043e\u0440\u0456\u043d\u043a\u0430,\u043a\u0440\u0438\u043c\u0441\u044c\u043a\u043e\u0442\u0430\u0442\u0430\u0440\u0441\u044c\u043a\u0430 \u0432\u0456\u043a\u0456 ,Albedo,0.0,1.0
uk,4.0,\u0413\u043e\u043b\u043e\u0432\u043d\u0430 \u0441\u0442\u043e\u0440\u0456\u043d\u043a\u0430,\u043a\u0440\u0438\u043c\u0441\u044c\u043a\u043e\u0442\u0430\u0442\u0430\u0440\u0441\u044c\u043a\u0430 \u0432\u0456\u043a\u0456 ,Base,1.0,2.0
uk,4.0,\u0413\u043e\u043b\u043e\u0432\u043d\u0430 \u0441\u0442\u043e\u0440\u0456\u043d\u043a\u0430,\u043a\u0440\u0438\u043c\u0441\u044c\u043a\u043e\u0442\u0430\u0442\u0430\u0440\u0441\u044c\u043a\u0430 \u0432\u0456\u043a\u0456 ,UeArtemis,1.0,3.0
uk,4.0,\u0413\u043e\u043b\u043e\u0432\u043d\u0430 \u0441\u0442\u043e\u0440\u0456\u043d\u043a\u0430,\u043a\u0440\u0438\u043c\u0441\u044c\u043a\u043e\u0442\u0430\u0442\u0430\u0440\u0441\u044c\u043a\u0430 \u0432\u0456\u043a\u0456 ,NickK,2.0,4.0
uk,4.0,\u0413\u043e\u043b\u043e\u0432\u043d\u0430 \u0441\u0442\u043e\u0440\u0456\u043d\u043a\u0430,\u043a\u0440\u0438\u043c\u0441\u044c\u043a\u043e\u0442\u0430\u0442\u0430\u0440\u0441\u044c\u043a\u0430 \u0432\u0456\u043a\u0456 ,UeArtemis,3.0,5.0
uk,4.0,\u0413\u043e\u043b\u043e\u0432\u043d\u0430 \u0441\u0442\u043e\u0440\u0456\u043d\u043a\u0430,[[\u0410\u043d\u0433\u043b\u0456\u0439\u0441\u044c\u043a\u0430 \u043c\u043e\u0432\u0430]] \u043f\u043e\u0442\u0440\u0456\u0431\u043d\u043e \u0431\u0456\u043b\u044c\u0448\u0435 \u043f\u043e\u0441\u043b\u0456\u0434\u043e\u0432\u043d\u0438\u043a\u0456\u0432 / \u043f\u0430\u0442\u0440\u0443\u043b\u0456\u0432 / \u0448\u0430\u0448\u043a\u0438 ,Horst-schlaemma,0.0,1.0
uk,4.0,\u0413\u043e\u043b\u043e\u0432\u043d\u0430 \u0441\u0442\u043e\u0440\u0456\u043d\u043a\u0430,[[\u0410\u043d\u0433\u043b\u0456\u0439\u0441\u044c\u043a\u0430 \u043c\u043e\u0432\u0430]] \u043f\u043e\u0442\u0440\u0456\u0431\u043d\u043e \u0431\u0456\u043b\u044c\u0448\u0435 \u043f\u043e\u0441\u043b\u0456\u0434\u043e\u0432\u043d\u0438\u043a\u0456\u0432 / \u043f\u0430\u0442\u0440\u0443\u043b\u0456\u0432 / \u0448\u0430\u0448\u043a\u0438 ,Horst-schlaemma,1.0,2.0
uk,4.0,\u0413\u043e\u043b\u043e\u0432\u043d\u0430 \u0441\u0442\u043e\u0440\u0456\u043d\u043a\u0430,\u0421\u0442\u0430\u0442\u0438\u0441\u0442\u0438\u043a\u0430 ,UeArtemis,0.0,1.0
