lang,page_id,page_title,subheading_title,user_text,indentation_depth,subheading_line
vi,14.0,Trang Chính,Top_Subtitle,None,0.0,1.0
vi,14.0,Trang Chính,Gi\u1edbi thi\u1ec7u,None,0.0,1.0
vi,14.0,Trang Chính,Ph\u1ea7n tin t\u1ee9c,Namnguyenvn,0.0,1.0
vi,14.0,Trang Chính,Ph\u1ea7n tin t\u1ee9c,Paris,1.0,2.0
vi,14.0,Trang Chính,Ph\u1ea7n tin t\u1ee9c,Namnguyenvn,0.0,3.0
vi,14.0,Trang Chính,b\u1ea3n sao,In ictu oculi,0.0,1.0
vi,14.0,Trang Chính,b\u1ea3n sao,DHN,1.0,2.0
vi,14.0,Trang Chính,Số bài trên trang chính ,Danalien9,0.0,1.0
vi,14.0,Trang Chính,Số bài trên trang chính ,Prenn,1.0,2.0
vi,14.0,Trang Chính,Số bài trên trang chính ,Paris,2.0,3.0
vi,14.0,Trang Chính,Trang chính mới ,Cheers!,0.0,1.0
vi,14.0,Trang Chính,Trang chính mới ,Alphama,1.0,2.0
vi,14.0,Trang Chính,Hình bị xóa ,CNBH,0.0,1.0
vi,14.0,Trang Chính,"Dư một liên kết ""Liên lạc"" ",\u521d\u97f3\u6e90,0.0,1.0
vi,14.0,Trang Chính,"Dư một liên kết ""Liên lạc"" ",\u521d\u97f3\u6e90,1.0,2.0
vi,14.0,Trang Chính,"Dư một liên kết ""Liên lạc"" ",Prenn,2.0,3.0
vi,14.0,Trang Chính,Guestbook ,My2ndAngelic,0.0,1.0
vi,14.0,Trang Chính,Guestbook ,Alphama,1.0,2.0
vi,14.0,Trang Chính,Ti\u1ebfng Nh\u1eadt,Memberofc1,0.0,1.0
vi,14.0,Trang Chính,Các lĩnh vực tổng quát thuộc Trang chính ,Taitamtinh,0.0,1.0
vi,14.0,Trang Chính,Các lĩnh vực tổng quát thuộc Trang chính ,Taitamtinh,1.0,2.0
vi,14.0,Trang Chính,Các lĩnh vực tổng quát thuộc Trang chính ,Alphama,0.0,3.0
vi,14.0,Trang Chính,Các lĩnh vực tổng quát thuộc Trang chính ,Taitamtinh,0.0,4.0
vi,14.0,Trang Chính,Các lĩnh vực tổng quát thuộc Trang chính ,Pinus,1.0,5.0
vi,14.0,Trang Chính,Các lĩnh vực tổng quát thuộc Trang chính ,Taitamtinh,1.0,6.0
vi,14.0,Trang Chính,Link trang Esperanto ,Vutuan202,0.0,1.0
vi,14.0,Trang Chính,Link trang Esperanto ,Pinus,1.0,2.0
vi,14.0,Trang Chính,Đề xuất đưa Phần tin tức lên trên,Vutuan202,0.0,1.0
vi,14.0,Trang Chính,Đề xuất đưa Phần tin tức lên trên,Cheers!,1.0,2.0
vi,14.0,Trang Chính,Trang Chính ,Cheers!,0.0,1.0
vi,14.0,Trang Chính,Trang Chính ,Mxn,1.0,2.0
vi,14.0,Trang Chính,Trang Chính ,Mxn,1.0,3.0
vi,14.0,Trang Chính,Trang chính,Nguoiachau,0.0,1.0
vi,14.0,Trang Chính,Trang chính,Tr\u1ea7n Nguy\u1ec5n Minh Huy,1.0,2.0
vi,14.0,Trang Chính,Trang chính,YufiYidoh,0.0,3.0
vi,14.0,Trang Chính,Trang chính,Nguoiachau,0.0,4.0
vi,14.0,Trang Chính,Trang chính có thẻ HTML tự đóng không hợp lệ?? ,kimkha,0.0,1.0
vi,14.0,Trang Chính,Trang chính có thẻ HTML tự đóng không hợp lệ?? ,kimkha,1.0,2.0
vi,14.0,Trang Chính,Trang chính có thẻ HTML tự đóng không hợp lệ?? ,Prenn,0.0,3.0
