,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges
41842,139932,ar,8,0.53,يهود مصر,https://ar.wikipedia.org/wiki/يهود مصر,0,0,نقاش:يهود مصر,1,1,1,0,0
41842,139932,ar,8,0.53,يهود مصر,https://ar.wikipedia.org/wiki/يهود مصر,0,0,الموضوع مهم جدا,1,1,1,0,0
41842,139932,ar,8,0.53,يهود مصر,https://ar.wikipedia.org/wiki/يهود مصر,0,0,خلط بين التاريخ الموثق والتاريخ الديني في المقال,1,1,1,0,0
76741,275320,ar,8,0.53,جورجيا,https://ar.wikipedia.org/wiki/جورجيا,0,0,تحديث,1,1,1,0,0
76741,275320,ar,8,0.53,جورجيا,https://ar.wikipedia.org/wiki/جورجيا,0,0,75+13+3.. 100؟,2,2,1,1,0
36300,121835,ar,8,0.53,النجم الرياضي الساحلي,https://ar.wikipedia.org/wiki/النجم الرياضي الساحلي,0,0,,0,0,0,0,0
120431,459266,ar,8,0.53,انعكاس (رياضيات),https://ar.wikipedia.org/wiki/انعكاس (رياضيات),0,0,,2,2,0,0,0
36174,121211,ar,8,0.53,بوبي تشارلتون,https://ar.wikipedia.org/wiki/بوبي تشارلتون,0,0,,0,0,0,0,0
84236,302196,ar,8,0.53,نهاية متتالية,https://ar.wikipedia.org/wiki/نهاية متتالية,0,0,إضافة صيغة أخرى لتعريف نهاية المتتالية مع الإحتفاظ بالصيغة المحررة سابقا - أسباب,1,1,0,0,0
17113,39170,ar,8,0.53,ثدييات,https://ar.wikipedia.org/wiki/ثدييات,0,0,,4,4,0,0,0
44765,149237,ar,8,0.53,قفز طويل,https://ar.wikipedia.org/wiki/قفز طويل,0,0,نقاش:قفز طويل,0,0,0,0,0
44765,149237,ar,8,0.53,قفز طويل,https://ar.wikipedia.org/wiki/قفز طويل,0,0,مراحل القفز الطويل,0,0,0,0,0
44049,147545,ar,8,0.53,إيغور غابيلوندو,https://ar.wikipedia.org/wiki/إيغور غابيلوندو,0,0,,0,0,0,0,0
