,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,Notes
6213,10604,ca,16,0.51,Informàtica,https://ca.wikipedia.org/wiki/Informàtica,1,0,Història,4,4,3,0,1,
6464,11243,ca,16,0.51,El cor de la ciutat,https://ca.wikipedia.org/wiki/El_cor_de_la_ciutat,1,0,Ordenar l'article,2,2,2,0,1,
6464,11243,ca,16,0.51,El cor de la ciutat,https://ca.wikipedia.org/wiki/El_cor_de_la_ciutat,1,0,Títol,3,3,3,0,1,
6464,11243,ca,16,0.51,El cor de la ciutat,https://ca.wikipedia.org/wiki/El_cor_de_la_ciutat,1,0,País,1,1,1,0,0,
6464,11243,ca,16,0.51,Mónica Naranjo,https://ca.wikipedia.org/wiki/Mónica Naranjo,0,0,Descendencia Andaluza,6,3,2,0,2,
6464,11243,ca,16,0.51,Mónica Naranjo,https://ca.wikipedia.org/wiki/Mónica Naranjo,0,0,Biografia,1,1,1,0,0,
7921,15138,ca,16,0.51,Sida,https://ca.wikipedia.org/wiki/Sida,1,0,,5,4,2,0,2,
7947,15206,ca,16,0.51,La Pobla de Segur,https://ca.wikipedia.org/wiki/La Pobla de Segur,1,0,,11,5,2,0,3,
8523,16844,ca,16,0.51,Bons Aires,https://ca.wikipedia.org/wiki/Bons Aires,0,0,,1,1,1,0,0,
8523,16844,ca,16,0.51,Bons Aires,https://ca.wikipedia.org/wiki/Bons Aires,0,0,"Bons Aires, barri de Palma",8,4,2,0,3,
12847,26223,ca,16,0.51,Groenlàndia,https://ca.wikipedia.org/wiki/Groenlàndia,1,0,Nom de L'illa,10,4,8,0,2,
18297,39438,ca,16,0.51,Escut de Catalunya,https://ca.wikipedia.org/wiki/Escut de Catalunya,1,1,Sobre Corones,2,2,2,0,1,
18297,39438,ca,16,0.51,Escut de Catalunya,https://ca.wikipedia.org/wiki/Escut de Catalunya,1,1,Corona reial oberta / tancada,3,2,2,0,1,
18297,39438,ca,16,0.51,Escut de Catalunya,https://ca.wikipedia.org/wiki/Escut de Catalunya,1,1,Neutralitat,4,4,3,0,1,
18297,39438,ca,16,0.51,Escut de Catalunya,https://ca.wikipedia.org/wiki/Escut de Catalunya,1,1,Neutralitat,1,1,1,0,0,
18515,39899,ca,16,0.51,Primera Croada,https://ca.wikipedia.org/wiki/Primera Croada,1,1,Títol?,1,1,1,0,0,
18515,39899,ca,16,0.51,Primera Croada,https://ca.wikipedia.org/wiki/Primera Croada,1,1,Participació del Comte de Cerdanya,1,1,1,0,0,
18515,39899,ca,16,0.51,Primera Croada,https://ca.wikipedia.org/wiki/Primera Croada,1,1,Berenguer Ramon II va anar a les croades ??,4,2,4,0,1,
18515,39899,ca,16,0.51,Primera Croada,https://ca.wikipedia.org/wiki/Primera Croada,1,1,Traducció finalitzada,1,1,1,0,0,
18756,40408,ca,16,0.51,Televisió de Catalunya,https://ca.wikipedia.org/wiki/Televisió de Catalunya,1,0,,5,,5,0,1,
19415,41954,ca,16,0.51,Equació (àlgebra elemental),https://ca.wikipedia.org/wiki/Equació (àlgebra elemental),1,0,Ampliar o fer remissions?,5,2,3,0,2,
19415,41954,ca,16,0.51,Equació (àlgebra elemental),https://ca.wikipedia.org/wiki/Equació (àlgebra elemental),1,0,Format LaTeX,7,3,5,0,1,Authors use template boxes to distinguish latex from text
19415,41954,ca,16,0.51,Equació (àlgebra elemental),https://ca.wikipedia.org/wiki/Equació (àlgebra elemental),1,0,Exemple incorrecte,3,2,3,0,1,
21673,46026,ca,16,0.51,Ball de diables,https://ca.wikipedia.org/wiki/Ball de diables,1,0,,1,1,1,0,0,
