,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,notes
185261,495512,cs,12,0.5,Rudolf Slánský,https://cs.wikipedia.org/wiki/Rudolf Slánský,0,0,Koncentrační tábor?,3,3,2,0,1,
185261,495512,cs,12,0.5,Rudolf Slánský,https://cs.wikipedia.org/wiki/Rudolf Slánský,0,0,Datum rezignace,2,2,2,0,1,
185261,495512,cs,12,0.5,Rudolf Slánský,https://cs.wikipedia.org/wiki/Rudolf Slánský,0,0,Druhá dcera,2,2,2,0,1,
116602,296033,cs,12,0.5,Modla (potok),https://cs.wikipedia.org/wiki/Modla (potok),0,0,,4,3,2,0,2,
4048,7426,cs,12,0.5,Skytové,https://cs.wikipedia.org/wiki/Skytové,0,0,,4,2,4,0,1,
4048,7426,cs,12,0.5,Skytové,https://cs.wikipedia.org/wiki/Skytové,0,0,Přesun,4,4,2,0,1,
286630,801474,cs,12,0.5,Porta Bohemica,https://cs.wikipedia.org/wiki/Porta Bohemica,0,0,Porta Bohemica?,5,4,3,0,1,
24779,49180,cs,12,0.5,Centrum pro výzkum veřejného mínění,https://cs.wikipedia.org/wiki/Centrum pro výzkum veřejného mínění,0,0,Převzatý text CVVM,5,3,3,0,2,There are two authors who signed without a visible link. I did not count either of them
404473,1167796,cs,12,0.5,Marija Jaremčuková,https://cs.wikipedia.org/wiki/Marija Jaremčuková,0,0,Přejmenování,9,6,9,0,1,
381501,1097933,cs,12,0.5,Alja Rachmanovová,https://cs.wikipedia.org/wiki/Alja Rachmanovová,0,0,Návrh přesunu,11,5,8,0,2,
29383,65364,cs,12,0.5,Plagioklas,https://cs.wikipedia.org/wiki/Plagioklas,0,0,,9,3,3,0,2,
298323,832876,cs,12,0.5,Ujgurové,https://cs.wikipedia.org/wiki/Ujgurové,0,0,,2,2,2,0,1,
298323,832876,cs,12,0.5,Ujgurové,https://cs.wikipedia.org/wiki/Ujgurové,0,0,Úpravy,1,1,1,0,0,
298323,832876,cs,12,0.5,Ujgurové,https://cs.wikipedia.org/wiki/Ujgurové,0,0,Revert na použitelnou verzi?,2,2,2,0,0,
298323,832876,cs,12,0.5,Ujgurové,https://cs.wikipedia.org/wiki/Ujgurové,0,0,Sporný obrázek,6,4,4,0,0,
132641,339569,cs,12,0.5,Evidence-based medicine,https://cs.wikipedia.org/wiki/Evidence-based medicine,0,0,,8,4,5,0,2,
132641,339569,cs,12,0.5,Evidence-based medicine,https://cs.wikipedia.org/wiki/Evidence-based medicine,0,0,K návrhu na přesun,2,2,1,0,0,
22902,43286,cs,12,0.5,Silnice pro motorová vozidla,https://cs.wikipedia.org/wiki/Silnice pro motorová vozidla,0,0,,2,1,2,0,1,
22902,43286,cs,12,0.5,Silnice pro motorová vozidla,https://cs.wikipedia.org/wiki/Silnice pro motorová vozidla,0,0,Duplicita?,1,1,1,0,0,
22902,43286,cs,12,0.5,Silnice pro motorová vozidla,https://cs.wikipedia.org/wiki/Silnice pro motorová vozidla,0,0,Odbornící,2,2,2,0,1,
22902,43286,cs,12,0.5,Silnice pro motorová vozidla,https://cs.wikipedia.org/wiki/Silnice pro motorová vozidla,0,0,Silnice pro motorová vozidla,1,1,1,0,0,
101314,254667,cs,12,0.5,Ivo Budil,https://cs.wikipedia.org/wiki/Ivo Budil,0,0,Porušení práv,1,1,1,0,0,
101314,254667,cs,12,0.5,Ivo Budil,https://cs.wikipedia.org/wiki/Ivo Budil,0,0,"Novinářský šlendrián, světem se šíří jako mor[editovat zdroj]
",7,2,7,0,1,
83091,205231,cs,12,0.5,System of a Down,https://cs.wikipedia.org/wiki/System of a Down,0,0,,1,1,1,0,0,
83091,205231,cs,12,0.5,System of a Down,https://cs.wikipedia.org/wiki/System of a Down,0,0,Žánr,5,5,3,0,2,
43709,107645,cs,12,0.5,Chorvatská kuna,https://cs.wikipedia.org/wiki/Chorvatská kuna,0,1,Sloučení s Lipa,1,1,1,0,0,
43709,107645,cs,12,0.5,Chorvatská kuna,https://cs.wikipedia.org/wiki/Chorvatská kuna,0,1,Sloučení,1,1,1,0,0,
43709,107645,cs,12,0.5,Chorvatská kuna,https://cs.wikipedia.org/wiki/Chorvatská kuna,0,1,Chorvatská kuna,2,1,2,0,1,
43709,107645,cs,12,0.5,Chorvatská kuna,https://cs.wikipedia.org/wiki/Chorvatská kuna,0,1,Přesun HRK,3,3,3,0,1,
43709,107645,cs,12,0.5,Chorvatská kuna,https://cs.wikipedia.org/wiki/Chorvatská kuna,0,1,"Přehled vzorů bankovek , platné a neplatné bankovky",1,1,1,0,0,
377424,1062511,cs,12,0.5,Druhá bitva o Doněcké letiště,https://cs.wikipedia.org/wiki/Druhá bitva o Doněcké letiště,0,0,Název,2,2,2,0,1,
377424,1062511,cs,12,0.5,Druhá bitva o Doněcké letiště,https://cs.wikipedia.org/wiki/Druhá bitva o Doněcké letiště,0,0,Mazání,3,2,3,0,1,
377424,1062511,cs,12,0.5,Druhá bitva o Doněcké letiště,https://cs.wikipedia.org/wiki/Druhá bitva o Doněcké letiště,0,0,Přesun na rozcestník,3,2,3,0,1,
87261,218573,cs,12,0.5,Isidino společenství,https://cs.wikipedia.org/wiki/Isidino společenství,,,,,,,,,
38030,91243,cs,12,0.5,Erinaceus,https://cs.wikipedia.org/wiki/Erinaceus,,,,,,,,,
170218,450493,cs,12,0.5,Avatar,https://cs.wikipedia.org/wiki/Avatar,,,,,,,,,
30537,68945,cs,12,0.5,Wicca,https://cs.wikipedia.org/wiki/Wicca,,,,,,,,,
40138,96990,cs,12,0.5,Bankovka,https://cs.wikipedia.org/wiki/Bankovka,,,,,,,,,
230466,629863,cs,12,0.5,Siamská kočka,https://cs.wikipedia.org/wiki/Siamská kočka,,,,,,,,,
