,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,exists?
27360,1496940,de,17,0.5,Volkspark Humboldthain,https://de.wikipedia.org/wiki/Volkspark Humboldthain,0,1,,,,,,,
1138911,972663,de,17,0.5,Gesundheitssystem in Österreich,https://de.wikipedia.org/wiki/Gesundheitssystem in Österreich,0,1,,,,,,,
1304651,1449714,de,17,0.5,Baryt,https://de.wikipedia.org/wiki/Baryt,0,0,Verwendung,1,1,1,0,0,
596197,3562042,de,17,0.5,Bewaffnete Neutralität,https://de.wikipedia.org/wiki/Bewaffnete Neutralität,,,,,,,,,
302884,2429631,de,17,0.5,Six Nations,https://de.wikipedia.org/wiki/Six Nations,,,,,,,,,
1433422,4493239,de,17,0.5,Kirche Cämmerswalde,https://de.wikipedia.org/wiki/Kirche Cämmerswalde,,,,,,,,,
962448,518998,de,17,0.5,Horrortrip,https://de.wikipedia.org/wiki/Horrortrip,,,,,,,,,
96139,1705840,de,17,0.5,Black Cat,https://de.wikipedia.org/wiki/Black Cat,,,,,,,,,
12493,18366,de,17,0.5,Star Trek: Treffen der Generationen,https://de.wikipedia.org/wiki/Star Trek: Treffen der Generationen,,,,,,,,,
1384417,4331897,de,17,0.5,Automobil-Weltmeisterschaft 1968,https://de.wikipedia.org/wiki/Automobil-Weltmeisterschaft 1968,,,,,,,,,
248962,2203303,de,17,0.5,Palais Erzherzog Albrecht,https://de.wikipedia.org/wiki/Palais Erzherzog Albrecht,,,,,,,,,
1671851,5491846,de,17,0.5,Liste der gefallenen Adeligen auf Habsburger Seite in der Schlacht bei Sempach/G,https://de.wikipedia.org/wiki/Liste der gefallenen Adeligen auf Habsburger Seite in der Schlacht bei Sempach/G,,,,,,,,,
1001127,618282,de,17,0.5,Bibliotheksverbund,https://de.wikipedia.org/wiki/Bibliotheksverbund,,,,,,,,,
1903472,6337159,de,17,0.5,Flagge des Südsudan,https://de.wikipedia.org/wiki/Flagge des Südsudan,,,,,,,,,
420797,2900420,de,17,0.5,Bundesarchiv (Deutschland),https://de.wikipedia.org/wiki/Bundesarchiv (Deutschland),,,,,,,,,
543262,3372066,de,17,0.5,Maggie (Fernsehserie),https://de.wikipedia.org/wiki/Maggie (Fernsehserie),,,,,,,,,
2516799,8504479,de,17,0.5,Tagebau Kayelekera,https://de.wikipedia.org/wiki/Tagebau Kayelekera,,,,,,,,,
2597171,8896808,de,17,0.5,Elmer McCurdy,https://de.wikipedia.org/wiki/Elmer McCurdy,,,,,,,,,
87904,1682629,de,17,0.5,Métro Lyon,https://de.wikipedia.org/wiki/Métro Lyon,,,,,,,,,
509568,3222002,de,17,0.5,Liste von Persönlichkeiten der Stadt Augsburg,https://de.wikipedia.org/wiki/Liste von Persönlichkeiten der Stadt Augsburg,,,,,,,,,
1979239,6617887,de,17,0.5,Bericht (Journalismus),https://de.wikipedia.org/wiki/Bericht (Journalismus),,,,,,,,,
120741,1778755,de,17,0.5,Jada Pinkett Smith,https://de.wikipedia.org/wiki/Jada Pinkett Smith,,,,,,,,,
951499,490592,de,17,0.5,Kap der Guten Hoffnung,https://de.wikipedia.org/wiki/Kap der Guten Hoffnung,,,,,,,,,
1122977,932473,de,17,0.5,Perlfluss,https://de.wikipedia.org/wiki/Perlfluss,,,,,,,,,
206002,2052463,de,17,0.5,26. Januar,https://de.wikipedia.org/wiki/26. Januar,,,,,,,,,
1709376,5615791,de,17,0.5,Divinity 2: Ego Draconis,https://de.wikipedia.org/wiki/Divinity 2: Ego Draconis,,,,,,,,,
994118,600822,de,17,0.5,Geschichte der Stadt Ingelheim,https://de.wikipedia.org/wiki/Geschichte der Stadt Ingelheim,,,,,,,,,
1055694,758808,de,17,0.5,Antonia aus Tirol,https://de.wikipedia.org/wiki/Antonia aus Tirol,,,,,,,,,
1305274,1451743,de,17,0.5,MediaMonkey,https://de.wikipedia.org/wiki/MediaMonkey,,,,,,,,,
1023993,679485,de,17,0.5,Berrenberg,https://de.wikipedia.org/wiki/Berrenberg,,,,,,,,,
986375,582269,de,17,0.5,Eurovision Song Contest 2005,https://de.wikipedia.org/wiki/Eurovision Song Contest 2005,,,,,,,,,
1809948,5997618,de,17,0.5,Nahverkehr in Ostwestfalen-Lippe,https://de.wikipedia.org/wiki/Nahverkehr in Ostwestfalen-Lippe,,,,,,,,,
2120909,7092679,de,17,0.5,Liste der Seen in Bayern,https://de.wikipedia.org/wiki/Liste der Seen in Bayern,,,,,,,,,
1299479,1432946,de,17,0.5,Franz Lehár,https://de.wikipedia.org/wiki/Franz Lehár,,,,,,,,,
1273017,1353741,de,17,0.5,Brünieren,https://de.wikipedia.org/wiki/Brünieren,,,,,,,,,
1595577,5161692,de,17,0.5,Liste der größten Brandkatastrophen,https://de.wikipedia.org/wiki/Liste der größten Brandkatastrophen,,,,,,,,,
51717,1570922,de,17,0.5,Free Sheet Music,https://de.wikipedia.org/wiki/Free Sheet Music,,,,,,,,,
2481261,8384946,de,17,0.5,Kayef,https://de.wikipedia.org/wiki/Kayef,,,,,,,,,
1351153,4193999,de,17,0.5,KLM-Flug 867,https://de.wikipedia.org/wiki/KLM-Flug 867,,,,,,,,,
284138,2344308,de,17,0.5,Französisches Paradox,https://de.wikipedia.org/wiki/Französisches Paradox,,,,,,,,,
1869137,6217394,de,17,0.5,Mutterbach (Blies),https://de.wikipedia.org/wiki/Mutterbach (Blies),,,,,,,,,
1708651,5613087,de,17,0.5,Thalkleinich,https://de.wikipedia.org/wiki/Thalkleinich,,,,,,,,,
268879,2281994,de,17,0.5,Eren Hot,https://de.wikipedia.org/wiki/Eren Hot,,,,,,,,,
1596486,5166870,de,17,0.5,Liste der Spiekerooger Fährschiffe,https://de.wikipedia.org/wiki/Liste der Spiekerooger Fährschiffe,,,,,,,,,
1425427,4469341,de,17,0.5,Geschichte der Stadt Bad Hersfeld,https://de.wikipedia.org/wiki/Geschichte der Stadt Bad Hersfeld,,,,,,,,,
2559542,8770792,de,17,0.5,Finstermünzpass,https://de.wikipedia.org/wiki/Finstermünzpass,,,,,,,,,
739529,52242,de,17,0.5,Museum,https://de.wikipedia.org/wiki/Museum,,,,,,,,,
1431254,4485488,de,17,0.5,Katzenmusik,https://de.wikipedia.org/wiki/Katzenmusik,,,,,,,,,
2099026,7024680,de,17,0.5,Hanns Laengenfelder,https://de.wikipedia.org/wiki/Hanns Laengenfelder,,,,,,,,,
303789,2433457,de,17,0.5,Peter-Alexander von der Marwitz,https://de.wikipedia.org/wiki/Peter-Alexander von der Marwitz,,,,,,,,,
289713,2370074,de,17,0.5,György Konrád,https://de.wikipedia.org/wiki/György Konrád,,,,,,,,,
861186,291883,de,17,0.5,Pulsnitz (Fluss),https://de.wikipedia.org/wiki/Pulsnitz (Fluss),,,,,,,,,
44924,1550230,de,17,0.5,Elektrische Leitung,https://de.wikipedia.org/wiki/Elektrische Leitung,,,,,,,,,
1025175,682365,de,17,0.5,Simeon I. (Bulgarien),https://de.wikipedia.org/wiki/Simeon I. (Bulgarien),,,,,,,,,
89790,1687921,de,17,0.5,Mark ’Oh,https://de.wikipedia.org/wiki/Mark ’Oh,,,,,,,,,
750276,72153,de,17,0.5,Mormonismus,https://de.wikipedia.org/wiki/Mormonismus,,,,,,,,,
86155,1677589,de,17,0.5,Karl Artelt,https://de.wikipedia.org/wiki/Karl Artelt,,,,,,,,,
304160,2434748,de,17,0.5,Kruckenkreuz,https://de.wikipedia.org/wiki/Kruckenkreuz,,,,,,,,,
1371882,4276034,de,17,0.5,Skisprung-Weltcup 2009/10,https://de.wikipedia.org/wiki/Skisprung-Weltcup 2009/10,,,,,,,,,
1792557,5926195,de,17,0.5,Wehmeyer GmbH & Co. KG,https://de.wikipedia.org/wiki/Wehmeyer GmbH & Co. KG,,,,,,,,,
2243821,7544638,de,17,0.5,Register der Traditionellen Lebensmittel,https://de.wikipedia.org/wiki/Register der Traditionellen Lebensmittel,,,,,,,,,
1063572,782736,de,17,0.5,Schützenfest Hannover,https://de.wikipedia.org/wiki/Schützenfest Hannover,,,,,,,,,
268652,2281177,de,17,0.5,Sigmundstor (Salzburg),https://de.wikipedia.org/wiki/Sigmundstor (Salzburg),,,,,,,,,
330241,2548226,de,17,0.5,Juri Fjodorowitsch Orlow,https://de.wikipedia.org/wiki/Juri Fjodorowitsch Orlow,,,,,,,,,
161692,1915666,de,17,0.5,Final Fantasy VIII,https://de.wikipedia.org/wiki/Final Fantasy VIII,,,,,,,,,
53842,1577011,de,17,0.5,Bärenschinken,https://de.wikipedia.org/wiki/Bärenschinken,,,,,,,,,
866229,302213,de,17,0.5,Ende der Geschichte,https://de.wikipedia.org/wiki/Ende der Geschichte,,,,,,,,,
292289,2381114,de,17,0.5,"Jean-François Lefèbvre, chevalier de la Barre","https://de.wikipedia.org/wiki/Jean-François Lefèbvre, chevalier de la Barre",,,,,,,,,
213543,2075635,de,17,0.5,Aqua (OS X),https://de.wikipedia.org/wiki/Aqua (OS X),,,,,,,,,
1281524,1379985,de,17,0.5,Berührungsspannung,https://de.wikipedia.org/wiki/Berührungsspannung,,,,,,,,,
223180,2108797,de,17,0.5,Gurbanguly Berdimuhamedow,https://de.wikipedia.org/wiki/Gurbanguly Berdimuhamedow,,,,,,,,,
974477,551120,de,17,0.5,Pelikan AG,https://de.wikipedia.org/wiki/Pelikan AG,,,,,,,,,
186023,1999691,de,17,0.5,Öllampe,https://de.wikipedia.org/wiki/Öllampe,,,,,,,,,
340560,2596536,de,17,0.5,Beyond the Void,https://de.wikipedia.org/wiki/Beyond the Void,,,,,,,,,
1942890,6478542,de,17,0.5,Kfz-Kennzeichen (Mazedonien),https://de.wikipedia.org/wiki/Kfz-Kennzeichen (Mazedonien),,,,,,,,,
592548,3548913,de,17,0.5,Metonzyklus,https://de.wikipedia.org/wiki/Metonzyklus,,,,,,,,,
940618,464850,de,17,0.5,Markku Alén,https://de.wikipedia.org/wiki/Markku Alén,,,,,,,,,
966766,530166,de,17,0.5,Popular Front,https://de.wikipedia.org/wiki/Popular Front,,,,,,,,,
1843611,6127625,de,17,0.5,Franko-Persische Allianz,https://de.wikipedia.org/wiki/Franko-Persische Allianz,,,,,,,,,
885051,341588,de,17,0.5,Karbidlampe,https://de.wikipedia.org/wiki/Karbidlampe,,,,,,,,,
265125,2268536,de,17,0.5,Siegfried Hausner,https://de.wikipedia.org/wiki/Siegfried Hausner,,,,,,,,,
613133,3622839,de,17,0.5,Hans Meiser (Bischof)/Archiv/1,https://de.wikipedia.org/wiki/Hans Meiser (Bischof)/Archiv/1,,,,,,,,,
1162164,1031425,de,17,0.5,Aspekte,https://de.wikipedia.org/wiki/Aspekte,,,,,,,,,
932589,447217,de,17,0.5,Takasago,https://de.wikipedia.org/wiki/Takasago,,,,,,,,,
1008963,640210,de,17,0.5,Dettmar Cramer (Fußballtrainer),https://de.wikipedia.org/wiki/Dettmar Cramer (Fußballtrainer),,,,,,,,,
1460481,4587615,de,17,0.5,Liste der Monde von Planeten und Zwergplaneten,https://de.wikipedia.org/wiki/Liste der Monde von Planeten und Zwergplaneten,,,,,,,,,
1025564,683385,de,17,0.5,Richard Löwenthal,https://de.wikipedia.org/wiki/Richard Löwenthal,,,,,,,,,
1395171,4368010,de,17,0.5,Chronologie der deutschen Kinder- und Jugendliteratur,https://de.wikipedia.org/wiki/Chronologie der deutschen Kinder- und Jugendliteratur,,,,,,,,,
