,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,notes
230691,29410,es,10,0.51,Pecíolo,https://es.wikipedia.org/wiki/Pecíolo,0,0,,2,2,1,0,0,
230691,29410,es,10,0.51,Pecíolo,https://es.wikipedia.org/wiki/Pecíolo,0,0,hipocotilo/hipocótilo,3,2,3,0,1,
230691,29410,es,10,0.51,Pecíolo,https://es.wikipedia.org/wiki/Pecíolo,0,0,Pedúnculo foliar,2,1,2,0,1,
1338872,876019,es,10,0.51,Michael Stipe,https://es.wikipedia.org/wiki/Michael Stipe,0,0,,0,0,0,0,0,Paragraph of information with no author
1500944,1454147,es,10,0.51,Espliceosoma,https://es.wikipedia.org/wiki/Espliceosoma,0,0,Espliceosoma 2014,1,1,1,0,0,
1500944,1454147,es,10,0.51,Espliceosoma,https://es.wikipedia.org/wiki/Espliceosoma,0,0,Terminología,1,1,1,0,0,
1500944,1454147,es,10,0.51,Espliceosoma,https://es.wikipedia.org/wiki/Espliceosoma,0,0,De traducciones y adaptaciones,1,1,1,0,0,
1678846,2106091,es,10,0.51,Capitolio del Estado de Míchigan,https://es.wikipedia.org/wiki/Capitolio del Estado de Míchigan,0,0,,1,1,1,0,0,Non-standard templating
1678846,2106091,es,10,0.51,Capitolio del Estado de Míchigan,https://es.wikipedia.org/wiki/Capitolio del Estado de Míchigan,0,0,Enlaces rotos,1,1,1,0,0,
95200,465285,es,10,0.51,Estación Central de Santiago,https://es.wikipedia.org/wiki/Estación Central de Santiago,0,0,Estación Alameda,5,2,2,0,2,
95200,465285,es,10,0.51,Estación Central de Santiago,https://es.wikipedia.org/wiki/Estación Central de Santiago,0,0,Fecha de inauguración,1,1,1,0,0,
7129,209723,es,10,0.51,Maiar,https://es.wikipedia.org/wiki/Maiar,0,1,Mensaje sin título,0,0,0,0,0,No signature
7129,209723,es,10,0.51,Maiar,https://es.wikipedia.org/wiki/Maiar,0,1,Istari y Maiar,2,2,2,0,1,
7129,209723,es,10,0.51,Maiar,https://es.wikipedia.org/wiki/Maiar,0,1,Olórin,0,0,0,0,0,No signature
7129,209723,es,10,0.51,Maiar,https://es.wikipedia.org/wiki/Maiar,0,1,"Es «maia» y «maiar», en minúscula",1,1,1,0,0,
1488700,1410351,es,10,0.51,Ramón Pernas,https://es.wikipedia.org/wiki/Ramón Pernas,0,0,,3,2,1,0,0,Templated with horizontal lines (quasi-titled?)
1544452,1621287,es,10,0.51,Aeropuerto Internacional de Fort Lauderdale-Hollywood,https://es.wikipedia.org/wiki/Aeropuerto Internacional de Fort Lauderdale-Hollywood,0,0,,0,0,0,0,0,
1728720,2233722,es,10,0.51,Sukhoi Su-35,https://es.wikipedia.org/wiki/Sukhoi Su-35,0,0,,2,2,1,0,0,
1728720,2233722,es,10,0.51,Sukhoi Su-35,https://es.wikipedia.org/wiki/Sukhoi Su-35,0,0,Transcripción fonética,1,1,1,0,0,
1728720,2233722,es,10,0.51,Sukhoi Su-35,https://es.wikipedia.org/wiki/Sukhoi Su-35,0,0,Enlaces rotos,1,1,1,0,0,
1450730,1278305,es,10,0.51,Mushing,https://es.wikipedia.org/wiki/Mushing,0,0,,4,4,2,0,1,
1450730,1278305,es,10,0.51,Mushing,https://es.wikipedia.org/wiki/Mushing,0,0,Calendario competición,1,1,1,0,0,
12771,226704,es,10,0.51,Esquerra Unida del País Valencià,https://es.wikipedia.org/wiki/Esquerra Unida del País Valencià,0,0,Untitled,1,1,1,0,0,
12771,226704,es,10,0.51,Esquerra Unida del País Valencià,https://es.wikipedia.org/wiki/Esquerra Unida del País Valencià,0,0,Diputados provinciales,1,1,1,0,0,
12771,226704,es,10,0.51,Esquerra Unida del País Valencià,https://es.wikipedia.org/wiki/Esquerra Unida del País Valencià,0,0,Enlaces rotos,1,1,1,0,0,
883571,5044006,es,10,0.51,Accidente del Costa Concordia,https://es.wikipedia.org/wiki/Accidente del Costa Concordia,0,1,Traducción,2,2,1,0,0,
883571,5044006,es,10,0.51,Accidente del Costa Concordia,https://es.wikipedia.org/wiki/Accidente del Costa Concordia,0,1,Añadir más datos y artículos,1,1,1,0,0,
883571,5044006,es,10,0.51,Accidente del Costa Concordia,https://es.wikipedia.org/wiki/Accidente del Costa Concordia,0,1,Inicio de ruta,1,1,1,0,0,
883571,5044006,es,10,0.51,Accidente del Costa Concordia,https://es.wikipedia.org/wiki/Accidente del Costa Concordia,0,1,Enlaces rotos,1,1,1,0,0,
883571,5044006,es,10,0.51,Accidente del Costa Concordia,https://es.wikipedia.org/wiki/Accidente del Costa Concordia,0,1,Enlaces rotos,1,1,1,0,0,
857263,4936918,es,10,0.51,Guido Girardi,https://es.wikipedia.org/wiki/Guido Girardi,0,0,Residencia,1,1,1,0,0,
857263,4936918,es,10,0.51,Guido Girardi,https://es.wikipedia.org/wiki/Guido Girardi,0,0,Guerra de ediciones,3,2,2,0,1,
857263,4936918,es,10,0.51,Guido Girardi,https://es.wikipedia.org/wiki/Guido Girardi,0,0,Enlaces rotos,1,1,1,0,0,"It seems that ""Elvisor (discusión)"" is a popular bot in the es community (not explicity a bot)"
244407,62337,es,10,0.51,Raquitismo,https://es.wikipedia.org/wiki/Raquitismo,0,0,,1,1,1,0,0,
1355349,938468,es,10,0.51,Jonia,https://es.wikipedia.org/wiki/Jonia,0,0,,3,3,2,0,1,
1355349,938468,es,10,0.51,Jonia,https://es.wikipedia.org/wiki/Jonia,0,0,Enlaces rotos,1,1,1,0,0,
244731,63199,es,10,0.51,Katsushika Hokusai,https://es.wikipedia.org/wiki/Katsushika Hokusai,0,0,,3,3,2,0,1,
244731,63199,es,10,0.51,Katsushika Hokusai,https://es.wikipedia.org/wiki/Katsushika Hokusai,0,0,how did he die,1,1,1,0,0,
244731,63199,es,10,0.51,Katsushika Hokusai,https://es.wikipedia.org/wiki/Katsushika Hokusai,0,0,how did he die,1,1,1,0,0,Repeated Title (troll?)
244731,63199,es,10,0.51,Katsushika Hokusai,https://es.wikipedia.org/wiki/Katsushika Hokusai,0,0,Fecha de nacimiento,0,0,0,0,0,No author
24966,259410,es,10,0.51,Gomaespuma (programa de radio),https://es.wikipedia.org/wiki/Gomaespuma (programa de radio),0,1,Historia de Gomaespuma,0,0,0,0,0,Wierd unofficial email as citation?
24966,259410,es,10,0.51,Gomaespuma (programa de radio),https://es.wikipedia.org/wiki/Gomaespuma (programa de radio),0,1,Permiso,0,0,0,0,0,
24966,259410,es,10,0.51,Gomaespuma (programa de radio),https://es.wikipedia.org/wiki/Gomaespuma (programa de radio),0,1,tengo permiso,0,0,0,0,0,
