,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,notes
494920,1749140,fa,6,0.55,پلورزی,https://fa.wikipedia.org/wiki/پلورزی,0,0,Untitled,2,2,1,0,0,
494920,1749140,fa,6,0.55,پلورزی,https://fa.wikipedia.org/wiki/پلورزی,0,0,ذات الجنب,1,1,1,0,0,
248716,806775,fa,6,0.55,سلیمان بن گبیرول,https://fa.wikipedia.org/wiki/سلیمان بن گبیرول,0,0,,0,0,0,0,0,"Nothing, but exists"
40456,161457,fa,6,0.55,کمربند عصمت,https://fa.wikipedia.org/wiki/کمربند عصمت,0,0,,1,1,1,0,0,
159359,513026,fa,6,0.55,بهجت‌آباد (تهران),https://fa.wikipedia.org/wiki/بهجت‌آباد (تهران),0,0,پیوند مرده,1,1,1,0,0,
159359,513026,fa,6,0.55,بهجت‌آباد (تهران),https://fa.wikipedia.org/wiki/بهجت‌آباد (تهران),0,0,پیوند مرده 2,1,1,1,0,0,
159359,513026,fa,6,0.55,بهجت‌آباد (تهران),https://fa.wikipedia.org/wiki/بهجت‌آباد (تهران),0,0,پیوند مرده 3,1,1,1,0,0,
125997,407052,fa,6,0.55,هیفا وهبی,https://fa.wikipedia.org/wiki/هیفا وهبی,0,0,,1,1,1,0,0,
633297,2513550,fa,6,0.55,فناوری اطلاعات و ارتباطات برای توسعه,https://fa.wikipedia.org/wiki/فناوری اطلاعات و ارتباطات برای توسعه,0,0,مخالفت با حذف,2,2,1,0,0,All pages have a basic introduction table
170865,543183,fa,6,0.55,همه‌پرسی استقلال سودان جنوبی,https://fa.wikipedia.org/wiki/همه‌پرسی استقلال سودان جنوبی,0,0,تایج همه پرسی,1,1,1,0,0,
170865,543183,fa,6,0.55,همه‌پرسی استقلال سودان جنوبی,https://fa.wikipedia.org/wiki/همه‌پرسی استقلال سودان جنوبی,0,0,نتايج اوليه شمارش آرا؛ تجزيه جنوب سودان,0,0,0,0,0,no signature
276996,841971,fa,6,0.55,باشگاه فوتبال پاختاکور,https://fa.wikipedia.org/wiki/باشگاه فوتبال پاختاکور,0,0,,1,1,1,0,0,
43667,171542,fa,6,0.55,ای‌سی‌تی (آزمون),https://fa.wikipedia.org/wiki/ای‌سی‌تی (آزمون),0,0,,2,2,1,0,0,
43667,171542,fa,6,0.55,ای‌سی‌تی (آزمون),https://fa.wikipedia.org/wiki/ای‌سی‌تی (آزمون),0,0,پیوند مرده,1,1,1,0,0,
254341,814002,fa,6,0.55,بالکان,https://fa.wikipedia.org/wiki/بالکان,0,0,,0,0,0,0,0,Nothing
161537,517667,fa,6,0.55,تعریف,https://fa.wikipedia.org/wiki/تعریف,0,0,,1,1,1,0,0,
252500,810969,fa,6,0.55,فرانکلین دلانو روزولت,https://fa.wikipedia.org/wiki/فرانکلین دلانو روزولت,0,0,,1,1,1,0,0,
252500,810969,fa,6,0.55,فرانکلین دلانو روزولت,https://fa.wikipedia.org/wiki/فرانکلین دلانو روزولت,0,0,تلفظ و املای صحیح,8,2,5,0,1,
244918,797598,fa,6,0.55,تالس,https://fa.wikipedia.org/wiki/تالس,0,0,طالس[ویرایش | افزودن بخش],1,1,1,0,0,
276195,841127,fa,6,0.55,ساعدی قذافی,https://fa.wikipedia.org/wiki/ساعدی قذافی,0,0,,0,0,0,0,0,Nothing
740786,2949551,fa,6,0.55,پنجاه طیف خاکستری,https://fa.wikipedia.org/wiki/پنجاه طیف خاکستری,0,0,Grey,1,1,1,0,0,
740786,2949551,fa,6,0.55,پنجاه طیف خاکستری,https://fa.wikipedia.org/wiki/پنجاه طیف خاکستری,0,0,نام,1,1,1,0,0,
377668,1267396,fa,6,0.55,حسن صافی اصفهانی,https://fa.wikipedia.org/wiki/حسن صافی اصفهانی,0,0,بهبود مقاله,3,2,2,0,1,
238609,754141,fa,6,0.55,کتیبه برم دلک,https://fa.wikipedia.org/wiki/کتیبه برم دلک,0,0,,0,0,0,0,0,Nothing
501921,1779971,fa,6,0.55,نت,https://fa.wikipedia.org/wiki/نت,0,0,,2,2,2,0,1,
133311,432105,fa,6,0.55,تاج‌گذاری,https://fa.wikipedia.org/wiki/تاج‌گذاری,0,0,,0,0,0,0,0,Nothing
806153,3386596,fa,6,0.55,نسیم دانش,https://fa.wikipedia.org/wiki/نسیم دانش,0,0,بحث:نسیم دانش,0,0,0,0,0,Nothing
806153,3386596,fa,6,0.55,نسیم دانش,https://fa.wikipedia.org/wiki/نسیم دانش,0,0,مخالفت با حذف,1,1,1,0,0,
58761,222845,fa,6,0.55,پی (فیلم),https://fa.wikipedia.org/wiki/پی (فیلم),0,0,ریاضیات و π,4,4,4,0,1,
133447,432556,fa,6,0.55,شوان پرور,https://fa.wikipedia.org/wiki/شوان پرور,0,0,,1,1,1,0,0,Nothing
271129,834862,fa,6,0.55,رشته‌کوه اورال,https://fa.wikipedia.org/wiki/رشته‌کوه اورال,0,0,,0,0,0,0,0,
248670,806729,fa,6,0.55,جبران خلیل جبران,https://fa.wikipedia.org/wiki/جبران خلیل جبران,0,0,,0,0,0,0,0,Nothing
255492,815531,fa,6,0.55,کلیسای ارتدکس شرقی,https://fa.wikipedia.org/wiki/کلیسای ارتدکس شرقی,0,0,,0,0,0,0,0,Nothing
247001,801809,fa,6,0.55,فیفا (سری بازی‌های ویدئویی),https://fa.wikipedia.org/wiki/فیفا (سری بازی‌های ویدئویی),0,0,,0,0,0,0,0,Nothing
284160,881271,fa,6,0.55,عبدالعلی ادیب برومند,https://fa.wikipedia.org/wiki/عبدالعلی ادیب برومند,0,0,,0,0,0,0,0,Nothing
284160,881271,fa,6,0.55,عبدالعلی ادیب برومند,https://fa.wikipedia.org/wiki/عبدالعلی ادیب برومند,0,0,پرچم,2,2,2,0,1,
81914,295411,fa,6,0.55,ذخیره‌سازی داده رایانه,https://fa.wikipedia.org/wiki/ذخیره‌سازی داده رایانه,0,0,,0,0,0,0,0,Nothing
662882,2616722,fa,6,0.55,فمینیسم/ترجمه,https://fa.wikipedia.org/wiki/فمینیسم/ترجمه,,,,,,,,,translating...
699112,2817533,fa,6,0.55,سکسیونر,https://fa.wikipedia.org/wiki/سکسیونر,0,0,زبان متن,1,1,1,0,0,
257173,817642,fa,6,0.55,موسیر,https://fa.wikipedia.org/wiki/موسیر,0,0,,0,0,0,0,0,
257173,817642,fa,6,0.55,موسیر,https://fa.wikipedia.org/wiki/موسیر,0,0,چند ایراد,1,1,1,0,0,
257173,817642,fa,6,0.55,موسیر,https://fa.wikipedia.org/wiki/موسیر,0,0,پیوند اشتباه,1,1,1,0,0,
124561,399165,fa,6,0.55,تاج‌الملوک آیرملو,https://fa.wikipedia.org/wiki/تاج‌الملوک آیرملو,0,0,,3,2,1,0,0,
246118,798958,fa,6,0.55,ثابت بولتسمان,https://fa.wikipedia.org/wiki/ثابت بولتسمان,0,0,,0,0,0,0,0,Nothing
276604,841556,fa,6,0.55,علی‌رضا واحدی نیکبخت,https://fa.wikipedia.org/wiki/علی‌رضا واحدی نیکبخت,0,0,,0,0,0,0,0,
667302,2628920,fa,6,0.55,میترا جشنی,https://fa.wikipedia.org/wiki/میترا جشنی,0,1,مخالفت با حذف,1,1,1,0,0,
667302,2628920,fa,6,0.55,میترا جشنی,https://fa.wikipedia.org/wiki/میترا جشنی,0,1,مخالفت با حذف,1,1,1,0,0,
667302,2628920,fa,6,0.55,میترا جشنی,https://fa.wikipedia.org/wiki/میترا جشنی,0,1,مخالفت با حذف,1,1,1,0,0,
667302,2628920,fa,6,0.55,میترا جشنی,https://fa.wikipedia.org/wiki/میترا جشنی,0,1,مخالفت با حذف,1,1,1,0,0,
93767,330601,fa,6,0.55,دنب,https://fa.wikipedia.org/wiki/دنب,,,,,,,,,
371532,1228311,fa,6,0.55,عرفان (خواننده),https://fa.wikipedia.org/wiki/عرفان (خواننده),,,,,,,,,
721403,2898636,fa,6,0.55,Hosts,https://fa.wikipedia.org/wiki/Hosts,,,,,,,,,
144719,472295,fa,6,0.55,ایستگاه متروی قیطریه,https://fa.wikipedia.org/wiki/ایستگاه متروی قیطریه,,,,,,,,,
67320,249926,fa,6,0.55,مسابقات ووشو پکن ۲۰۰۸,https://fa.wikipedia.org/wiki/مسابقات ووشو پکن ۲۰۰۸,,,,,,,,,
