,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,notes
197611,514165,fi,13,0.5,Mökkitalkkari,https://fi.wikipedia.org/wiki/Mökkitalkkari,0,0,,10,4,5,0,1,confusing layout
43914,88123,fi,13,0.5,AA-liike,https://fi.wikipedia.org/wiki/AA-liike,0,0,,6,4,1,0,0,really confusing
125756,304973,fi,13,0.5,Terijoen hallitus,https://fi.wikipedia.org/wiki/Terijoen hallitus,0,1,Yhdistäminen,1,1,1,0,0,good formatting
125756,304973,fi,13,0.5,Terijoen hallitus,https://fi.wikipedia.org/wiki/Terijoen hallitus,0,1,Nimitys,2,2,2,0,1,
125756,304973,fi,13,0.5,Terijoen hallitus,https://fi.wikipedia.org/wiki/Terijoen hallitus,0,1,Osio ”Perustaminen”,1,1,1,0,0,
125756,304973,fi,13,0.5,Terijoen hallitus,https://fi.wikipedia.org/wiki/Terijoen hallitus,0,1,"""Suomen kansanhallitus""",4,3,4,0,1,
125756,304973,fi,13,0.5,Terijoen hallitus,https://fi.wikipedia.org/wiki/Terijoen hallitus,0,1,Yhdistettävä,1,1,1,0,0,
68555,148244,fi,13,0.5,Prypjat,https://fi.wikipedia.org/wiki/Prypjat,0,0,,10,6,4,0,2,
423556,1202576,fi,13,0.5,Media Forest,https://fi.wikipedia.org/wiki/Media Forest,0,0,Merkittävyys,10,5,7,0,1,
100352,232641,fi,13,0.5,Charlesin laki,https://fi.wikipedia.org/wiki/Charlesin laki,0,0,,5,5,2,0,1,
100352,232641,fi,13,0.5,Charlesin laki,https://fi.wikipedia.org/wiki/Charlesin laki,0,0,Huomio,3,2,3,0,1,
356358,1006719,fi,13,0.5,Jarmo Selin,https://fi.wikipedia.org/wiki/Jarmo Selin,0,0,Merkittävyys,3,3,2,0,1,
356358,1006719,fi,13,0.5,Jarmo Selin,https://fi.wikipedia.org/wiki/Jarmo Selin,0,0,Lähteet ja Merkittävyys,3,3,2,0,1,
24329,46451,fi,13,0.5,Villilapsi,https://fi.wikipedia.org/wiki/Villilapsi,0,0,,3,3,2,0,1,
274476,755630,fi,13,0.5,SpaceInvasion,https://fi.wikipedia.org/wiki/SpaceInvasion,0,0,,7,4,2,0,3,
274476,755630,fi,13,0.5,SpaceInvasion,https://fi.wikipedia.org/wiki/SpaceInvasion,0,0,Linkkejä,1,1,1,0,0,bot?
109873,259965,fi,13,0.5,Kopernikium,https://fi.wikipedia.org/wiki/Kopernikium,0,1,Valmistamisesta,3,2,3,0,1,
109873,259965,fi,13,0.5,Kopernikium,https://fi.wikipedia.org/wiki/Kopernikium,0,1,Artikkelin nimestä,2,2,2,0,1,
109873,259965,fi,13,0.5,Kopernikium,https://fi.wikipedia.org/wiki/Kopernikium,0,1,Reaktioyhtälö,1,1,1,0,0,
109873,259965,fi,13,0.5,Kopernikium,https://fi.wikipedia.org/wiki/Kopernikium,0,1,Valmistusmäärä?,2,2,2,0,1,
274851,756885,fi,13,0.5,Arvo Alfred Lieto,https://fi.wikipedia.org/wiki/Arvo Alfred Lieto,0,0,,10,8,5,0,2,
253233,687923,fi,13,0.5,Positiivinen syrjintä,https://fi.wikipedia.org/wiki/Positiivinen syrjintä,0,0,,2,2,2,0,1,
253233,687923,fi,13,0.5,Positiivinen syrjintä,https://fi.wikipedia.org/wiki/Positiivinen syrjintä,0,0,Positiivinen erityiskohtelu ja Perussuomalaisten rasisminvastainen julistus,2,2,2,0,1,
253233,687923,fi,13,0.5,Positiivinen syrjintä,https://fi.wikipedia.org/wiki/Positiivinen syrjintä,0,0,Artikkelin nimi,9,8,5,0,1,
253233,687923,fi,13,0.5,Positiivinen syrjintä,https://fi.wikipedia.org/wiki/Positiivinen syrjintä,0,0,Helsingin kaupungin henkilöstöpolitiikka,1,1,1,0,0,
92717,211564,fi,13,0.5,Little Bighornin taistelu,https://fi.wikipedia.org/wiki/Little Bighornin taistelu,0,1,Little Bighornin taistelu,8,5,4,0,1,
92717,211564,fi,13,0.5,Little Bighornin taistelu,https://fi.wikipedia.org/wiki/Little Bighornin taistelu,0,1,Intiaanit yhdysvaltalaisia?,2,2,2,0,1,
92717,211564,fi,13,0.5,Little Bighornin taistelu,https://fi.wikipedia.org/wiki/Little Bighornin taistelu,0,1,Lupaava artikkeli -ehdotus,8,7,3,0,1,
382340,1074891,fi,13,0.5,"São Tomén, Príncipen ja Annobónin kosteat alankometsät","https://fi.wikipedia.org/wiki/São Tomén, Príncipen ja Annobónin kosteat alankometsät",0,0,Lupaava artikkeli -ehdotus,12,10,4,0,2,
431923,1228556,fi,13,0.5,Oskar Mandelin,https://fi.wikipedia.org/wiki/Oskar Mandelin,0,0,,13,7,6,0,2,
403053,1137751,fi,13,0.5,Yrjö Räisänen,https://fi.wikipedia.org/wiki/Yrjö Räisänen,0,0,Lupaava artikkeli -ehdotus,11,6,6,0,2,
49608,101185,fi,13,0.5,Myonitutka,https://fi.wikipedia.org/wiki/Myonitutka,,,,,,,,,Doesnt exist
264505,721907,fi,13,0.5,Hong Lei,https://fi.wikipedia.org/wiki/Hong Lei,0,0,,1,1,1,0,0,
264505,721907,fi,13,0.5,Hong Lei,https://fi.wikipedia.org/wiki/Hong Lei,0,0,Lähdeviitteet,0,0,0,0,0,Links
27640,53526,fi,13,0.5,Impedanssi,https://fi.wikipedia.org/wiki/Impedanssi,,,,,,,,,
435376,1261106,fi,13,0.5,Sipilän hallitus,https://fi.wikipedia.org/wiki/Sipilän hallitus,,,,,,,,,
424196,1204677,fi,13,0.5,H'otynin joukkomurha,https://fi.wikipedia.org/wiki/H'otynin joukkomurha,,,,,,,,,
248965,674204,fi,13,0.5,Evon alue,https://fi.wikipedia.org/wiki/Evon alue,,,,,,,,,
84364,191184,fi,13,0.5,Flamingot,https://fi.wikipedia.org/wiki/Flamingot,,,,,,,,,
323517,915502,fi,13,0.5,Indoeurooppalainen kantakieli,https://fi.wikipedia.org/wiki/Indoeurooppalainen kantakieli,,,,,,,,,
311459,876743,fi,13,0.5,Freedom (wlan),https://fi.wikipedia.org/wiki/Freedom (wlan),,,,,,,,,
376842,1059270,fi,13,0.5,Jacques Rancière,https://fi.wikipedia.org/wiki/Jacques Rancière,,,,,,,,,
444721,1293768,fi,13,0.5,Elokuvavuosi 2015,https://fi.wikipedia.org/wiki/Elokuvavuosi 2015,,,,,,,,,
207975,544399,fi,13,0.5,Tuhokapitalismin nousu,https://fi.wikipedia.org/wiki/Tuhokapitalismin nousu,,,,,,,,,
339301,961815,fi,13,0.5,Sviritsa,https://fi.wikipedia.org/wiki/Sviritsa,,,,,,,,,
204942,536071,fi,13,0.5,Anahí Giovanna Puente Portillo,https://fi.wikipedia.org/wiki/Anahí Giovanna Puente Portillo,,,,,,,,,
325500,922721,fi,13,0.5,Bates Battaglia,https://fi.wikipedia.org/wiki/Bates Battaglia,,,,,,,,,
221604,584109,fi,13,0.5,Reilu luokka,https://fi.wikipedia.org/wiki/Reilu luokka,,,,,,,,,
30140,58563,fi,13,0.5,Apple,https://fi.wikipedia.org/wiki/Apple,,,,,,,,,
192285,497398,fi,13,0.5,Räihäranta,https://fi.wikipedia.org/wiki/Räihäranta,,,,,,,,,
10127,17307,fi,13,0.5,Molotov–Ribbentrop-sopimus,https://fi.wikipedia.org/wiki/Molotov–Ribbentrop-sopimus,,,,,,,,,
25361,48578,fi,13,0.5,M16 (kivääri),https://fi.wikipedia.org/wiki/M16 (kivääri),,,,,,,,,
343150,972804,fi,13,0.5,Madeiran maantiede,https://fi.wikipedia.org/wiki/Madeiran maantiede,,,,,,,,,
363155,1024125,fi,13,0.5,Panssarilaiva Potemkin (elokuva),https://fi.wikipedia.org/wiki/Panssarilaiva Potemkin (elokuva),,,,,,,,,
372967,1049104,fi,13,0.5,Silja Hickley,https://fi.wikipedia.org/wiki/Silja Hickley,,,,,,,,,
293899,822987,fi,13,0.5,Pekka Markkanen,https://fi.wikipedia.org/wiki/Pekka Markkanen,,,,,,,,,
344303,976070,fi,13,0.5,Britney Spears,https://fi.wikipedia.org/wiki/Britney Spears,,,,,,,,,
298284,836227,fi,13,0.5,Fruits Basket,https://fi.wikipedia.org/wiki/Fruits Basket,,,,,,,,,
425036,1207206,fi,13,0.5,If-talo,https://fi.wikipedia.org/wiki/If-talo,,,,,,,,,
323336,914796,fi,13,0.5,M/S Amorella,https://fi.wikipedia.org/wiki/M/S Amorella,,,,,,,,,
338459,959481,fi,13,0.5,Lokomotiv Jaroslavl,https://fi.wikipedia.org/wiki/Lokomotiv Jaroslavl,,,,,,,,,
249156,674977,fi,13,0.5,Suomen Pietarin-instituutti,https://fi.wikipedia.org/wiki/Suomen Pietarin-instituutti,,,,,,,,,
323429,915166,fi,13,0.5,Nokia 5230,https://fi.wikipedia.org/wiki/Nokia 5230,,,,,,,,,
21573,40622,fi,13,0.5,Luettelo ismeistä,https://fi.wikipedia.org/wiki/Luettelo ismeistä,,,,,,,,,
263752,719373,fi,13,0.5,Big Brother 2009,https://fi.wikipedia.org/wiki/Big Brother 2009,,,,,,,,,
43759,87788,fi,13,0.5,Finnmarkin lääni,https://fi.wikipedia.org/wiki/Finnmarkin lääni,,,,,,,,,
237801,635346,fi,13,0.5,Valerianus,https://fi.wikipedia.org/wiki/Valerianus,,,,,,,,,
58007,121784,fi,13,0.5,Megadeth,https://fi.wikipedia.org/wiki/Megadeth,,,,,,,,,
352733,998300,fi,13,0.5,Estelle (Ruotsin prinsessa),https://fi.wikipedia.org/wiki/Estelle (Ruotsin prinsessa),,,,,,,,,
221174,582668,fi,13,0.5,Paul Påhlson,https://fi.wikipedia.org/wiki/Paul Påhlson,,,,,,,,,
298511,836894,fi,13,0.5,Alan Wake,https://fi.wikipedia.org/wiki/Alan Wake,,,,,,,,,
297623,834352,fi,13,0.5,Pekka Brofeldt,https://fi.wikipedia.org/wiki/Pekka Brofeldt,,,,,,,,,
404735,1142602,fi,13,0.5,Velosipedi,https://fi.wikipedia.org/wiki/Velosipedi,,,,,,,,,
106810,250812,fi,13,0.5,Kulosaari,https://fi.wikipedia.org/wiki/Kulosaari,,,,,,,,,
135182,332142,fi,13,0.5,Ranskan kansalliskirjasto,https://fi.wikipedia.org/wiki/Ranskan kansalliskirjasto,,,,,,,,,
82769,186634,fi,13,0.5,Kirje kotoa,https://fi.wikipedia.org/wiki/Kirje kotoa,,,,,,,,,
352339,997281,fi,13,0.5,Peppi Kajanne,https://fi.wikipedia.org/wiki/Peppi Kajanne,,,,,,,,,
316357,892603,fi,13,0.5,Didier Drogba,https://fi.wikipedia.org/wiki/Didier Drogba,,,,,,,,,
411508,1166170,fi,13,0.5,"Liitto, Edistys ja Demokratia","https://fi.wikipedia.org/wiki/Liitto, Edistys ja Demokratia",,,,,,,,,
425487,1208404,fi,13,0.5,Myrkytys,https://fi.wikipedia.org/wiki/Myrkytys,,,,,,,,,
63799,136394,fi,13,0.5,Tradenomi,https://fi.wikipedia.org/wiki/Tradenomi,,,,,,,,,
319605,902724,fi,13,0.5,Sähköpyörätuolisalibandy,https://fi.wikipedia.org/wiki/Sähköpyörätuolisalibandy,,,,,,,,,
167460,422484,fi,13,0.5,Ydinjätehuolto,https://fi.wikipedia.org/wiki/Ydinjätehuolto,,,,,,,,,
304655,854001,fi,13,0.5,Colby Granger,https://fi.wikipedia.org/wiki/Colby Granger,,,,,,,,,
56740,118126,fi,13,0.5,Mäkkylän kummitus,https://fi.wikipedia.org/wiki/Mäkkylän kummitus,,,,,,,,,
423722,1203125,fi,13,0.5,Maskun Kalustetalo,https://fi.wikipedia.org/wiki/Maskun Kalustetalo,,,,,,,,,
160201,401305,fi,13,0.5,Avioliitto,https://fi.wikipedia.org/wiki/Avioliitto,,,,,,,,,
60760,128855,fi,13,0.5,"Ominaisarvo, ominaisvektori ja ominaisavaruus","https://fi.wikipedia.org/wiki/Ominaisarvo, ominaisvektori ja ominaisavaruus",,,,,,,,,
344211,975848,fi,13,0.5,Merkintä,https://fi.wikipedia.org/wiki/Merkintä,,,,,,,,,
439024,1272988,fi,13,0.5,Musta Saara (laulu),https://fi.wikipedia.org/wiki/Musta Saara (laulu),,,,,,,,,
10660,18283,fi,13,0.5,Ilmakehä,https://fi.wikipedia.org/wiki/Ilmakehä,,,,,,,,,
161751,405976,fi,13,0.5,Vanhat kaupungit Suomessa,https://fi.wikipedia.org/wiki/Vanhat kaupungit Suomessa,,,,,,,,,
297744,834673,fi,13,0.5,Symposion (Akseli Gallen-Kallela),https://fi.wikipedia.org/wiki/Symposion (Akseli Gallen-Kallela),,,,,,,,,
434730,1259198,fi,13,0.5,World Heavy Events Association,https://fi.wikipedia.org/wiki/World Heavy Events Association,,,,,,,,,
400483,1128342,fi,13,0.5,Turun Teknologiakiinteistöt Oy,https://fi.wikipedia.org/wiki/Turun Teknologiakiinteistöt Oy,,,,,,,,,
138143,340802,fi,13,0.5,Luettelo CMX:n kappaleista,https://fi.wikipedia.org/wiki/Luettelo CMX:n kappaleista,,,,,,,,,
207107,542076,fi,13,0.5,Kalevala (korvetti),https://fi.wikipedia.org/wiki/Kalevala (korvetti),,,,,,,,,
91220,207732,fi,13,0.5,Antroposofinen lääketiede,https://fi.wikipedia.org/wiki/Antroposofinen lääketiede,,,,,,,,,
48017,97600,fi,13,0.5,Sid Vicious,https://fi.wikipedia.org/wiki/Sid Vicious,,,,,,,,,
124937,302589,fi,13,0.5,Wattitunti,https://fi.wikipedia.org/wiki/Wattitunti,,,,,,,,,
83592,189059,fi,13,0.5,Talvipäivänseisaus,https://fi.wikipedia.org/wiki/Talvipäivänseisaus,,,,,,,,,
287846,801458,fi,13,0.5,Pohjois-Amerikan lumipyry 2009,https://fi.wikipedia.org/wiki/Pohjois-Amerikan lumipyry 2009,,,,,,,,,
403460,1139022,fi,13,0.5,Välirauha (täsmennyssivu),https://fi.wikipedia.org/wiki/Välirauha (täsmennyssivu),,,,,,,,,
296099,829953,fi,13,0.5,Lagrangen piste,https://fi.wikipedia.org/wiki/Lagrangen piste,,,,,,,,,
339428,962143,fi,13,0.5,Sähköverkko,https://fi.wikipedia.org/wiki/Sähköverkko,,,,,,,,,
378414,1064030,fi,13,0.5,Luettelo Suomen sisävesien suurimmista saarista,https://fi.wikipedia.org/wiki/Luettelo Suomen sisävesien suurimmista saarista,,,,,,,,,
130509,318200,fi,13,0.5,Kirurgia,https://fi.wikipedia.org/wiki/Kirurgia,,,,,,,,,
294802,825972,fi,13,0.5,Wounded Kneen valloitus,https://fi.wikipedia.org/wiki/Wounded Kneen valloitus,,,,,,,,,
288921,805083,fi,13,0.5,Need for Speed: Undercover,https://fi.wikipedia.org/wiki/Need for Speed: Undercover,,,,,,,,,
371597,1045395,fi,13,0.5,Oulun Satamaranta,https://fi.wikipedia.org/wiki/Oulun Satamaranta,,,,,,,,,
411085,1164962,fi,13,0.5,Jämijärven lento-onnettomuus,https://fi.wikipedia.org/wiki/Jämijärven lento-onnettomuus,,,,,,,,,
10867,18628,fi,13,0.5,Kullervo Manner,https://fi.wikipedia.org/wiki/Kullervo Manner,,,,,,,,,
347691,985338,fi,13,0.5,Suomen presidentinvaali,https://fi.wikipedia.org/wiki/Suomen presidentinvaali,,,,,,,,,
431245,1226358,fi,13,0.5,Haapajoki (Jokioinen),https://fi.wikipedia.org/wiki/Haapajoki (Jokioinen),,,,,,,,,
323193,914232,fi,13,0.5,Kiinan–Tiibetin sota,https://fi.wikipedia.org/wiki/Kiinan–Tiibetin sota,,,,,,,,,
431031,1225642,fi,13,0.5,Matti Parpala,https://fi.wikipedia.org/wiki/Matti Parpala,,,,,,,,,
2696,3791,fi,60,0.9,Uskonto,https://fi.wikipedia.org/wiki/Uskonto,,,,,,,,,
3335,5274,fi,60,0.9,Havaiji,https://fi.wikipedia.org/wiki/Havaiji,,,,,,,,,
29401,57012,fi,60,0.9,1980-luku,https://fi.wikipedia.org/wiki/1980-luku,,,,,,,,,
68140,147034,fi,60,0.9,Steinerkoulu,https://fi.wikipedia.org/wiki/Steinerkoulu,,,,,,,,,
73130,159079,fi,60,0.9,Jalkapallon maailmanmestaruuskilpailut 2006,https://fi.wikipedia.org/wiki/Jalkapallon maailmanmestaruuskilpailut 2006,,,,,,,,,
81319,182466,fi,60,0.9,Marokko,https://fi.wikipedia.org/wiki/Marokko,,,,,,,,,
87774,199605,fi,60,0.9,Libanonin sota 2006,https://fi.wikipedia.org/wiki/Libanonin sota 2006,,,,,,,,,
113780,271977,fi,60,0.9,Nuijasota,https://fi.wikipedia.org/wiki/Nuijasota,,,,,,,,,
136402,335611,fi,60,0.9,Luettelo tunnetuista ateisteista,https://fi.wikipedia.org/wiki/Luettelo tunnetuista ateisteista,,,,,,,,,
151012,376105,fi,60,0.9,Tapani Koivuniemen uskonlahko,https://fi.wikipedia.org/wiki/Tapani Koivuniemen uskonlahko,,,,,,,,,
297220,833223,fi,60,0.9,Kielo,https://fi.wikipedia.org/wiki/Kielo,,,,,,,,,
408785,1157785,fi,60,0.9,Sara Maria Forsberg,https://fi.wikipedia.org/wiki/Sara Maria Forsberg,,,,,,,,,
427839,1214930,fi,60,0.9,Tinkerbell,https://fi.wikipedia.org/wiki/Tinkerbell,,,,,,,,,
4850,7586,fi,61,0.9,Taloustiede,https://fi.wikipedia.org/wiki/Taloustiede,,,,,,,,,
7064,11699,fi,61,0.9,Joulupukki,https://fi.wikipedia.org/wiki/Joulupukki,,,,,,,,,
38057,74890,fi,61,0.9,Julius Caesar,https://fi.wikipedia.org/wiki/Julius Caesar,,,,,,,,,
38668,76365,fi,61,0.9,Tampere,https://fi.wikipedia.org/wiki/Tampere,,,,,,,,,
108582,255806,fi,61,0.9,Kajaanin linna,https://fi.wikipedia.org/wiki/Kajaanin linna,,,,,,,,,
114686,274569,fi,61,0.9,Luettelo viimeisistä ensimmäisen maailmansodan veteraaneista maittain,https://fi.wikipedia.org/wiki/Luettelo viimeisistä ensimmäisen maailmansodan veteraaneista maittain,,,,,,,,,
124556,301750,fi,61,0.9,Pietari Brahe,https://fi.wikipedia.org/wiki/Pietari Brahe,,,,,,,,,
135102,331886,fi,61,0.9,Mia Permanto,https://fi.wikipedia.org/wiki/Mia Permanto,,,,,,,,,
252315,685055,fi,61,0.9,Jyrki Härkönen,https://fi.wikipedia.org/wiki/Jyrki Härkönen,,,,,,,,,
266550,728473,fi,61,0.9,Talviolympialaiset 2010,https://fi.wikipedia.org/wiki/Talviolympialaiset 2010,,,,,,,,,
268949,736360,fi,61,0.9,Helsingin villikanit,https://fi.wikipedia.org/wiki/Helsingin villikanit,,,,,,,,,
353717,1000790,fi,61,0.9,Mari Leppänen,https://fi.wikipedia.org/wiki/Mari Leppänen,,,,,,,,,
383095,1077019,fi,61,0.9,Feokromosytooma,https://fi.wikipedia.org/wiki/Feokromosytooma,,,,,,,,,
428988,1218674,fi,61,0.9,Georg Leinberg,https://fi.wikipedia.org/wiki/Georg Leinberg,,,,,,,,,
12169,21281,fi,62,0.9,Viikingit,https://fi.wikipedia.org/wiki/Viikingit,,,,,,,,,
26339,50680,fi,62,0.9,Rauni-Leena Luukanen-Kilde,https://fi.wikipedia.org/wiki/Rauni-Leena Luukanen-Kilde,,,,,,,,,
29650,57546,fi,62,0.9,Luettelo ydinlaitostapahtumista (Ines 1–3),https://fi.wikipedia.org/wiki/Luettelo ydinlaitostapahtumista (Ines 1–3),,,,,,,,,
46194,93351,fi,62,0.9,Karjalan tasavalta,https://fi.wikipedia.org/wiki/Karjalan tasavalta,,,,,,,,,
48674,99132,fi,62,0.9,Pentti Linkola,https://fi.wikipedia.org/wiki/Pentti Linkola,,,,,,,,,
61728,131347,fi,62,0.9,Markku Uusipaavalniemi,https://fi.wikipedia.org/wiki/Markku Uusipaavalniemi,,,,,,,,,
69984,151715,fi,62,0.9,Susi,https://fi.wikipedia.org/wiki/Susi,,,,,,,,,
77552,170876,fi,62,0.9,Kiovan Venäjä,https://fi.wikipedia.org/wiki/Kiovan Venäjä,,,,,,,,,
88200,200608,fi,62,0.9,Kiss,https://fi.wikipedia.org/wiki/Kiss,,,,,,,,,
111505,265113,fi,62,0.9,Salo,https://fi.wikipedia.org/wiki/Salo,,,,,,,,,
305565,856885,fi,62,0.9,Eduskuntavaalit 2015,https://fi.wikipedia.org/wiki/Eduskuntavaalit 2015,,,,,,,,,
402374,1135531,fi,62,0.9,Terapsidit,https://fi.wikipedia.org/wiki/Terapsidit,,,,,,,,,
11951,20888,fi,63,0.9,Abortti,https://fi.wikipedia.org/wiki/Abortti,,,,,,,,,
27741,53703,fi,63,0.9,Aku Ankka,https://fi.wikipedia.org/wiki/Aku Ankka,,,,,,,,,
30044,58357,fi,63,0.9,Rudolf Steiner,https://fi.wikipedia.org/wiki/Rudolf Steiner,,,,,,,,,
