,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges
600352,3691301,fr,15,0.5,Zineb Ennajem/Suppression,https://fr.wikipedia.org/wiki/Zineb Ennajem/Suppression,,,,,,,,
2237938,1533547,fr,15,0.5,Louis-Gabriel Suchet,https://fr.wikipedia.org/wiki/Louis-Gabriel Suchet,,,,,,,,
543073,1217272,fr,15,0.5,Clara Haskil,https://fr.wikipedia.org/wiki/Clara Haskil,,,,,,,,
2792094,2938201,fr,15,0.5,Ralph Vary Chamberlin/Suppression,https://fr.wikipedia.org/wiki/Ralph Vary Chamberlin/Suppression,,,,,,,,
2338753,1734657,fr,15,0.5,Saint-Astier (Dordogne),https://fr.wikipedia.org/wiki/Saint-Astier (Dordogne),,,,,,,,
2180175,1406139,fr,15,0.5,Costică Ștefănescu,https://fr.wikipedia.org/wiki/Costică Ștefănescu,,,,,,,,
2549181,2086005,fr,15,0.5,Racing Club Asociación Civil,https://fr.wikipedia.org/wiki/Racing Club Asociación Civil,,,,,,,,
2763083,2853239,fr,15,0.5,Philippe Brillault/Suppression,https://fr.wikipedia.org/wiki/Philippe Brillault/Suppression,,,,,,,,
2547952,2083177,fr,15,0.5,Nílton Santos,https://fr.wikipedia.org/wiki/Nílton Santos,,,,,,,,
604057,3705626,fr,15,0.5,Dojo de la Montagne Sainte-Geneviève/Suppression,https://fr.wikipedia.org/wiki/Dojo de la Montagne Sainte-Geneviève/Suppression,,,,,,,,
1917095,7913804,fr,15,0.5,Jeux olympiques d'hiver de 2010/Bon article,https://fr.wikipedia.org/wiki/Jeux olympiques d'hiver de 2010/Bon article,,,,,,,,
2537051,2067264,fr,15,0.5,Équipe de Jamaïque de football,https://fr.wikipedia.org/wiki/Équipe de Jamaïque de football,,,,,,,,
367949,797551,fr,15,0.5,Pier de Lune/Suppression,https://fr.wikipedia.org/wiki/Pier de Lune/Suppression,,,,,,,,
2190814,1429993,fr,15,0.5,MesDiscussions.net,https://fr.wikipedia.org/wiki/MesDiscussions.net,,,,,,,,
995608,4722067,fr,15,0.5,Sofiane Choubani/Suppression,https://fr.wikipedia.org/wiki/Sofiane Choubani/Suppression,,,,,,,,
2359882,1758279,fr,15,0.5,Caudan,https://fr.wikipedia.org/wiki/Caudan,,,,,,,,
282980,585737,fr,15,0.5,Héctor Scarone,https://fr.wikipedia.org/wiki/Héctor Scarone,,,,,,,,
2701212,2686155,fr,15,0.5,Basilique Notre-Dame de Peyragude,https://fr.wikipedia.org/wiki/Basilique Notre-Dame de Peyragude,,,,,,,,
1581912,6435349,fr,15,0.5,Guedieiros/Suppression,https://fr.wikipedia.org/wiki/Guedieiros/Suppression,,,,,,,,
604715,3707167,fr,15,0.5,Chaussée romaine de Bavay à Cologne,https://fr.wikipedia.org/wiki/Chaussée romaine de Bavay à Cologne,,,,,,,,
624488,3772942,fr,15,0.5,Arabe nedromi,https://fr.wikipedia.org/wiki/Arabe nedromi,,,,,,,,
42326,77481,fr,15,0.5,Nagasaki,https://fr.wikipedia.org/wiki/Nagasaki,,,,,,,,
2464963,1934037,fr,15,0.5,Bruay-sur-l'Escaut/Droit d'auteur,https://fr.wikipedia.org/wiki/Bruay-sur-l'Escaut/Droit d'auteur,,,,,,,,
270870,557586,fr,15,0.5,Abbaye Saint-Rigaud,https://fr.wikipedia.org/wiki/Abbaye Saint-Rigaud,,,,,,,,
162184,319759,fr,15,0.5,Plectre,https://fr.wikipedia.org/wiki/Plectre,,,,,,,,
