,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,unsigned?,notes
1044499,4566280,it,18,0.5,Adele Gambaro,https://it.wikipedia.org/wiki/Adele Gambaro,0,1,Non sono d'accordo,2,2,2,0,1,,tinted background
1044499,4566280,it,18,0.5,Adele Gambaro,https://it.wikipedia.org/wiki/Adele Gambaro,0,1,Fonti,2,2,2,0,1,,
1044499,4566280,it,18,0.5,Adele Gambaro,https://it.wikipedia.org/wiki/Adele Gambaro,0,1,WP non è un quotidiano online in-progress,3,2,3,0,1,,
1044499,4566280,it,18,0.5,Adele Gambaro,https://it.wikipedia.org/wiki/Adele Gambaro,0,1,Motivi dell'espulsione dal Mov. Cinque Stelle della senatrice Gambaro,6,3,6,0,1,,
1044499,4566280,it,18,0.5,Adele Gambaro,https://it.wikipedia.org/wiki/Adele Gambaro,0,1,GAP,0,0,0,0,0,1,
530811,2578707,it,18,0.5,Vita privata di Napoleone Bonaparte,https://it.wikipedia.org/wiki/Vita privata di Napoleone Bonaparte,0,0,,13,3,6,0,1,,longer than article
530811,2578707,it,18,0.5,Vita privata di Napoleone Bonaparte,https://it.wikipedia.org/wiki/Vita privata di Napoleone Bonaparte,0,0,Repressione del 5 ottobre 1795: massacro davanti alla chiesa di San Rocco,1,1,1,0,0,,
530811,2578707,it,18,0.5,Vita privata di Napoleone Bonaparte,https://it.wikipedia.org/wiki/Vita privata di Napoleone Bonaparte,0,0,Cena o non cena?,1,1,1,0,0,,
527412,2566734,it,18,0.5,Giocattolo sessuale,https://it.wikipedia.org/wiki/Giocattolo sessuale,0,1,"Cronologia ""Sex toy""",1,1,1,0,0,,Interesting way of archiving
527412,2566734,it,18,0.5,Giocattolo sessuale,https://it.wikipedia.org/wiki/Giocattolo sessuale,0,1,Immagine Jigsaw Squirting,4,2,3,0,1,,
527412,2566734,it,18,0.5,Giocattolo sessuale,https://it.wikipedia.org/wiki/Giocattolo sessuale,0,1,Voce: Storia,1,1,1,0,0,,
527412,2566734,it,18,0.5,Giocattolo sessuale,https://it.wikipedia.org/wiki/Giocattolo sessuale,0,1,Modifica a testo Tipologie,1,1,1,0,0,,
527412,2566734,it,18,0.5,Giocattolo sessuale,https://it.wikipedia.org/wiki/Giocattolo sessuale,0,1,Gallery,1,1,1,0,0,,
527412,2566734,it,18,0.5,Giocattolo sessuale,https://it.wikipedia.org/wiki/Giocattolo sessuale,0,1,Legislazione in Italia,2,1,2,0,1,,
