,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,notes
177381,313773,ja,16,0.51,東方典礼カトリック教会,https://ja.wikipedia.org/wiki/東方典礼カトリック教会,0,0,帰一教会から改名,5,2,3,0,1,
177381,313773,ja,16,0.51,東方典礼カトリック教会,https://ja.wikipedia.org/wiki/東方典礼カトリック教会,0,0,再度の移動提案,7,3,3,0,1,
544284,1183503,ja,16,0.51,みちのくダービー,https://ja.wikipedia.org/wiki/みちのくダービー,0,0,改名提案,4,4,3,0,1,Use bullets to define indents
544284,1183503,ja,16,0.51,みちのくダービー,https://ja.wikipedia.org/wiki/みちのくダービー,0,0,再・改名提案,8,5,3,0,1,
153988,263614,ja,16,0.51,ファイナルファンタジーIII,https://ja.wikipedia.org/wiki/ファイナルファンタジーIII,0,0,この記事は複数回削除されています。削除に関する議論は (1) (2) をご覧ください。,2,1,2,0,1,
153988,263614,ja,16,0.51,ファイナルファンタジーIII,https://ja.wikipedia.org/wiki/ファイナルファンタジーIII,0,0,分割提案,7,4,6,0,1,
153988,263614,ja,16,0.51,ファイナルファンタジーIII,https://ja.wikipedia.org/wiki/ファイナルファンタジーIII,0,0,ねたばれタグについて,2,2,2,0,1,
153988,263614,ja,16,0.51,ファイナルファンタジーIII,https://ja.wikipedia.org/wiki/ファイナルファンタジーIII,0,0,「特徴」項目の記述内容について,4,2,4,0,1,
599858,1332230,ja,16,0.51,早慶上理,https://ja.wikipedia.org/wiki/早慶上理,0,0,リダイレクト化しました,9,3,5,0,2,Article Deleted
135542,222513,ja,16,0.51,C4型光合成,https://ja.wikipedia.org/wiki/C4型光合成,0,1,,1,1,1,0,1,An entire example page is within the talk page
135542,222513,ja,16,0.51,C4型光合成,https://ja.wikipedia.org/wiki/C4型光合成,0,1,ハッチ - スリャック経路,0,0,0,0,0,
135542,222513,ja,16,0.51,C4型光合成,https://ja.wikipedia.org/wiki/C4型光合成,0,1,C3植物との違い,0,0,0,0,0,
135542,222513,ja,16,0.51,C4型光合成,https://ja.wikipedia.org/wiki/C4型光合成,0,1,簡単なまとめ,0,0,0,0,0,
135542,222513,ja,16,0.51,C4型光合成,https://ja.wikipedia.org/wiki/C4型光合成,0,1,提案ありがとうございます,7,2,5,0,1,
135542,222513,ja,16,0.51,C4型光合成,https://ja.wikipedia.org/wiki/C4型光合成,0,1,あらためて,2,2,2,0,1,
135542,222513,ja,16,0.51,C4型光合成,https://ja.wikipedia.org/wiki/C4型光合成,0,1,光子（光量子）について,1,1,1,0,0,
135542,222513,ja,16,0.51,C4型光合成,https://ja.wikipedia.org/wiki/C4型光合成,0,1,C4植物の出現と進化について,2,2,2,0,1,
649631,1488228,ja,16,0.51,SBI証券,https://ja.wikipedia.org/wiki/SBI証券,0,0,SBI証券への商号変更について,12,9,4,0,2,
649631,1488228,ja,16,0.51,SBI証券,https://ja.wikipedia.org/wiki/SBI証券,0,0,統合提案,2,1,2,0,1,crossed out comment
642573,1466789,ja,16,0.51,マーガリン (タレント),https://ja.wikipedia.org/wiki/マーガリン (タレント),0,0,項目の存続意義について,11,7,3,0,4,
642573,1466789,ja,16,0.51,マーガリン (タレント),https://ja.wikipedia.org/wiki/マーガリン (タレント),0,0,マーガリンさんが受験したという「熊本県内で一二を争う高校」,1,1,1,0,0,
203872,371632,ja,16,0.51,仙台都市圏,https://ja.wikipedia.org/wiki/仙台都市圏,0,1,福島県・北陸・中国地方・北九州市に関わる部分について,1,1,1,0,0,
203872,371632,ja,16,0.51,仙台都市圏,https://ja.wikipedia.org/wiki/仙台都市圏,0,1,仙台都市圏の人口,9,5,5,0,2,
203872,371632,ja,16,0.51,仙台都市圏,https://ja.wikipedia.org/wiki/仙台都市圏,0,1,記事の一部分割について（2006年度）,1,1,1,0,0,
203872,371632,ja,16,0.51,仙台都市圏,https://ja.wikipedia.org/wiki/仙台都市圏,0,1,仙台都市圏環状自動車専用道路についての分割提案,2,1,2,0,1,
915553,2234789,ja,16,0.51,林海峰,https://ja.wikipedia.org/wiki/林海峰,0,0,,1,1,1,0,0,
915553,2234789,ja,16,0.51,林海峰,https://ja.wikipedia.org/wiki/林海峰,0,0,改名提案,14,4,6,0,2,
1150029,2989956,ja,16,0.51,西鉄高速バス,https://ja.wikipedia.org/wiki/西鉄高速バス,0,0,路線記事の統合について,15,4,8,0,2,
675821,1566239,ja,16,0.51,探偵学園Qの登場人物,https://ja.wikipedia.org/wiki/探偵学園Qの登場人物,0,0,,2,2,2,0,1,
675821,1566239,ja,16,0.51,探偵学園Qの登場人物,https://ja.wikipedia.org/wiki/探偵学園Qの登場人物,0,0,感想,9,3,6,0,2,
675821,1566239,ja,16,0.51,探偵学園Qの登場人物,https://ja.wikipedia.org/wiki/探偵学園Qの登場人物,0,0,脚注に関して,2,2,2,0,1,
326326,657450,ja,16,0.51,岐阜大学/200608投票,https://ja.wikipedia.org/wiki/岐阜大学/200608投票,0,0,,0,0,0,0,0,"Nothing signed, link to different talk page"
326326,657450,ja,16,0.51,岐阜大学/200608投票,https://ja.wikipedia.org/wiki/岐阜大学/200608投票,0,0,投票内容,0,0,0,0,0,""""
326326,657450,ja,16,0.51,岐阜大学/200608投票,https://ja.wikipedia.org/wiki/岐阜大学/200608投票,0,0,投票所（終了）,0,0,0,0,0,""""
