,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,unsigned? ,notes
240444,697347,ko,9,0.5,동대문 더비,https://ko.wikipedia.org/wiki/동대문 더비,0,0,,10,4,5,0,1,,
360911,1099076,ko,9,0.5,퍼플제이,https://ko.wikipedia.org/wiki/퍼플제이,0,0,저명성/신뢰할 수 있는 출처,0,0,0,0,0,1,
13223,31899,ko,9,0.5,오 (삼국),https://ko.wikipedia.org/wiki/오 (삼국),0,0,,1,1,1,0,0,,
13223,31899,ko,9,0.5,오 (삼국),https://ko.wikipedia.org/wiki/오 (삼국),0,0,효의왕 손종?,1,1,1,0,0,,
49690,128177,ko,9,0.5,안양 LG 치타스,https://ko.wikipedia.org/wiki/안양 LG 치타스,0,1,의견 1,12,10,5,0,4,,
49690,128177,ko,9,0.5,안양 LG 치타스,https://ko.wikipedia.org/wiki/안양 LG 치타스,0,1,"서포터의 사건, 사고",16,8,8,0,3,,
49690,128177,ko,9,0.5,안양 LG 치타스,https://ko.wikipedia.org/wiki/안양 LG 치타스,0,1,오류 수정'(?),1,1,1,0,0,,
49690,128177,ko,9,0.5,안양 LG 치타스,https://ko.wikipedia.org/wiki/안양 LG 치타스,0,1,요청,1,1,1,0,0,,
49690,128177,ko,9,0.5,안양 LG 치타스,https://ko.wikipedia.org/wiki/안양 LG 치타스,0,1,문서와는 별개의 일이지만,2,2,2,0,1,,
49690,128177,ko,9,0.5,안양 LG 치타스,https://ko.wikipedia.org/wiki/안양 LG 치타스,0,1,연고 이전 / 복귀?,2,2,2,0,1,,
370975,1141849,ko,9,0.5,핑클,https://ko.wikipedia.org/wiki/핑클,0,0,,2,2,1,0,0,,
27490,70799,ko,9,0.5,평양 지하철도,https://ko.wikipedia.org/wiki/평양 지하철도,0,0,내용 정정 요구,2,2,2,0,1,,
27490,70799,ko,9,0.5,평양 지하철도,https://ko.wikipedia.org/wiki/평양 지하철도,0,0,본문과 사진의 상반점에 대한 질문,2,2,2,0,1,,
155170,409320,ko,9,0.5,제과사,https://ko.wikipedia.org/wiki/제과사,0,1,보충,1,1,1,0,0,,
155170,409320,ko,9,0.5,제과사,https://ko.wikipedia.org/wiki/제과사,0,1,파티셰와 베이커,3,2,3,0,1,,
76978,195634,ko,9,0.5,쓰시마후추 번,https://ko.wikipedia.org/wiki/쓰시마후추 번,0,0,건의,2,2,2,0,1,,
397220,1278099,ko,9,0.5,박갑쇠,https://ko.wikipedia.org/wiki/박갑쇠,0,0,2015년 4월 6일의 삭제 신청 이의,8,2,8,0,1,,
139510,361746,ko,9,0.5,윈도우 8,https://ko.wikipedia.org/wiki/윈도우 8,0,1,윈도우 8 네이버 카페 바깥 고리에 대해서,1,1,1,0,0,,
139510,361746,ko,9,0.5,윈도우 8,https://ko.wikipedia.org/wiki/윈도우 8,0,1,여러 바깥 고리,1,1,1,0,0,,
139510,361746,ko,9,0.5,윈도우 8,https://ko.wikipedia.org/wiki/윈도우 8,0,1,첫번째문단 윈도서버에 관해서,1,1,1,0,0,,
139510,361746,ko,9,0.5,윈도우 8,https://ko.wikipedia.org/wiki/윈도우 8,0,1,"윈도 8.1 ""Update 1""의 서술에 관해서",1,1,1,0,0,,
139635,362025,ko,9,0.5,한국사 연표,https://ko.wikipedia.org/wiki/한국사 연표,0,0,,3,3,0,0,0,,
168238,451864,ko,9,0.5,고양이 눈 성운,https://ko.wikipedia.org/wiki/고양이 눈 성운,0,0,,0,0,0,0,0,,All bot edits on talk page
62047,158105,ko,9,0.5,2008년 이천 냉동창고 화재 사고,https://ko.wikipedia.org/wiki/2008년 이천 냉동창고 화재 사고,,,,,,,,,,No talk page?
176936,483709,ko,9,0.5,YUI,https://ko.wikipedia.org/wiki/YUI,0,1,"어쿠스틱 기타, 일렉 기타",1,1,1,0,0,,
176936,483709,ko,9,0.5,YUI,https://ko.wikipedia.org/wiki/YUI,0,1,YUI 관련 문서 전부 정리 완료,1,1,1,0,0,,
176936,483709,ko,9,0.5,YUI,https://ko.wikipedia.org/wiki/YUI,0,1,YUI의 음반 목록 정리 완료,1,1,1,0,0,,
176936,483709,ko,9,0.5,YUI,https://ko.wikipedia.org/wiki/YUI,0,1,YUI 모든 음반 문서 정리 예정,1,1,1,0,0,,
176936,483709,ko,9,0.5,YUI,https://ko.wikipedia.org/wiki/YUI,0,1,제목 변경,1,1,1,0,0,,
210573,601822,ko,9,0.5,인천 현대제철 레드엔젤스,https://ko.wikipedia.org/wiki/인천 현대제철 레드엔젤스,,,,,,,,,,Unable to get to talk page (redirects to main page)
177803,486315,ko,9,0.5,야우리백화점,https://ko.wikipedia.org/wiki/야우리백화점,0,0,,4,4,2,0,2,,
47884,123621,ko,9,0.5,대딸방,https://ko.wikipedia.org/wiki/대딸방,0,0,이름,3,2,1,0,2,,
47884,123621,ko,9,0.5,대딸방,https://ko.wikipedia.org/wiki/대딸방,0,0,세계화,2,2,2,0,1,,
339864,1019054,ko,9,0.5,셜록 (드라마),https://ko.wikipedia.org/wiki/셜록 (드라마),0,0,,0,0,0,0,0,,All bot edits
120400,311086,ko,9,0.5,국도 제29호선,https://ko.wikipedia.org/wiki/국도 제29호선,0,0,1,3,3,2,0,1,,
22272,56055,ko,9,0.5,이방자,https://ko.wikipedia.org/wiki/이방자,0,0,불분명한 문장,1,1,1,0,0,,
22272,56055,ko,9,0.5,이방자,https://ko.wikipedia.org/wiki/이방자,0,0,명칭,2,2,2,0,1,,
22272,56055,ko,9,0.5,이방자,https://ko.wikipedia.org/wiki/이방자,0,0,영친왕의 결혼에 관한 진실 여부,2,2,2,0,1,,
74417,189196,ko,9,0.5,2008년 미국 대통령 선거,https://ko.wikipedia.org/wiki/2008년 미국 대통령 선거,0,0,막대틀 문제,2,2,2,0,1,,
74417,189196,ko,9,0.5,2008년 미국 대통령 선거,https://ko.wikipedia.org/wiki/2008년 미국 대통령 선거,0,0,매직넘버 =/= 확정,2,2,2,0,1,,
74417,189196,ko,9,0.5,2008년 미국 대통령 선거,https://ko.wikipedia.org/wiki/2008년 미국 대통령 선거,0,0,선거동향'의 본선체제 전환,1,1,1,0,1,,
144380,376662,ko,9,0.5,온수역,https://ko.wikipedia.org/wiki/온수역,0,0,급행 정차 여부,3,3,2,0,1,,
144380,376662,ko,9,0.5,온수역,https://ko.wikipedia.org/wiki/온수역,0,0,급행이 정차합니까?,1,1,1,0,0,,
58300,150001,ko,9,0.5,오른손잡이,https://ko.wikipedia.org/wiki/오른손잡이,,,,,,,,,,
80747,205876,ko,9,0.5,사도전승,https://ko.wikipedia.org/wiki/사도전승,,,,,,,,,,
21363,53363,ko,9,0.5,영어사전,https://ko.wikipedia.org/wiki/영어사전,,,,,,,,,,
16905,41852,ko,9,0.5,구글,https://ko.wikipedia.org/wiki/구글,,,,,,,,,,
31127,81348,ko,9,0.5,로리콘,https://ko.wikipedia.org/wiki/로리콘,,,,,,,,,,
157101,415517,ko,9,0.5,MBC 표준FM,https://ko.wikipedia.org/wiki/MBC 표준FM,,,,,,,,,,
36186,95642,ko,9,0.5,김광신,https://ko.wikipedia.org/wiki/김광신,,,,,,,,,,
69384,176686,ko,9,0.5,사할린 고려인,https://ko.wikipedia.org/wiki/사할린 고려인,,,,,,,,,,
147167,384533,ko,9,0.5,애국주의,https://ko.wikipedia.org/wiki/애국주의,,,,,,,,,,
176887,483522,ko,9,0.5,우리들에게 날개는 없다,https://ko.wikipedia.org/wiki/우리들에게 날개는 없다,,,,,,,,,,
192990,538416,ko,9,0.5,홍준표 (법조인),https://ko.wikipedia.org/wiki/홍준표 (법조인),,,,,,,,,,
143556,373890,ko,9,0.5,성전사 단바인,https://ko.wikipedia.org/wiki/성전사 단바인,,,,,,,,,,
42573,110534,ko,9,0.5,조승희,https://ko.wikipedia.org/wiki/조승희,,,,,,,,,,
194790,545170,ko,9,0.5,서인영,https://ko.wikipedia.org/wiki/서인영,,,,,,,,,,
422976,1403235,ko,9,0.5,츤츤,https://ko.wikipedia.org/wiki/츤츤,,,,,,,,,,
124628,322658,ko,9,0.5,GSU,https://ko.wikipedia.org/wiki/GSU,,,,,,,,,,
46309,119696,ko,9,0.5,죽전역 (용인),https://ko.wikipedia.org/wiki/죽전역 (용인),,,,,,,,,,
167037,448444,ko,9,0.5,움므 쿨숨,https://ko.wikipedia.org/wiki/움므 쿨숨,,,,,,,,,,
232205,674168,ko,9,0.5,주세페 메아차,https://ko.wikipedia.org/wiki/주세페 메아차,,,,,,,,,,
56363,145472,ko,9,0.5,크레이프,https://ko.wikipedia.org/wiki/크레이프,,,,,,,,,,
80124,204097,ko,9,0.5,토와 테이,https://ko.wikipedia.org/wiki/토와 테이,,,,,,,,,,
75961,193296,ko,9,0.5,삼성 비자금 의혹 관련 특별검사,https://ko.wikipedia.org/wiki/삼성 비자금 의혹 관련 특별검사,,,,,,,,,,
53811,138474,ko,9,0.5,에리크 캉토나,https://ko.wikipedia.org/wiki/에리크 캉토나,,,,,,,,,,
120721,312008,ko,9,0.5,대한항공 YS-11기 납북 사건,https://ko.wikipedia.org/wiki/대한항공 YS-11기 납북 사건,,,,,,,,,,
60637,154977,ko,9,0.5,난징의 강간,https://ko.wikipedia.org/wiki/난징의 강간,,,,,,,,,,
214466,614851,ko,9,0.5,가리온 2,https://ko.wikipedia.org/wiki/가리온 2,,,,,,,,,,
166435,446828,ko,9,0.5,크게 휘두르며의 등장인물 목록,https://ko.wikipedia.org/wiki/크게 휘두르며의 등장인물 목록,,,,,,,,,,
12355,30047,ko,9,0.5,포도주,https://ko.wikipedia.org/wiki/포도주,,,,,,,,,,
145524,380077,ko,9,0.5,경기도의 시내버스,https://ko.wikipedia.org/wiki/경기도의 시내버스,,,,,,,,,,
191726,533980,ko,9,0.5,옴럭시,https://ko.wikipedia.org/wiki/옴럭시,,,,,,,,,,
17189,42458,ko,9,0.5,라경민,https://ko.wikipedia.org/wiki/라경민,,,,,,,,,,
199614,562685,ko,9,0.5,남아프리카 공화국,https://ko.wikipedia.org/wiki/남아프리카 공화국,,,,,,,,,,
36523,96548,ko,9,0.5,로젠 메이든,https://ko.wikipedia.org/wiki/로젠 메이든,,,,,,,,,,
152974,401909,ko,9,0.5,한국성서대학교,https://ko.wikipedia.org/wiki/한국성서대학교,,,,,,,,,,
72176,183648,ko,9,0.5,투니버스,https://ko.wikipedia.org/wiki/투니버스,,,,,,,,,,
30133,77620,ko,9,0.5,링크스 (웹 브라우저),https://ko.wikipedia.org/wiki/링크스 (웹 브라우저),,,,,,,,,,
72267,183840,ko,9,0.5,클라나드 (게임),https://ko.wikipedia.org/wiki/클라나드 (게임),,,,,,,,,,
31333,81809,ko,9,0.5,조선민주주의인민공화국의 정치,https://ko.wikipedia.org/wiki/조선민주주의인민공화국의 정치,,,,,,,,,,
4625,8413,ko,9,0.5,요한 제바스티안 바흐,https://ko.wikipedia.org/wiki/요한 제바스티안 바흐,,,,,,,,,,
324351,960909,ko,9,0.5,페르시아 제국,https://ko.wikipedia.org/wiki/페르시아 제국,,,,,,,,,,
416110,1363244,ko,9,0.5,고등연구실습원,https://ko.wikipedia.org/wiki/고등연구실습원,,,,,,,,,,
188744,522825,ko,9,0.5,반남 박씨,https://ko.wikipedia.org/wiki/반남 박씨,,,,,,,,,,
24136,61198,ko,9,0.5,천궁 (유도탄),https://ko.wikipedia.org/wiki/천궁 (유도탄),,,,,,,,,,
83520,214665,ko,9,0.5,아시아 태평양 이사회,https://ko.wikipedia.org/wiki/아시아 태평양 이사회,,,,,,,,,,
104614,270136,ko,9,0.5,남훈,https://ko.wikipedia.org/wiki/남훈,,,,,,,,,,
239231,693368,ko,9,0.5,로마켓 사건,https://ko.wikipedia.org/wiki/로마켓 사건,,,,,,,,,,
