,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,notes
1882562,119507,nl,7,0.55,Boge (bedrijf),https://nl.wikipedia.org/wiki/Boge (bedrijf),0,0,,2,2,2,0,1,
1886225,128136,nl,7,0.55,Rechtsfilosofie,https://nl.wikipedia.org/wiki/Rechtsfilosofie,0,0,,1,1,1,0,0,
1886225,128136,nl,7,0.55,Rechtsfilosofie,https://nl.wikipedia.org/wiki/Rechtsfilosofie,0,0,Kwalificatie (rechtsfilosofisch),1,1,1,0,0,
644085,1857768,nl,7,0.55,Feestdagen in Nederland,https://nl.wikipedia.org/wiki/Feestdagen in Nederland,0,0,Alkmaars Ontzet,2,2,2,0,1,
254388,792919,nl,7,0.55,Hogeweidebrug,https://nl.wikipedia.org/wiki/Hogeweidebrug,,,,,,,,,Deleted
414732,1185893,nl,7,0.55,Nicolas Jenson,https://nl.wikipedia.org/wiki/Nicolas Jenson,0,0,,6,2,3,0,1,
104124,430745,nl,7,0.55,Korfbal,https://nl.wikipedia.org/wiki/Korfbal,0,0,,2,2,2,0,1,
104124,430745,nl,7,0.55,Korfbal,https://nl.wikipedia.org/wiki/Korfbal,0,0,Selectie verenigingen,2,2,2,0,1,
1759351,4037514,nl,7,0.55,1453,https://nl.wikipedia.org/wiki/1453,0,0,,4,2,4,0,1,
597470,1700067,nl,7,0.55,Kayserispor,https://nl.wikipedia.org/wiki/Kayserispor,,,Verwijderingsnominatie Afbeelding:Ks-nl.gif,1,1,1,0,0,
597470,1700067,nl,7,0.55,Kayserispor,https://nl.wikipedia.org/wiki/Kayserispor,,,image,1,1,1,0,1,unsigned comment
536081,1508191,nl,7,0.55,UNPROFOR,https://nl.wikipedia.org/wiki/UNPROFOR,,,,,,,,,Deleted
175553,577406,nl,7,0.55,Terzake,https://nl.wikipedia.org/wiki/Terzake,0,0,,2,2,2,0,1,
175553,577406,nl,7,0.55,Terzake,https://nl.wikipedia.org/wiki/Terzake,0,0,Enkele opmerkingen van een Terzake-medewerker (mezelf),2,2,2,0,1,
1847610,46425,nl,7,0.55,Irrationaal getal,https://nl.wikipedia.org/wiki/Irrationaal getal,0,0,,2,2,1,0,1,
1847610,46425,nl,7,0.55,Irrationaal getal,https://nl.wikipedia.org/wiki/Irrationaal getal,0,0,Wiskundige schoonheid,1,1,1,0,0,
4438,211181,nl,7,0.55,Cursief,https://nl.wikipedia.org/wiki/Cursief,0,0,Italics of cursive?,2,2,1,0,1,
4438,211181,nl,7,0.55,Cursief,https://nl.wikipedia.org/wiki/Cursief,0,0,titelblad,5,2,4,0,1,
56569,332305,nl,7,0.55,Herberg,https://nl.wikipedia.org/wiki/Herberg,0,0,,2,2,2,0,1,unsigned portion
