,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,notes
114280,201404,no,10,0.51,UngBDSM,https://no.wikipedia.org/wiki/UngBDSM,0,0,,7,3,2,0,1,bullets
87441,150736,no,10,0.51,Apostelen Paulus,https://no.wikipedia.org/wiki/Apostelen Paulus,0,1,Død lenke,2,2,2,0,1,
87441,150736,no,10,0.51,Apostelen Paulus,https://no.wikipedia.org/wiki/Apostelen Paulus,0,1,Sterkt sprik i fødselsdatoer,1,1,1,0,0,
87441,150736,no,10,0.51,Apostelen Paulus,https://no.wikipedia.org/wiki/Apostelen Paulus,0,1,Objektiv?,0,0,0,0,0,
87441,150736,no,10,0.51,Apostelen Paulus,https://no.wikipedia.org/wiki/Apostelen Paulus,0,1,Paulus' syn.,0,0,0,0,0,unsigned
333812,612802,no,10,0.51,Fritidsbåtskipper,https://no.wikipedia.org/wiki/Fritidsbåtskipper,0,0,,8,4,7,0,1,
68105,111109,no,10,0.51,Camel (band),https://no.wikipedia.org/wiki/Camel (band),0,0,Her må det språkvaskes!,2,2,2,0,1,
454655,902583,no,10,0.51,Hans Rønningen (1904–1959),https://no.wikipedia.org/wiki/Hans Rønningen (1904–1959),0,0,Flyger?,4,2,4,0,1,
454655,902583,no,10,0.51,Hans Rønningen (1904–1959),https://no.wikipedia.org/wiki/Hans Rønningen (1904–1959),0,0,Dikter?,1,1,1,0,0,
454655,902583,no,10,0.51,Hans Rønningen (1904–1959),https://no.wikipedia.org/wiki/Hans Rønningen (1904–1959),0,0,"Overskriftene Andre verdenskrig, Etter krigen og Utmerkelser",2,1,1,0,0,
185817,348739,no,10,0.51,Final Fantasy X,https://no.wikipedia.org/wiki/Final Fantasy X,0,0,X-2 første direkte oppfølger?,3,2,3,0,1,
185817,348739,no,10,0.51,Final Fantasy X,https://no.wikipedia.org/wiki/Final Fantasy X,0,0,Sphere grid,2,2,2,0,1,
6862,11609,no,10,0.51,Askenasiske jøder,https://no.wikipedia.org/wiki/Askenasiske jøder,0,0,,3,2,2,0,1,
6862,11609,no,10,0.51,Askenasiske jøder,https://no.wikipedia.org/wiki/Askenasiske jøder,0,0,Feilaktige opplysninger?,5,4,5,0,1,
505996,1055287,no,10,0.51,Slaget ved La Concepción,https://no.wikipedia.org/wiki/Slaget ved La Concepción,0,0,Språkvask. Maskinoversatt?,2,2,2,0,1,
505996,1055287,no,10,0.51,Slaget ved La Concepción,https://no.wikipedia.org/wiki/Slaget ved La Concepción,0,0,Unødvendig med språkvask,8,5,6,0,2,
