,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges
131519,1518868,pl,14,0.5,Osamu Tezuka,https://pl.wikipedia.org/wiki/Osamu Tezuka,,,,,,,,
503228,2460522,pl,14,0.5,Operacja w Kurram (2011),https://pl.wikipedia.org/wiki/Operacja w Kurram (2011),,,,,,,,
1334118,1400496,pl,14,0.5,Lockheed SR-71 Blackbird,https://pl.wikipedia.org/wiki/Lockheed SR-71 Blackbird,,,,,,,,
1233106,1108649,pl,14,0.5,Freedom House,https://pl.wikipedia.org/wiki/Freedom House,,,,,,,,
1125428,787341,pl,14,0.5,Podwójne życie Jagody Lee,https://pl.wikipedia.org/wiki/Podwójne życie Jagody Lee,,,,,,,,
1246550,1152751,pl,14,0.5,Taser,https://pl.wikipedia.org/wiki/Taser,,,,,,,,
512675,2488439,pl,14,0.5,Ceremonials,https://pl.wikipedia.org/wiki/Ceremonials,,,,,,,,
1321247,1366107,pl,14,0.5,Bolek i Lolek,https://pl.wikipedia.org/wiki/Bolek i Lolek,,,,,,,,
55183,103651,pl,14,0.5,Egoizm (psychologia),https://pl.wikipedia.org/wiki/Egoizm (psychologia),,,,,,,,
27279,44501,pl,14,0.5,Marynarka Wojenna,https://pl.wikipedia.org/wiki/Marynarka Wojenna,,,,,,,,
302612,1954994,pl,14,0.5,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,https://pl.wikipedia.org/wiki/Uniwersytet Marii Curie-Skłodowskiej w Lublinie,,,,,,,,
755710,3199595,pl,14,0.5,Dyskografia The Pussycat Dolls,https://pl.wikipedia.org/wiki/Dyskografia The Pussycat Dolls,,,,,,,,
1252580,1172228,pl,14,0.5,Sytuacja prawna i społeczna osób LGBT w Serbii,https://pl.wikipedia.org/wiki/Sytuacja prawna i społeczna osób LGBT w Serbii,,,,,,,,
67897,129375,pl,14,0.5,M4 Sherman,https://pl.wikipedia.org/wiki/M4 Sherman,,,,,,,,
71099,135605,pl,14,0.5,Historia Hiszpanii,https://pl.wikipedia.org/wiki/Historia Hiszpanii,,,,,,,,
211500,1724494,pl,14,0.5,Racibór (województwo warmińsko-mazurskie),https://pl.wikipedia.org/wiki/Racibór (województwo warmińsko-mazurskie),,,,,,,,
916938,319072,pl,14,0.5,SOLAS,https://pl.wikipedia.org/wiki/SOLAS,,,,,,,,
321185,2002521,pl,14,0.5,Małopolska Droga św. Jakuba,https://pl.wikipedia.org/wiki/Małopolska Droga św. Jakuba,,,,,,,,
1351703,1448214,pl,14,0.5,Wiślica,https://pl.wikipedia.org/wiki/Wiślica,,,,,,,,
765608,3235501,pl,14,0.5,Grudzień 2013,https://pl.wikipedia.org/wiki/Grudzień 2013,,,,,,,,
1141246,834601,pl,14,0.5,Program 12 kroków (grupy),https://pl.wikipedia.org/wiki/Program 12 kroków (grupy),,,,,,,,
354892,2092084,pl,14,0.5,Beautiful Liar,https://pl.wikipedia.org/wiki/Beautiful Liar,,,,,,,,
207033,1713985,pl,14,0.5,Kościół św. Anny w Czarnowąsach,https://pl.wikipedia.org/wiki/Kościół św. Anny w Czarnowąsach,,,,,,,,
1164964,913623,pl,14,0.5,Stowarzyszenie Mrocznego Oceanu,https://pl.wikipedia.org/wiki/Stowarzyszenie Mrocznego Oceanu,,,,,,,,
909157,295291,pl,14,0.5,Ruch obiegowy Ziemi,https://pl.wikipedia.org/wiki/Ruch obiegowy Ziemi,,,,,,,,
775507,3275554,pl,14,0.5,Reprezentacja Słowenii na Mistrzostwach Świata w Narciarstwie Klasycznym 2005,https://pl.wikipedia.org/wiki/Reprezentacja Słowenii na Mistrzostwach Świata w Narciarstwie Klasycznym 2005,,,,,,,,
1136777,822190,pl,14,0.5,Radio Galicja,https://pl.wikipedia.org/wiki/Radio Galicja,,,,,,,,
1108812,739554,pl,14,0.5,Jarosław Boberek,https://pl.wikipedia.org/wiki/Jarosław Boberek,,,,,,,,
96831,191277,pl,14,0.5,Andrzej Wituski,https://pl.wikipedia.org/wiki/Andrzej Wituski,,,,,,,,
86090,165881,pl,14,0.5,Lista najjaśniejszych gwiazd według jasności wizualnej,https://pl.wikipedia.org/wiki/Lista najjaśniejszych gwiazd według jasności wizualnej,,,,,,,,
185169,1659875,pl,14,0.5,Daryfenacyna,https://pl.wikipedia.org/wiki/Daryfenacyna,,,,,,,,
