,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges
254625,923984,pt,10,0.5,Calendário hagiológico,https://pt.wikipedia.org/wiki/Calendário hagiológico,,,,,,,,
268040,952677,pt,10,0.5,Pai Penela,https://pt.wikipedia.org/wiki/Pai Penela,,,,,,,,
661556,47676,pt,10,0.5,Lista dos pontos de fusão dos elementos químicos,https://pt.wikipedia.org/wiki/Lista dos pontos de fusão dos elementos químicos,,,,,,,,
818365,2428561,pt,10,0.5,VAR-Palmares,https://pt.wikipedia.org/wiki/VAR-Palmares,,,,,,,,
961832,2770677,pt,10,0.5,José Juan Tablada,https://pt.wikipedia.org/wiki/José Juan Tablada,,,,,,,,
635389,8295,pt,10,0.5,I-Juca-Pirama,https://pt.wikipedia.org/wiki/I-Juca-Pirama,,,,,,,,
732469,2096059,pt,10,0.5,Janice de Castro,https://pt.wikipedia.org/wiki/Janice de Castro,,,,,,,,
106923,429903,pt,10,0.5,Microsiga,https://pt.wikipedia.org/wiki/Microsiga,,,,,,,,
500006,1651454,pt,10,0.5,António José de Almeida,https://pt.wikipedia.org/wiki/António José de Almeida,,,,,,,,
257193,931588,pt,10,0.5,Diários de Motocicleta,https://pt.wikipedia.org/wiki/Diários de Motocicleta,,,,,,,,
149303,576543,pt,10,0.5,Blasted Mechanism,https://pt.wikipedia.org/wiki/Blasted Mechanism,,,,,,,,
1141957,3176452,pt,10,0.5,1900,https://pt.wikipedia.org/wiki/1900,,,,,,,,
368767,1290548,pt,10,0.5,G-Portugol,https://pt.wikipedia.org/wiki/G-Portugol,,,,,,,,
690381,98546,pt,10,0.5,Ânderson Luís da Silva,https://pt.wikipedia.org/wiki/Ânderson Luís da Silva,,,,,,,,
997441,2896452,pt,10,0.5,Girlfriend,https://pt.wikipedia.org/wiki/Girlfriend,,,,,,,,
621103,1974213,pt,10,0.5,Tuomas Holopainen,https://pt.wikipedia.org/wiki/Tuomas Holopainen,,,,,,,,
321822,1125110,pt,10,0.5,Medula espinhal,https://pt.wikipedia.org/wiki/Medula espinhal,,,,,,,,
1068428,3039664,pt,10,0.5,Team Fortress 2,https://pt.wikipedia.org/wiki/Team Fortress 2,,,,,,,,
630514,2013942,pt,10,0.5,Karin (Naruto),https://pt.wikipedia.org/wiki/Karin (Naruto),,,,,,,,
1152241,3216901,pt,10,0.5,Império do Japão,https://pt.wikipedia.org/wiki/Império do Japão,,,,,,,,
786004,2292826,pt,10,0.5,Revolução liberal do Porto,https://pt.wikipedia.org/wiki/Revolução liberal do Porto,,,,,,,,
962329,2772803,pt,10,0.5,Discografia de Destiny's Child,https://pt.wikipedia.org/wiki/Discografia de Destiny's Child,,,,,,,,
429270,1425543,pt,10,0.5,Computador quântico,https://pt.wikipedia.org/wiki/Computador quântico,,,,,,,,
756771,2180124,pt,10,0.5,História da literatura em Portugal,https://pt.wikipedia.org/wiki/História da literatura em Portugal,,,,,,,,
702677,126037,pt,10,0.5,Mac OS,https://pt.wikipedia.org/wiki/Mac OS,,,,,,,,
713820,2034866,pt,10,0.5,Anagrama,https://pt.wikipedia.org/wiki/Anagrama,,,,,,,,
161345,633677,pt,10,0.5,Mitra (mitologia),https://pt.wikipedia.org/wiki/Mitra (mitologia),,,,,,,,
10880,155486,pt,10,0.5,Tex,https://pt.wikipedia.org/wiki/Tex,,,,,,,,
636005,9398,pt,10,0.5,Consenso,https://pt.wikipedia.org/wiki/Consenso,,,,,,,,
77286,340608,pt,10,0.5,PAL-M,https://pt.wikipedia.org/wiki/PAL-M,,,,,,,,
995751,2888536,pt,10,0.5,Educação em São Paulo,https://pt.wikipedia.org/wiki/Educação em São Paulo,,,,,,,,
