,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges
1724095,204847,ru,13,0.5,Соборное уложение 1649 года,https://ru.wikipedia.org/wiki/Соборное уложение 1649 года,,,,,,,,
1692675,126990,ru,13,0.5,"Хэмметт, Кирк Ли","https://ru.wikipedia.org/wiki/Хэмметт, Кирк Ли",,,,,,,,
1489404,1961641,ru,13,0.5,Beretta 92,https://ru.wikipedia.org/wiki/Beretta 92,,,,,,,,
1285165,1298157,ru,13,0.5,Краповый берет,https://ru.wikipedia.org/wiki/Краповый берет,,,,,,,,
1520912,2073235,ru,13,0.5,Субъективное избирательное право,https://ru.wikipedia.org/wiki/Субъективное избирательное право,,,,,,,,
1015069,500734,ru,13,0.5,Гиска,https://ru.wikipedia.org/wiki/Гиска,,,,,,,,
1178868,963892,ru,13,0.5,Fable (компьютерная игра),https://ru.wikipedia.org/wiki/Fable (компьютерная игра),,,,,,,,
1407798,1708866,ru,13,0.5,"Гальвани, Луиджи","https://ru.wikipedia.org/wiki/Гальвани, Луиджи",,,,,,,,
1110289,775036,ru,13,0.5,Якудза,https://ru.wikipedia.org/wiki/Якудза,,,,,,,,
950750,273079,ru,13,0.5,"Кюри, Мария","https://ru.wikipedia.org/wiki/Кюри, Мария",,,,,,,,
829349,5268459,ru,13,0.5,Open Journal Systems,https://ru.wikipedia.org/wiki/Open Journal Systems,,,,,,,,
29444,2525285,ru,13,0.5,Xixianykus zhangi,https://ru.wikipedia.org/wiki/Xixianykus zhangi,,,,,,,,
1428041,1776562,ru,13,0.5,"Макартур, Дуглас","https://ru.wikipedia.org/wiki/Макартур, Дуглас",,,,,,,,
1196230,1028731,ru,13,0.5,Пять сантиметров в секунду,https://ru.wikipedia.org/wiki/Пять сантиметров в секунду,,,,,,,,
709539,4784036,ru,13,0.5,Мстислав Святополкович,https://ru.wikipedia.org/wiki/Мстислав Святополкович,,,,,,,,
1427053,1773698,ru,13,0.5,Гроссмейстер (шахматы),https://ru.wikipedia.org/wiki/Гроссмейстер (шахматы),,,,,,,,
1058109,613446,ru,13,0.5,Hunt the Wumpus,https://ru.wikipedia.org/wiki/Hunt the Wumpus,,,,,,,,
1384711,1630680,ru,13,0.5,Паллада (фрегат учебный),https://ru.wikipedia.org/wiki/Паллада (фрегат учебный),,,,,,,,
1177332,958597,ru,13,0.5,Русские в Молдавии,https://ru.wikipedia.org/wiki/Русские в Молдавии,,,,,,,,
1159608,897922,ru,13,0.5,Гиксосы,https://ru.wikipedia.org/wiki/Гиксосы,,,,,,,,
1263161,1220562,ru,13,0.5,Горские евреи,https://ru.wikipedia.org/wiki/Горские евреи,,,,,,,,
1582323,2271661,ru,13,0.5,Чемпионат мира по волейболу среди женщин 1986,https://ru.wikipedia.org/wiki/Чемпионат мира по волейболу среди женщин 1986,,,,,,,,
1055624,605114,ru,13,0.5,Список эпизодов телесериала «Друзья»,https://ru.wikipedia.org/wiki/Список эпизодов телесериала «Друзья»,,,,,,,,
1253093,1184501,ru,13,0.5,Шкура,https://ru.wikipedia.org/wiki/Шкура,,,,,,,,
1453106,1848418,ru,13,0.5,Польская Республика (1918—1939),https://ru.wikipedia.org/wiki/Польская Республика (1918—1939),,,,,,,,
453884,3895878,ru,13,0.5,The Walking Dead: The Game,https://ru.wikipedia.org/wiki/The Walking Dead: The Game,,,,,,,,
1707626,163958,ru,13,0.5,Долины Маринер,https://ru.wikipedia.org/wiki/Долины Маринер,,,,,,,,
