,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges
19218,40464,sh,48,0.51,Kosovo,https://sh.wikipedia.org/wiki/Kosovo,,,,,,,,
3111,6946,sh,51,0.68,Josif Staljin/arhiva 1,https://sh.wikipedia.org/wiki/Josif Staljin/arhiva 1,,,,,,,,
192972,1414894,sh,67,0.95,Carstvo Romeja i Srba i cele Albanije,https://sh.wikipedia.org/wiki/Carstvo Romeja i Srba i cele Albanije,,,,,,,,
89310,201004,sh,81,0.99,Kultura Sovjetskoga Saveza,https://sh.wikipedia.org/wiki/Kultura Sovjetskoga Saveza,,,,,,,,
98630,231607,sh,83,0.99,Josif Staljin,https://sh.wikipedia.org/wiki/Josif Staljin,,,,,,,,
32702,69055,sh,85,0.99,Političko delovanje Srpske pravoslavne crkve,https://sh.wikipedia.org/wiki/Političko delovanje Srpske pravoslavne crkve,,,,,,,,
93606,214364,sh,104,0.99,Holodomor,https://sh.wikipedia.org/wiki/Holodomor,,,,,,,,
44906,98588,sh,134,0.99,Franjo Tuđman,https://sh.wikipedia.org/wiki/Franjo Tuđman,,,,,,,,
17716,37031,sh,136,0.99,Nezavisna Država Hrvatska,https://sh.wikipedia.org/wiki/Nezavisna Država Hrvatska,,,,,,,,
5077,10371,sh,189,0.99,Srpskohrvatski jezik/3,https://sh.wikipedia.org/wiki/Srpskohrvatski jezik/3,,,,,,,,
192972,1414894,sh,67,0.95,Carstvo Romeja i Srba i cele Albanije,https://sh.wikipedia.org/wiki/Carstvo Romeja i Srba i cele Albanije,,,,,,,,
89310,201004,sh,81,0.99,Kultura Sovjetskoga Saveza,https://sh.wikipedia.org/wiki/Kultura Sovjetskoga Saveza,,,,,,,,
98630,231607,sh,83,0.99,Josif Staljin,https://sh.wikipedia.org/wiki/Josif Staljin,,,,,,,,
32702,69055,sh,85,0.99,Političko delovanje Srpske pravoslavne crkve,https://sh.wikipedia.org/wiki/Političko delovanje Srpske pravoslavne crkve,,,,,,,,
93606,214364,sh,104,0.99,Holodomor,https://sh.wikipedia.org/wiki/Holodomor,,,,,,,,
44906,98588,sh,134,0.99,Franjo Tuđman,https://sh.wikipedia.org/wiki/Franjo Tuđman,,,,,,,,
17716,37031,sh,136,0.99,Nezavisna Država Hrvatska,https://sh.wikipedia.org/wiki/Nezavisna Država Hrvatska,,,,,,,,
5077,10371,sh,189,0.99,Srpskohrvatski jezik/3,https://sh.wikipedia.org/wiki/Srpskohrvatski jezik/3,,,,,,,,
