,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges
2173835,4862680,sv,4,0.54,Indianspejare,https://sv.wikipedia.org/wiki/Indianspejare,,,,,,,,
2179825,4884333,sv,4,0.54,Anders Svensson,https://sv.wikipedia.org/wiki/Anders Svensson,,,,,,,,
433395,959241,sv,4,0.54,Mien,https://sv.wikipedia.org/wiki/Mien,,,,,,,,
360170,758402,sv,4,0.54,Chassidism,https://sv.wikipedia.org/wiki/Chassidism,,,,,,,,
180615,313111,sv,4,0.54,Babylons kungar,https://sv.wikipedia.org/wiki/Babylons kungar,,,,,,,,
620890,1592781,sv,4,0.54,Fiatpengar,https://sv.wikipedia.org/wiki/Fiatpengar,,,,,,,,
575177,1476286,sv,4,0.54,Terry and the Conrods,https://sv.wikipedia.org/wiki/Terry and the Conrods,,,,,,,,
467836,1058604,sv,4,0.54,Prometokrati,https://sv.wikipedia.org/wiki/Prometokrati,,,,,,,,
246195,471046,sv,4,0.54,Jan Stenbeck,https://sv.wikipedia.org/wiki/Jan Stenbeck,,,,,,,,
334727,688696,sv,4,0.54,Venussymbol,https://sv.wikipedia.org/wiki/Venussymbol,,,,,,,,
157272,262571,sv,4,0.54,Lista över auktorsförkortningar inom växttaxonomin,https://sv.wikipedia.org/wiki/Lista över auktorsförkortningar inom växttaxonomin,,,,,,,,
125195,199747,sv,4,0.54,Kustpipare,https://sv.wikipedia.org/wiki/Kustpipare,,,,,,,,
432048,956078,sv,4,0.54,The Zoo,https://sv.wikipedia.org/wiki/The Zoo,,,,,,,,
212559,389000,sv,4,0.54,Moluckkakadua,https://sv.wikipedia.org/wiki/Moluckkakadua,,,,,,,,
321075,649983,sv,4,0.54,Constant speed propeller,https://sv.wikipedia.org/wiki/Constant speed propeller,,,,,,,,
274157,539079,sv,4,0.54,"Simhallsbadet, Malmö","https://sv.wikipedia.org/wiki/Simhallsbadet, Malmö",,,,,,,,
190247,335059,sv,4,0.54,Upp genom luften,https://sv.wikipedia.org/wiki/Upp genom luften,,,,,,,,
500527,1157893,sv,4,0.54,Sofiaparken,https://sv.wikipedia.org/wiki/Sofiaparken,,,,,,,,
499130,1153676,sv,4,0.54,Polär molekyl,https://sv.wikipedia.org/wiki/Polär molekyl,,,,,,,,
208483,380358,sv,4,0.54,Rostock,https://sv.wikipedia.org/wiki/Rostock,,,,,,,,
600694,1558480,sv,4,0.54,Tillväxtfaktorer,https://sv.wikipedia.org/wiki/Tillväxtfaktorer,,,,,,,,
395544,854105,sv,4,0.54,Flyff,https://sv.wikipedia.org/wiki/Flyff,,,,,,,,
181216,314396,sv,4,0.54,Clifford Gaddy,https://sv.wikipedia.org/wiki/Clifford Gaddy,,,,,,,,
169247,287920,sv,4,0.54,Fyllnadsval,https://sv.wikipedia.org/wiki/Fyllnadsval,,,,,,,,
443499,988244,sv,4,0.54,Tågvärd,https://sv.wikipedia.org/wiki/Tågvärd,,,,,,,,
1852240,3952972,sv,4,0.54,Journalisthögskolan i Stockholm,https://sv.wikipedia.org/wiki/Journalisthögskolan i Stockholm,,,,,,,,
110025,175368,sv,4,0.54,Christian Dior,https://sv.wikipedia.org/wiki/Christian Dior,,,,,,,,
210748,385098,sv,4,0.54,En kuststräckas dimension,https://sv.wikipedia.org/wiki/En kuststräckas dimension,,,,,,,,
494493,1140030,sv,4,0.54,Bruno Hansen,https://sv.wikipedia.org/wiki/Bruno Hansen,,,,,,,,
1843613,3925016,sv,4,0.54,Inläggning,https://sv.wikipedia.org/wiki/Inläggning,,,,,,,,
400938,867948,sv,4,0.54,Villa Gumælius,https://sv.wikipedia.org/wiki/Villa Gumælius,,,,,,,,
673899,1691938,sv,4,0.54,Eldorado (radioprogram),https://sv.wikipedia.org/wiki/Eldorado (radioprogram),,,,,,,,
458225,1033553,sv,4,0.54,Erik Dahlberg (relief),https://sv.wikipedia.org/wiki/Erik Dahlberg (relief),,,,,,,,
570496,1463156,sv,4,0.54,Monisk,https://sv.wikipedia.org/wiki/Monisk,,,,,,,,
1229163,2807173,sv,4,0.54,Statens personadressregister,https://sv.wikipedia.org/wiki/Statens personadressregister,,,,,,,,
2062521,4567524,sv,4,0.54,Per-Håkans,https://sv.wikipedia.org/wiki/Per-Håkans,,,,,,,,
431444,954885,sv,4,0.54,Pop Rocks,https://sv.wikipedia.org/wiki/Pop Rocks,,,,,,,,
141508,230511,sv,4,0.54,Rosenbifrenaria,https://sv.wikipedia.org/wiki/Rosenbifrenaria,,,,,,,,
462693,1044309,sv,4,0.54,Synfält,https://sv.wikipedia.org/wiki/Synfält,,,,,,,,
1216084,2783885,sv,4,0.54,Lagfart,https://sv.wikipedia.org/wiki/Lagfart,,,,,,,,
479517,1094317,sv,4,0.54,Studio (tidning),https://sv.wikipedia.org/wiki/Studio (tidning),,,,,,,,
181786,315709,sv,4,0.54,Tyresö Centrum,https://sv.wikipedia.org/wiki/Tyresö Centrum,,,,,,,,
358177,752890,sv,4,0.54,2. Jagarflottiljen,https://sv.wikipedia.org/wiki/2. Jagarflottiljen,,,,,,,,
664286,1672421,sv,4,0.54,4711,https://sv.wikipedia.org/wiki/4711,,,,,,,,
406515,884686,sv,4,0.54,Enshin,https://sv.wikipedia.org/wiki/Enshin,,,,,,,,
152774,253904,sv,4,0.54,Hällristningarna i Alta,https://sv.wikipedia.org/wiki/Hällristningarna i Alta,,,,,,,,
2180225,4885640,sv,4,0.54,Basalorum,https://sv.wikipedia.org/wiki/Basalorum,,,,,,,,
217687,400444,sv,4,0.54,Dick Cheney,https://sv.wikipedia.org/wiki/Dick Cheney,,,,,,,,
367711,777784,sv,4,0.54,Zachodniopomorskie vojvodskap,https://sv.wikipedia.org/wiki/Zachodniopomorskie vojvodskap,,,,,,,,
317003,639834,sv,4,0.54,Dong Kinh,https://sv.wikipedia.org/wiki/Dong Kinh,,,,,,,,
56329,83299,sv,4,0.54,Aspfjäril,https://sv.wikipedia.org/wiki/Aspfjäril,,,,,,,,
666122,1676672,sv,4,0.54,Årsta kyrka,https://sv.wikipedia.org/wiki/Årsta kyrka,,,,,,,,
501182,1159980,sv,4,0.54,Anna Mackeij,https://sv.wikipedia.org/wiki/Anna Mackeij,,,,,,,,
513181,1199864,sv,4,0.54,Pellucid marginal degeneration,https://sv.wikipedia.org/wiki/Pellucid marginal degeneration,,,,,,,,
230492,432298,sv,4,0.54,Torshälla,https://sv.wikipedia.org/wiki/Torshälla,,,,,,,,
369833,783172,sv,4,0.54,Industripoesi,https://sv.wikipedia.org/wiki/Industripoesi,,,,,,,,
208968,381499,sv,4,0.54,Elitserien i handboll för herrar,https://sv.wikipedia.org/wiki/Elitserien i handboll för herrar,,,,,,,,
397358,858395,sv,4,0.54,Acke & Gurra,https://sv.wikipedia.org/wiki/Acke & Gurra,,,,,,,,
2037396,4525578,sv,4,0.54,Icona Pop,https://sv.wikipedia.org/wiki/Icona Pop,,,,,,,,
658844,1663140,sv,4,0.54,Fluorid,https://sv.wikipedia.org/wiki/Fluorid,,,,,,,,
2193541,4957795,sv,4,0.54,"Brudslöjan, Norge","https://sv.wikipedia.org/wiki/Brudslöjan, Norge",,,,,,,,
169194,287819,sv,4,0.54,Tacken konungarnas Konung,https://sv.wikipedia.org/wiki/Tacken konungarnas Konung,,,,,,,,
217158,399272,sv,4,0.54,"Sörby, Örebro","https://sv.wikipedia.org/wiki/Sörby, Örebro",,,,,,,,
10774,12652,sv,4,0.54,Schaman,https://sv.wikipedia.org/wiki/Schaman,,,,,,,,
328423,670939,sv,4,0.54,Israelmuren,https://sv.wikipedia.org/wiki/Israelmuren,,,,,,,,
486798,1117488,sv,4,0.54,Asmara,https://sv.wikipedia.org/wiki/Asmara,,,,,,,,
639475,1626070,sv,4,0.54,Avstavning,https://sv.wikipedia.org/wiki/Avstavning,,,,,,,,
1835691,3905876,sv,4,0.54,Johan Axel Setterdahl,https://sv.wikipedia.org/wiki/Johan Axel Setterdahl,,,,,,,,
465524,1052177,sv,4,0.54,Ynglingasagan,https://sv.wikipedia.org/wiki/Ynglingasagan,,,,,,,,
58280,86420,sv,4,0.54,Musikaliska konstföreningen,https://sv.wikipedia.org/wiki/Musikaliska konstföreningen,,,,,,,,
415987,911525,sv,4,0.54,Säsonger av One Tree Hill,https://sv.wikipedia.org/wiki/Säsonger av One Tree Hill,,,,,,,,
1845929,3932466,sv,4,0.54,Yes! We Have No Bananas,https://sv.wikipedia.org/wiki/Yes! We Have No Bananas,,,,,,,,
240241,457415,sv,4,0.54,DNA-polymeras,https://sv.wikipedia.org/wiki/DNA-polymeras,,,,,,,,
114385,182178,sv,4,0.54,Lista över växter,https://sv.wikipedia.org/wiki/Lista över växter,,,,,,,,
478242,1089718,sv,4,0.54,Nils Rundgren,https://sv.wikipedia.org/wiki/Nils Rundgren,,,,,,,,
478805,1092019,sv,4,0.54,Assar (seriealbum),https://sv.wikipedia.org/wiki/Assar (seriealbum),,,,,,,,
64563,96864,sv,4,0.54,Blutfahne,https://sv.wikipedia.org/wiki/Blutfahne,,,,,,,,
336424,693758,sv,4,0.54,Antifon (filosof),https://sv.wikipedia.org/wiki/Antifon (filosof),,,,,,,,
597660,1550172,sv,4,0.54,Katarina Karlsdotter Vasa,https://sv.wikipedia.org/wiki/Katarina Karlsdotter Vasa,,,,,,,,
573655,1471490,sv,4,0.54,Slaget vid Öland (1676),https://sv.wikipedia.org/wiki/Slaget vid Öland (1676),,,,,,,,
