,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges
82070,255513,tr,12,0.5,"Bulduk, Eskipazar","https://tr.wikipedia.org/wiki/Bulduk, Eskipazar",,,,,,,,
2787,6464,tr,12,0.5,Kırıkkale (il),https://tr.wikipedia.org/wiki/Kırıkkale (il),,,,,,,,
228574,1052950,tr,12,0.5,Dilmaçoğulları Beyliği,https://tr.wikipedia.org/wiki/Dilmaçoğulları Beyliği,,,,,,,,
289719,1390766,tr,12,0.5,Sıvacı kuşu,https://tr.wikipedia.org/wiki/Sıvacı kuşu,,,,,,,,
61411,194212,tr,12,0.5,Orta oyunu,https://tr.wikipedia.org/wiki/Orta oyunu,,,,,,,,
24546,70305,tr,12,0.5,Paradoks,https://tr.wikipedia.org/wiki/Paradoks,,,,,,,,
151637,513211,tr,12,0.5,"Adliye, Gemlik","https://tr.wikipedia.org/wiki/Adliye, Gemlik",,,,,,,,
304337,1463873,tr,12,0.5,Mühendishane-i Berr-i Hümâyun,https://tr.wikipedia.org/wiki/Mühendishane-i Berr-i Hümâyun,,,,,,,,
44202,137577,tr,12,0.5,Akademi Ödülleri,https://tr.wikipedia.org/wiki/Akademi Ödülleri,,,,,,,,
117087,351653,tr,12,0.5,Gulyabani,https://tr.wikipedia.org/wiki/Gulyabani,,,,,,,,
145671,483799,tr,12,0.5,Hatırla Sevgili,https://tr.wikipedia.org/wiki/Hatırla Sevgili,,,,,,,,
223693,1013747,tr,12,0.5,Pedro Álvares Cabral,https://tr.wikipedia.org/wiki/Pedro Álvares Cabral,,,,,,,,
49707,155586,tr,12,0.5,Meme,https://tr.wikipedia.org/wiki/Meme,,,,,,,,
63650,204577,tr,12,0.5,Ardenler,https://tr.wikipedia.org/wiki/Ardenler,,,,,,,,
78572,245074,tr,12,0.5,Türk Kanunu Medenisi,https://tr.wikipedia.org/wiki/Türk Kanunu Medenisi,,,,,,,,
13689,35093,tr,12,0.5,Serxwebûn,https://tr.wikipedia.org/wiki/Serxwebûn,,,,,,,,
112418,334579,tr,12,0.5,Daniel Radcliffe,https://tr.wikipedia.org/wiki/Daniel Radcliffe,,,,,,,,
70129,227351,tr,12,0.5,Ebru Gündeş,https://tr.wikipedia.org/wiki/Ebru Gündeş,,,,,,,,
142700,469692,tr,12,0.5,Millî Güvenlik Kurulu (Türkiye),https://tr.wikipedia.org/wiki/Millî Güvenlik Kurulu (Türkiye),,,,,,,,
53711,165623,tr,12,0.5,Nazım Kıbrısî,https://tr.wikipedia.org/wiki/Nazım Kıbrısî,,,,,,,,
15383,40456,tr,12,0.5,Romatoloji,https://tr.wikipedia.org/wiki/Romatoloji,,,,,,,,
17177,45926,tr,12,0.5,Türkiye florası,https://tr.wikipedia.org/wiki/Türkiye florası,,,,,,,,
128661,396703,tr,12,0.5,Cezalandırıcı,https://tr.wikipedia.org/wiki/Cezalandırıcı,,,,,,,,
250263,1177030,tr,12,0.5,2010 Güzelyurt seli,https://tr.wikipedia.org/wiki/2010 Güzelyurt seli,,,,,,,,
13817,35506,tr,12,0.5,Diego Maradona,https://tr.wikipedia.org/wiki/Diego Maradona,,,,,,,,
10827,25879,tr,12,0.5,Aspirin,https://tr.wikipedia.org/wiki/Aspirin,,,,,,,,
96471,281333,tr,12,0.5,Zonguldak,https://tr.wikipedia.org/wiki/Zonguldak,,,,,,,,
26408,76297,tr,12,0.5,Nikita Sergeyeviç Kruşçev,https://tr.wikipedia.org/wiki/Nikita Sergeyeviç Kruşçev,,,,,,,,
73592,235116,tr,12,0.5,"Kocaali, Sakarya","https://tr.wikipedia.org/wiki/Kocaali, Sakarya",,,,,,,,
110096,323547,tr,12,0.5,"Yusuf Şimşek (futbolcu, 1975)","https://tr.wikipedia.org/wiki/Yusuf Şimşek (futbolcu, 1975)",,,,,,,,
32379,100984,tr,12,0.5,Kızıl Ordu,https://tr.wikipedia.org/wiki/Kızıl Ordu,,,,,,,,
