,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges
32499,60413,uk,11,0.52,Українська радянська енциклопедія,https://uk.wikipedia.org/wiki/Українська радянська енциклопедія,,,,,,,,
294533,815590,uk,11,0.52,Кетен (місто),https://uk.wikipedia.org/wiki/Кетен (місто),,,,,,,,
313425,872698,uk,11,0.52,Опішня,https://uk.wikipedia.org/wiki/Опішня,,,,,,,,
304516,844608,uk,11,0.52,Бичок-кругляк,https://uk.wikipedia.org/wiki/Бичок-кругляк,,,,,,,,
198922,497884,uk,11,0.52,Целакантоподібні,https://uk.wikipedia.org/wiki/Целакантоподібні,,,,,,,,
355570,986972,uk,11,0.52,Леон Дегрель,https://uk.wikipedia.org/wiki/Леон Дегрель,,,,,,,,
576677,1641346,uk,11,0.52,Казимир Лищинський,https://uk.wikipedia.org/wiki/Казимир Лищинський,,,,,,,,
202776,512215,uk,11,0.52,Клітковина,https://uk.wikipedia.org/wiki/Клітковина,,,,,,,,
184788,442117,uk,11,0.52,Рош-га-Аїн,https://uk.wikipedia.org/wiki/Рош-га-Аїн,,,,,,,,
514708,1465387,uk,11,0.52,Обжинки,https://uk.wikipedia.org/wiki/Обжинки,,,,,,,,
106782,239227,uk,11,0.52,Газовик-ХГВ,https://uk.wikipedia.org/wiki/Газовик-ХГВ,,,,,,,,
604943,1719491,uk,11,0.52,League of Legends,https://uk.wikipedia.org/wiki/League of Legends,,,,,,,,
604150,1717475,uk,11,0.52,Rheinmetall,https://uk.wikipedia.org/wiki/Rheinmetall,,,,,,,,
496405,1381952,uk,11,0.52,Вулиця Дерібасівська,https://uk.wikipedia.org/wiki/Вулиця Дерібасівська,,,,,,,,
205067,521535,uk,11,0.52,Карл Бем,https://uk.wikipedia.org/wiki/Карл Бем,,,,,,,,
22505,36228,uk,11,0.52,Сумління,https://uk.wikipedia.org/wiki/Сумління,,,,,,,,
155713,337700,uk,11,0.52,Південна Корея,https://uk.wikipedia.org/wiki/Південна Корея,,,,,,,,
263467,714260,uk,11,0.52,Кетрін Гейгл,https://uk.wikipedia.org/wiki/Кетрін Гейгл,,,,,,,,
92767,209574,uk,11,0.52,Вільшана (Недригайлівський район),https://uk.wikipedia.org/wiki/Вільшана (Недригайлівський район),,,,,,,,
326586,911636,uk,11,0.52,Тиск,https://uk.wikipedia.org/wiki/Тиск,,,,,,,,
646604,1860085,uk,11,0.52,Захарченко Олександр Володимирович,https://uk.wikipedia.org/wiki/Захарченко Олександр Володимирович,,,,,,,,
207669,531174,uk,11,0.52,Червоний корпус КНУ,https://uk.wikipedia.org/wiki/Червоний корпус КНУ,,,,,,,,
30906,56536,uk,11,0.52,Бактерії,https://uk.wikipedia.org/wiki/Бактерії,,,,,,,,
