,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges
464159,1313689,zh,6,0.51,弗雷德里希·紹姆貝格，第一代紹姆貝格公爵,https://zh.wikipedia.org/wiki/弗雷德里希·紹姆貝格，第一代紹姆貝格公爵,,,,,,,,
507379,1402369,zh,6,0.51,盧漢,https://zh.wikipedia.org/wiki/盧漢,,,,,,,,
462978,1311069,zh,6,0.51,腓特烈五世 (普法尔茨),https://zh.wikipedia.org/wiki/腓特烈五世 (普法尔茨),,,,,,,,
618420,1834736,zh,6,0.51,黃龍旗,https://zh.wikipedia.org/wiki/黃龍旗,,,,,,,,
145610,423805,zh,6,0.51,路德維希·馮·米塞斯研究所,https://zh.wikipedia.org/wiki/路德維希·馮·米塞斯研究所,,,,,,,,
302148,877552,zh,6,0.51,林美秀 (演員),https://zh.wikipedia.org/wiki/林美秀 (演員),,,,,,,,
311290,891593,zh,6,0.51,三齒狸藻,https://zh.wikipedia.org/wiki/三齒狸藻,,,,,,,,
201047,585880,zh,6,0.51,代罪羔羊,https://zh.wikipedia.org/wiki/代罪羔羊,,,,,,,,
482424,1351337,zh,6,0.51,宣太后,https://zh.wikipedia.org/wiki/宣太后,,,,,,,,
463820,1313199,zh,6,0.51,埃里希·馮·法金漢,https://zh.wikipedia.org/wiki/埃里希·馮·法金漢,,,,,,,,
1009231,3992127,zh,6,0.51,壁画里的故事,https://zh.wikipedia.org/wiki/壁画里的故事,,,,,,,,
966087,3674233,zh,6,0.51,莫斯伯格馬弗里克88泵動式霰彈槍,https://zh.wikipedia.org/wiki/莫斯伯格馬弗里克88泵動式霰彈槍,,,,,,,,
169065,501057,zh,6,0.51,德國聯邦總統,https://zh.wikipedia.org/wiki/德國聯邦總統,,,,,,,,
474654,1332620,zh,6,0.51,國立臺中科技大學,https://zh.wikipedia.org/wiki/國立臺中科技大學,,,,,,,,
302548,878067,zh,6,0.51,林恩宇,https://zh.wikipedia.org/wiki/林恩宇,,,,,,,,
222261,646191,zh,6,0.51,避讳,https://zh.wikipedia.org/wiki/避讳,,,,,,,,
